simulation time (min);1440.0;only events that occure within the simulation time are considered (changes after that time are ignored)
id;emptytime (min);average deviation from halfcapacity;Successful bike reservations;Failed bike reservations;Successful slot reservations;Failed slot reservations;Successful bike rentals;Failed bike rentals;Successful bike returns;Failed bike returns
1;4.383333333333334;7.345787037037037;0;0;0;0;124;0;124;0
2;0.0;7.10599537037037;0;0;0;0;45;0;53;2
3;13.0;4.352916666666666;0;0;0;0;102;0;102;0
4;0.0;4.081458333333333;0;0;0;0;57;0;42;0
5;0.0;6.480034722222222;0;0;0;0;44;0;40;0
6;30.066666666666666;5.056799768518519;0;0;0;0;115;0;120;0
7;2.0833333333333335;6.372037037037037;0;0;0;0;77;0;74;0
8;0.0;4.106626157407407;0;0;0;0;57;0;60;0
9;9.966666666666667;6.610902777777778;0;0;0;0;128;0;136;0
10;5.233333333333333;6.532199074074074;0;0;0;0;66;0;78;0
11;130.33333333333334;6.96707175925926;0;0;0;0;46;0;47;0
12;0.0;6.247326388888889;0;0;0;0;77;0;67;0
13;0.0;3.6097685185185187;0;0;0;0;98;0;97;0
14;0.0;4.325810185185185;0;0;0;0;82;0;77;0
15;0.0;4.5511689814814815;0;0;0;0;37;0;33;0
16;0.0;3.4535358796296296;0;0;0;0;72;0;69;0
17;26.583333333333332;3.950619212962963;0;0;0;0;79;0;74;0
18;0.0;4.242951388888889;0;0;0;0;81;0;71;0
19;4.85;3.9810300925925928;0;0;0;0;145;0;130;0
20;28.9;6.779710648148148;0;0;0;0;39;0;44;0
21;23.616666666666667;7.8585416666666665;0;0;0;0;86;0;81;0
25;0.0;4.119907407407408;0;0;0;0;65;0;63;0
26;0.0;3.6927083333333335;0;0;0;0;86;0;97;0
27;38.983333333333334;8.56261574074074;0;0;0;0;57;0;52;0
28;602.7666666666667;9.790138888888889;0;0;0;0;16;0;12;0
29;192.91666666666666;9.746967592592593;0;0;0;0;20;0;20;0
30;0.0;4.086215277777778;0;0;0;0;80;0;86;0
31;38.45;7.6296875;0;0;0;0;111;0;100;0
32;31.2;6.013217592592593;0;0;0;0;47;0;44;0
33;38.81666666666667;7.418148148148148;0;0;0;0;60;0;64;0
34;0.0;5.492783564814815;0;0;0;0;38;0;30;0
35;133.26666666666668;5.494380787037037;0;0;0;0;69;0;60;0
36;0.0;3.9236342592592592;0;0;0;0;46;0;40;0
38;0.0;6.6052430555555555;0;0;0;0;105;0;106;3
39;15.8;6.818831018518519;0;0;0;0;48;0;41;0
40;4.733333333333333;6.107210648148148;0;0;0;0;52;0;51;0
41;51.06666666666667;4.545810185185185;0;0;0;0;102;0;114;0
42;92.03333333333333;5.535625;0;0;0;0;92;0;85;0
