"id";"time";"available bikes"
1;0;12
1;561;11
1;711;10
1;778;9
1;875;8
1;884;7
1;897;6
1;1074;7
1;1080;6
1;1080;7
1;1122;6
1;1348;7
1;1457;8
1;1486;9
1;1632;10
1;3212;11
1;10040;12
1;10496;13
1;10685;12
1;10698;11
1;11501;10
1;11716;9
1;11769;8
1;11769;9
1;11785;8
1;11959;7
1;12837;8
1;14706;9
1;14725;10
1;14739;11
1;14743;12
1;15296;13
1;15589;12
1;17439;11
1;17468;10
1;17779;9
1;17804;8
1;19266;9
1;20999;10
1;25521;11
1;26176;10
1;26199;9
1;26730;10
1;26976;11
1;29687;10
1;29704;9
1;29766;8
1;29841;7
1;29898;6
1;30037;5
1;30192;6
1;30398;7
1;30485;8
1;30500;9
1;30549;10
1;30654;11
1;30813;12
1;30967;13
1;31241;14
1;31259;13
1;31369;12
1;31520;11
1;31626;10
1;31658;9
1;32153;8
1;32495;9
1;33062;10
1;33492;11
1;35267;10
1;35338;9
1;36194;10
1;36553;11
1;37052;12
1;37410;11
1;37814;10
1;38685;11
1;39020;12
1;39358;13
1;39806;12
1;41804;11
1;42090;10
1;42109;9
1;42321;8
1;42405;9
1;42642;10
1;43300;11
1;43527;12
1;43813;13
1;43854;14
1;44131;15
1;44258;14
1;44398;13
1;44491;12
1;44508;11
1;44521;10
1;44546;9
1;44645;8
1;44649;7
1;44649;8
1;44692;7
1;44692;8
1;44723;7
1;44723;8
1;44898;7
1;45046;8
1;45049;9
1;45099;10
1;45230;11
1;45334;12
1;45372;13
1;45390;14
1;45421;15
1;45446;16
1;45633;15
1;45638;16
1;45738;15
1;45883;14
1;46002;13
1;46205;12
1;46252;11
1;46280;10
1;46353;9
1;46649;8
1;46848;9
1;47379;10
1;47440;11
1;47473;12
1;47972;11
1;48417;10
1;48775;9
1;49282;10
1;50360;11
1;53124;10
1;63503;11
1;64653;12
1;66128;11
1;66248;10
1;67081;11
1;69070;12
1;72976;13
1;74127;14
1;76099;13
1;76231;12
1;76640;11
1;76680;12
1;76798;13
1;76938;14
1;77031;15
1;77098;16
1;77165;17
1;77484;16
1;77497;15
1;77499;14
1;77696;13
1;77723;12
1;77729;11
1;77788;10
1;78045;9
1;78100;8
1;78327;9
1;78412;10
1;78510;11
1;78639;12
1;78908;13
1;78947;14
1;78995;13
1;79088;14
1;79231;13
1;79654;12
1;79921;13
1;84662;12
1;84822;11
1;84849;10
1;85052;9
1;85087;8
1;85270;9
1;85585;10
1;85733;11
1;85944;12
1;86427;13
1;86683;14
1;86907;15
1;86946;14
2;0;12
2;1095;11
2;1102;10
2;1241;9
2;1287;8
2;1320;7
2;1377;6
2;1419;5
2;1440;4
2;1440;5
2;1557;4
2;1557;5
2;2015;6
2;2136;7
2;2198;8
2;2396;9
2;2558;10
2;3142;11
2;12119;10
2;12170;9
2;12249;8
2;12278;7
2;12415;6
2;12415;7
2;12598;6
2;13006;7
2;13556;8
2;13595;9
2;16187;10
2;19820;9
2;22425;10
2;22670;11
2;30197;10
2;30438;9
2;30469;8
2;31320;9
2;32678;10
2;39585;11
2;41334;12
2;42745;11
2;48463;12
2;49176;13
2;49656;12
2;49705;11
2;50018;10
2;50108;9
2;50970;10
2;51461;11
2;51844;12
2;52147;11
2;52572;10
2;52598;9
2;53604;10
2;53620;11
2;54068;12
2;54536;11
2;54662;10
2;54665;9
2;54783;8
2;54876;7
2;55008;6
2;55047;5
2;55057;4
2;55162;3
2;55214;4
2;55707;5
2;55714;6
2;55733;7
2;55865;8
2;55874;9
2;55930;10
2;55965;11
2;56233;12
2;56340;13
2;56550;12
2;56666;11
2;56681;10
2;56718;9
2;56726;8
2;56804;7
2;56825;6
2;56860;5
2;56911;4
2;57009;3
2;57009;4
2;57127;3
2;57127;4
2;57161;5
2;57191;4
2;57212;5
2;57225;4
2;57225;5
2;57227;6
2;57244;5
2;57371;6
2;57397;7
2;57406;8
2;57424;9
2;57578;10
2;57600;11
2;57777;12
2;57790;13
2;57949;14
2;57995;15
2;58026;14
2;58287;13
2;58398;12
2;58432;11
2;58628;10
2;58632;9
2;58683;8
2;58724;7
2;58763;6
2;58815;5
2;58818;4
2;58837;3
2;59088;2
2;59164;3
2;59330;4
2;59416;5
2;59605;6
2;59644;7
2;59703;8
2;59884;9
2;59895;10
2;59968;11
2;59980;12
2;59987;13
2;60244;14
2;60272;15
2;60442;14
2;60446;13
2;60595;12
2;60622;11
2;60624;10
2;60650;9
2;60675;8
2;60708;7
2;60746;6
2;60908;5
2;60941;4
2;61023;3
2;61099;2
2;61162;1
2;61166;2
2;61358;3
2;61561;4
2;61595;5
2;61596;6
2;61684;7
2;61695;8
2;61703;9
2;61721;10
2;61811;11
2;61833;12
2;61845;13
2;61876;14
2;61885;15
2;61916;16
2;61929;17
2;62068;18
2;62108;19
2;62306;18
2;62343;19
2;62622;18
2;62695;17
2;62762;16
2;62783;15
2;62798;16
2;62813;15
2;62816;14
2;62862;13
2;62998;12
2;63007;11
2;63076;10
2;63139;9
2;63139;10
2;63171;9
2;63184;8
2;63189;7
2;63189;8
2;63230;7
2;63266;6
2;63272;5
2;63312;4
2;63330;3
2;63555;2
2;63648;3
2;63658;4
2;63839;5
2;63859;6
2;64021;7
2;64032;8
2;64041;9
2;64099;10
2;64119;11
2;64159;12
2;64194;13
2;64325;14
2;64358;15
2;64402;16
2;64407;17
2;64464;16
2;64478;15
2;64537;16
2;64546;17
2;64659;16
2;64687;15
2;64943;14
2;64989;13
2;65021;12
2;65078;11
2;65118;10
2;65118;11
2;65164;10
2;65305;11
2;65542;10
2;66098;11
2;66246;12
2;66427;13
2;66446;14
2;66553;15
2;66623;14
2;66755;13
2;66837;14
2;67078;15
2;67120;14
2;67130;13
2;67267;12
2;67278;11
2;67279;10
2;67281;9
2;67297;8
2;67326;7
2;67344;6
2;67441;5
2;67449;4
2;67522;3
2;67540;2
2;67561;1
2;67628;2
2;67782;1
2;67797;0
2;67881;1
2;67955;2
2;68017;3
2;68021;4
2;68075;5
2;68102;6
2;68154;7
2;68202;8
2;68204;9
2;68206;10
2;68281;11
2;68285;12
2;68323;13
2;68335;14
2;68349;15
2;68456;14
2;68460;15
2;68487;16
2;68670;17
2;68673;18
2;68837;17
2;68852;16
2;68954;15
2;69004;14
2;69015;13
2;69098;12
2;69115;11
2;69141;10
2;69317;9
2;69319;8
2;69358;7
2;69590;6
2;69608;7
2;69624;8
2;69680;9
2;70172;10
2;70211;11
2;70228;12
2;70235;13
2;70260;14
2;70297;15
2;70361;16
2;70383;17
2;70385;18
2;70392;19
2;70413;20
2;70417;21
2;70452;22
2;70546;23
2;70594;22
2;70696;21
2;70758;20
2;70786;19
2;70813;20
2;70893;19
2;70904;18
2;70933;17
2;70942;18
2;71004;17
2;71034;18
2;71100;17
2;71196;18
2;71199;17
2;71220;16
2;71222;15
2;71299;14
2;71357;13
2;71517;12
2;72130;13
2;73189;14
2;73912;13
2;74049;12
2;74434;11
2;75299;12
2;75600;13
2;75803;14
2;76076;15
2;76108;16
2;76151;17
2;76366;18
2;76804;17
2;76806;16
2;76852;15
2;76855;14
2;77027;13
2;77058;12
2;77058;11
2;77074;10
2;77097;9
2;77099;10
2;77254;9
2;77283;8
2;77428;7
2;77451;6
2;77521;5
2;77579;6
2;77589;7
2;77724;8
2;77755;9
2;77891;10
2;77963;11
2;77977;12
2;78188;13
2;78227;14
2;78315;15
2;78569;16
2;78608;15
2;78786;14
2;78845;13
2;78887;12
2;78939;11
2;78991;10
2;79011;9
2;79069;10
2;79110;9
2;79140;8
2;79220;7
2;79222;6
2;79336;7
2;79437;8
2;79450;7
2;79464;8
2;79550;9
2;79573;10
2;79575;11
2;79726;12
2;80062;13
2;80123;14
2;80146;15
2;80256;16
2;80363;17
2;80538;18
2;80640;17
2;80739;16
2;80749;15
2;80811;14
2;80914;13
2;80919;12
2;80926;11
2;81122;10
2;81277;9
2;81451;8
2;81451;9
2;81813;10
2;81849;11
2;81968;12
2;81979;13
2;82043;14
2;82044;15
2;82103;16
2;82148;17
2;82192;18
2;82250;19
2;82565;18
2;82596;17
2;82741;16
2;82755;17
2;82764;16
2;82885;15
2;82932;14
2;82944;13
2;83009;12
2;83011;11
2;83106;10
2;83118;9
2;83233;8
2;83393;7
2;83413;6
2;83413;7
2;83496;6
2;83496;5
2;83522;6
2;83717;7
2;83942;8
2;84144;9
2;84235;10
2;84275;11
2;84417;12
2;84547;13
2;84593;14
2;84852;15
2;84905;14
2;84980;15
2;85333;14
2;85391;13
2;85435;12
2;85587;11
2;85641;10
2;85902;9
2;85902;10
2;86240;11
2;86333;12
2;86405;13
2;87331;14
3;0;12
3;1132;11
3;1271;10
3;1433;9
3;1687;8
3;2556;9
3;3308;10
3;3436;11
3;4533;12
3;5174;11
3;5522;10
3;6640;9
3;7315;10
3;7368;11
3;7498;12
3;7535;13
3;7537;14
3;7582;15
3;7771;14
3;7885;13
3;7964;14
3;8523;13
3;8908;12
3;9059;11
3;9095;10
3;9421;9
3;10990;10
3;15437;9
3;17190;10
3;17300;11
3;18108;10
3;18712;9
3;19842;10
3;26386;11
3;26965;10
3;27234;9
3;28879;10
3;29375;11
3;30076;10
3;30116;9
3;30165;8
3;31312;9
3;31926;10
3;35027;11
3;36863;10
3;38419;11
3;38519;12
3;39221;11
3;41717;12
3;42076;13
3;42355;14
3;42878;13
3;43502;12
3;43878;11
3;43880;10
3;44788;11
3;45241;12
3;45396;13
3;46693;12
3;46842;11
3;46912;10
3;46954;9
3;47028;8
3;47053;7
3;47361;6
3;47958;7
3;48007;8
3;48045;9
3;48108;10
3;48255;11
3;48324;12
3;48423;13
3;48577;14
3;48841;15
3;48980;14
3;48992;13
3;49060;12
3;49115;11
3;49160;10
3;49244;11
3;49312;10
3;49313;9
3;49406;8
3;49453;7
3;49474;6
3;49509;5
3;49600;4
3;49958;5
3;50021;6
3;50024;7
3;50045;8
3;50053;9
3;50067;10
3;50083;11
3;50303;12
3;50311;13
3;50470;14
3;50854;13
3;50859;14
3;50914;13
3;51032;14
3;51071;13
3;51080;12
3;51085;11
3;51143;10
3;51162;9
3;51226;8
3;51274;7
3;51309;6
3;51367;7
3;51380;6
3;51494;5
3;51696;6
3;51767;7
3;51777;8
3;51825;9
3;51897;10
3;51949;11
3;52361;12
3;52375;13
3;52438;14
3;52531;15
3;52816;14
3;52844;15
3;52862;14
3;52919;13
3;52951;14
3;52989;13
3;53054;12
3;53078;11
3;53081;10
3;53112;9
3;53171;8
3;53183;7
3;53324;6
3;53561;7
3;53678;8
3;53712;9
3;53784;10
3;53794;11
3;53832;12
3;53880;13
3;53963;14
3;54007;15
3;54100;14
3;54131;15
3;54409;16
3;54422;15
3;54570;14
3;54586;13
3;54670;12
3;54681;11
3;54685;10
3;54693;9
3;54769;8
3;54800;7
3;54806;6
3;54836;5
3;54861;4
3;54861;5
3;54894;4
3;54901;3
3;54907;2
3;54933;1
3;55011;0
3;55288;1
3;55306;2
3;55321;3
3;55347;4
3;55357;5
3;55423;6
3;55428;7
3;55466;8
3;55466;9
3;55480;10
3;55629;11
3;55974;12
3;56108;13
3;56162;12
3;56200;11
3;56449;10
3;56547;9
3;56577;8
3;56577;9
3;56641;8
3;57568;9
3;57826;10
3;57969;11
3;57971;12
3;58207;13
3;58632;12
3;59050;11
3;59085;10
3;59340;9
3;59369;8
3;59451;7
3;59540;6
3;59607;5
3;59610;6
3;59917;7
3;60001;8
3;60099;9
3;60161;10
3;60535;11
3;60636;12
3;60944;13
3;61398;12
3;61926;11
3;66402;12
3;67010;11
3;67069;12
3;67209;11
3;67420;10
3;69524;11
3;69673;12
3;72400;11
3;72708;10
3;72761;9
3;73412;10
3;73673;11
3;73736;12
3;73809;13
3;73959;14
3;74132;15
3;74212;16
3;74352;17
3;74791;16
3;74814;17
3;74899;18
3;74977;17
3;75018;16
3;75052;15
3;75069;14
3;75101;13
3;75194;14
3;75310;13
3;75467;12
3;75499;13
3;75572;12
3;76250;11
3;76255;12
3;77907;13
3;78016;14
3;78383;13
3;78731;14
3;78801;13
3;79007;12
3;79068;11
3;79357;10
3;80348;11
3;80491;12
3;80530;13
3;80612;14
3;80646;15
3;80850;16
3;81290;15
3;81347;14
3;81384;13
3;81416;12
3;81535;11
3;81612;12
3;81714;11
3;81899;10
3;81921;9
3;81975;8
3;82489;9
3;82604;10
3;82659;11
3;82855;12
3;83090;13
3;83158;14
3;83331;15
3;84025;14
3;84135;13
3;84568;12
3;85347;11
3;85514;10
3;86055;11
3;86088;12
3;86672;11
3;86893;12
3;86980;11
4;0;9
4;27207;8
4;27329;7
4;27620;6
4;31674;7
4;42017;8
4;47995;9
4;71991;8
4;72182;7
4;72416;6
5;0;12
5;809;11
5;1019;10
5;1230;9
5;1484;10
5;1714;11
5;2470;12
5;2825;11
5;3169;10
5;3189;9
5;3461;8
5;4554;9
5;4924;10
5;8858;9
5;8877;8
5;11825;9
5;12066;10
5;13727;9
5;15296;10
5;26431;11
5;27242;10
5;27440;9
5;27550;8
5;28503;9
5;28703;10
5;30630;11
5;30662;12
5;31407;11
5;31506;10
5;31582;9
5;31920;10
5;31964;11
5;32053;12
5;32109;13
5;32126;14
5;32187;15
5;32199;16
5;32403;17
5;32406;18
5;32601;17
5;32656;16
5;32707;17
5;32733;18
5;32758;19
5;32854;18
5;32965;17
5;32976;16
5;32990;15
5;33010;14
5;33045;13
5;33171;12
5;33297;11
5;33301;10
5;33330;9
5;33353;8
5;33415;7
5;33991;8
5;34029;9
5;34039;10
5;34093;11
5;34138;12
5;34230;13
5;34267;14
5;34273;15
5;34323;16
5;34458;17
5;34529;16
5;34605;15
5;34633;14
5;34674;13
5;34710;12
5;34730;13
5;34795;12
5;34955;11
5;34971;10
5;35031;9
5;35042;8
5;35080;7
5;35157;6
5;35194;7
5;35214;6
5;35334;7
5;35338;8
5;35423;9
5;35487;10
5;35643;11
5;35651;12
5;35710;13
5;35796;14
5;35855;15
5;36028;16
5;36249;15
5;36358;14
5;36417;13
5;36441;12
5;36472;13
5;36489;12
5;36508;11
5;36614;10
5;36896;9
5;37298;10
5;37355;11
5;37506;12
5;37567;13
5;37583;14
5;37700;15
5;37708;16
5;37714;17
5;37826;18
5;38015;17
5;38122;18
5;38173;17
5;38188;16
5;38194;15
5;38590;14
5;38770;13
5;38772;12
5;40481;13
5;41614;14
5;41661;15
5;42320;14
5;42551;13
5;42673;12
5;42694;11
5;42726;10
5;42726;11
5;42770;10
5;43304;11
5;43428;12
5;43466;13
5;43651;14
5;43895;15
5;43930;16
5;44010;15
5;44038;14
5;44533;13
5;44614;12
5;44760;11
5;45263;12
5;45275;13
5;45585;14
5;45626;15
5;45883;16
5;46660;15
5;46668;14
5;46712;13
5;46720;12
5;47035;11
5;47166;12
5;47290;13
5;47346;14
5;47393;15
5;47763;14
5;47791;15
5;47827;16
5;48191;17
5;48382;16
5;48549;15
5;48585;14
5;48630;13
5;48673;12
5;48709;11
5;48763;10
5;48806;9
5;48943;8
5;49541;9
5;49621;10
5;49671;11
5;49793;12
5;49902;13
5;49949;14
5;50073;15
5;50285;14
5;50296;13
5;50330;14
5;50368;13
5;50397;14
5;50465;15
5;50608;16
5;50632;15
5;50681;14
5;50830;13
5;50850;12
5;51166;11
5;51188;10
5;51352;9
5;51418;10
5;51757;11
5;51803;12
5;51837;13
5;51876;14
5;51923;15
5;52192;14
5;52371;13
5;52400;12
5;52445;11
5;52458;10
5;52584;9
5;52871;8
5;52920;7
5;52961;8
5;52975;9
5;53280;10
5;53322;11
5;53403;12
5;53435;13
5;53501;14
5;53545;15
5;53602;16
5;53691;17
5;53697;18
5;53701;19
5;53752;18
5;53787;17
5;53823;16
5;53838;17
5;53933;16
5;53935;17
5;54086;16
5;54103;15
5;54166;14
5;54204;13
5;54277;12
5;54284;11
5;54412;10
5;54474;9
5;54599;10
5;54635;9
5;54654;8
5;54699;7
5;54767;6
5;54768;5
5;54921;4
5;55416;5
5;55423;6
5;55490;7
5;55509;8
5;55578;9
5;55616;10
5;55702;11
5;55796;12
5;55798;13
5;55820;14
5;55934;15
5;55966;16
5;56048;17
5;56146;18
5;56226;19
5;56244;20
5;56251;19
5;56283;20
5;56333;19
5;56369;18
5;56423;17
5;56427;16
5;56523;15
5;56615;14
5;56619;13
5;56641;12
5;56790;11
5;56807;10
5;56849;9
5;56871;8
5;57160;9
5;57781;10
5;58050;11
5;58193;12
5;58319;13
5;58321;14
5;58389;15
5;58758;14
5;58854;13
5;58866;12
5;58981;13
5;59081;12
5;59140;11
5;59307;10
5;59806;11
5;59896;12
5;60564;13
5;60800;12
5;60966;11
5;61107;10
5;61697;11
5;61901;12
5;62078;13
5;62528;12
5;64764;11
5;64779;10
5;64818;9
5;65080;10
5;68404;11
5;69036;10
5;69162;9
5;69276;8
5;69494;7
5;69637;6
5;70242;7
5;70495;8
5;70631;9
5;70665;10
5;70785;11
5;70787;12
5;70850;13
5;71374;14
5;71449;13
5;71540;12
5;71581;13
5;71586;14
5;71900;13
5;71931;12
5;71976;11
5;72093;10
5;72209;9
5;72228;8
5;72231;7
5;72471;6
5;73005;7
5;73041;8
5;73216;9
5;73230;10
5;73299;11
5;73325;12
5;73375;13
5;73401;14
5;73477;15
5;73522;16
5;73803;17
5;73851;18
5;73971;17
5;73991;16
5;74011;17
5;74049;16
5;74137;15
5;74248;14
5;74278;13
5;74279;12
5;74282;11
5;74377;10
5;74434;9
5;74434;10
5;74512;9
5;74582;8
5;74619;7
5;74723;8
5;74725;9
5;74748;10
5;74787;11
5;74872;12
5;74897;13
5;74927;14
5;75000;15
5;75043;16
5;75081;17
5;75275;16
5;75289;15
5;75328;14
5;75331;13
5;75336;12
5;75359;11
5;75388;12
5;75427;13
5;75477;12
5;75571;13
5;75572;14
5;75638;13
5;75658;12
5;75667;11
5;75693;12
5;75729;11
5;75736;10
5;75805;9
5;75889;8
5;76053;7
5;76419;8
5;76497;9
5;76501;10
5;76673;11
5;76731;12
5;76760;13
5;76774;14
5;76843;15
5;77018;16
5;77066;17
5;77196;18
5;77295;17
5;77441;16
5;77449;17
5;77485;16
5;77528;15
5;77555;14
5;77566;13
5;77614;12
5;77619;11
5;77678;10
5;77849;11
5;77896;10
5;78150;9
5;78249;10
5;78492;11
5;78497;12
5;78514;13
5;78518;14
5;78565;15
5;78627;16
5;78657;17
5;78728;18
5;78771;19
5;78781;20
5;78960;19
5;78968;20
5;78976;19
5;79047;18
5;79078;17
5;79124;16
5;79155;15
5;79181;14
5;79189;13
5;79209;12
5;79268;11
5;79326;10
5;79353;9
5;79363;8
5;79390;7
5;79406;6
5;79454;5
5;79510;4
5;79527;3
5;79560;2
5;79594;1
5;79603;0
5;79868;1
5;79981;2
5;80131;3
5;80201;4
5;80248;5
5;80402;6
5;80419;7
5;80442;8
5;80448;9
5;80461;10
5;80563;11
5;80652;12
5;80654;13
5;80713;14
5;80732;15
5;80764;16
5;80830;17
5;81047;16
5;81050;17
5;81088;16
5;81242;15
5;81247;14
5;81252;13
5;81325;12
5;81343;11
5;81353;10
5;81446;9
5;81530;8
5;81555;7
5;81598;6
5;81712;5
5;81875;6
5;81907;5
5;81936;6
5;81937;7
5;82140;8
5;82207;9
5;82228;10
5;82503;11
5;82516;12
5;84154;11
5;84436;10
5;84463;9
5;84491;8
5;84706;9
5;84851;8
5;85084;9
5;85646;10
5;86087;9
5;86168;8
6;0;13
6;359;12
6;494;11
6;600;10
6;754;11
6;780;12
6;859;13
6;981;12
6;1075;13
6;1076;14
6;1103;15
6;1184;16
6;1196;15
6;1283;16
6;1311;17
6;1380;16
6;1452;15
6;1474;14
6;1630;13
6;1703;12
6;1709;11
6;1731;10
6;1731;11
6;1732;10
6;1734;9
6;1786;8
6;1876;7
6;1946;6
6;1976;5
6;1987;6
6;2047;7
6;2055;8
6;2132;7
6;2235;8
6;2253;9
6;2458;10
6;2729;11
6;2809;12
6;2940;13
6;3168;14
6;3177;13
6;3187;12
6;3255;11
6;3287;10
6;3305;9
6;3305;10
6;3514;9
6;3586;8
6;3597;9
6;3726;8
6;3915;9
6;3917;10
6;4041;11
6;4106;12
6;4515;11
6;4556;10
6;4653;11
6;4734;10
6;4806;9
6;4876;8
6;4876;9
6;5313;10
6;5342;11
6;5366;12
6;5462;13
6;5651;12
6;5850;11
6;5976;10
