"id";"time to origin station";"cycling time";"time to destination place";"exit reason";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
1;220;554;530;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
2;641;420;345;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
3;466;529;400;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
4;206;450;173;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
5;220;521;217;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
6;558;533;324;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
7;62;1090;505;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
8;374;335;443;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
9;179;1389;36;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
10;894;626;3;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
11;460;387;725;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
12;932;388;145;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
13;243;262;647;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
14;517;507;349;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
15;444;249;534;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
16;721;0;673;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
17;522;2927;617;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
18;440;1275;692;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
19;252;584;316;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
20;722;625;879;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
21;469;495;518;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
22;365;265;445;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
23;561;566;398;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
24;585;719;388;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
25;444;1438;395;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
26;488;341;479;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
27;557;278;563;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
28;674;139;678;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
29;243;494;788;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
30;538;0;478;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
31;739;141;454;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
32;429;184;44;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
33;257;895;405;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
34;233;598;535;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
35;612;1294;102;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
36;267;294;520;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
37;611;305;130;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
38;609;90;661;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
39;712;348;247;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
40;602;0;864;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
41;215;576;673;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
42;562;302;185;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
43;539;776;602;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
44;295;476;619;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
45;671;315;450;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
46;375;722;595;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
47;527;338;129;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
48;489;467;631;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
49;167;219;361;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
50;638;877;591;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
51;422;1602;713;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
52;994;0;894;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
53;112;281;381;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
54;668;170;82;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
55;334;1308;336;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
56;539;665;574;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
57;685;599;83;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
58;174;736;107;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
59;575;730;34;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
60;698;0;496;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
61;425;455;435;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
62;334;160;548;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
63;408;740;102;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
64;338;172;98;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
65;457;617;530;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
66;568;954;279;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
