"id";"time";"available bikes"
1;0;12
1;1826;11
1;2444;12
1;2836;11
1;3721;10
1;3797;9
1;3933;8
1;4303;9
1;6497;10
1;8676;9
1;10382;8
1;10833;7
1;10975;8
1;12714;7
1;13407;6
1;14587;7
1;15589;6
1;18274;5
1;22469;6
1;29732;7
1;29794;8
1;29946;9
1;30185;8
1;30605;7
1;31259;6
1;32095;7
1;32273;8
1;32330;9
1;32875;8
1;35160;9
1;35431;10
1;35799;9
1;38167;8
1;40127;9
1;41702;8
1;41841;7
1;44280;8
1;44558;9
1;45390;8
1;46956;9
1;47268;10
1;47638;9
1;47949;8
1;49076;9
1;49693;8
1;49732;7
1;51430;6
1;52684;7
1;54795;8
1;54924;9
1;55060;8
1;57183;7
1;57184;8
1;58420;7
1;58504;6
1;61127;5
1;61892;4
1;62384;5
1;62957;4
1;62979;3
1;63418;4
1;64194;3
1;64953;4
1;65016;5
1;65942;4
1;66022;5
1;68444;4
1;68610;5
1;68982;6
1;69154;7
1;69390;8
1;70881;7
1;72329;8
1;72479;7
1;74483;8
1;77093;9
1;77381;10
1;78995;9
1;82694;10
1;83255;11
1;83613;10
1;85599;9
2;0;12
2;1601;11
2;3050;10
2;3509;9
2;3610;8
2;3798;9
2;5130;8
2;6734;7
2;7156;8
2;12170;7
2;12278;6
2;13848;5
2;18931;6
2;24653;7
2;28286;6
2;30843;7
2;31609;8
2;31866;9
2;31980;10
2;32901;9
2;34957;8
2;34959;7
2;35994;8
2;36175;9
2;37461;10
2;37601;11
2;38076;10
2;38117;9
2;39208;8
2;39421;7
2;39818;6
2;40741;7
2;41651;8
2;42134;7
2;42812;8
2;43549;9
2;44248;10
2;44558;9
2;46761;8
2;48561;7
2;49249;8
2;49281;9
2;50674;8
2;51189;7
2;51190;6
2;51853;7
2;52019;6
2;52308;7
2;52881;8
2;53537;7
2;53732;6
2;53860;7
2;55038;8
2;56928;7
2;57694;6
2;58026;5
2;60074;6
2;61470;5
2;61574;4
2;61641;3
2;61679;2
2;62423;3
2;62613;4
2;64059;3
2;65222;4
2;65277;5
2;65475;4
2;66009;5
2;66292;6
2;66611;7
2;67546;6
2;67940;5
2;67945;6
2;68059;5
2;68843;6
2;69212;7
2;69791;8
2;70076;7
2;70249;8
2;72210;7
2;72412;6
2;72884;7
2;72907;8
2;73114;7
2;73237;8
2;73521;9
2;73541;10
2;73858;9
2;74065;8
2;74522;9
2;75195;8
2;75622;9
2;76493;8
2;77100;9
2;77707;10
2;79219;9
2;79711;8
2;80536;9
2;81140;10
2;82034;9
2;83788;8
2;83835;9
2;86578;10
2;87251;11
3;0;12
3;255;11
3;636;10
3;841;9
3;1005;10
3;1205;9
3;1279;10
3;2456;9
3;2683;8
3;2986;9
3;4207;8
3;4414;9
3;5790;8
3;7771;7
3;10135;6
3;10291;7
3;12660;6
3;22077;7
3;22719;8
3;22793;9
3;23135;8
3;28059;9
3;29374;8
3;30402;9
3;30626;10
3;32418;9
3;33349;8
3;33686;9
3;33974;10
3;34262;11
3;34299;12
3;34569;11
3;34601;12
3;34893;13
3;35639;14
3;35748;13
3;36450;14
3;36475;15
3;36680;16
3;37692;15
3;37929;14
3;38127;13
3;38309;12
3;39736;13
3;39770;14
3;40633;13
3;40954;12
3;41905;11
3;41905;12
3;42878;11
3;44078;12
3;44788;13
3;45226;14
3;46192;13
3;46369;12
3;46743;13
3;46912;12
3;46954;11
3;47028;10
3;47053;9
3;47266;8
3;47473;7
3;48940;8
3;49399;9
3;49540;10
3;50006;9
3;50273;10
3;51558;11
3;51590;10
3;51646;9
3;51722;8
3;51730;7
3;52398;8
3;53466;9
3;53483;8
3;53705;9
3;54070;10
3;54100;9
3;54422;8
3;54852;9
3;55256;10
3;55259;9
3;55709;8
3;55767;7
3;56395;6
3;56477;5
3;56629;4
3;57296;3
3;57454;4
3;57686;3
3;57894;4
3;57970;5
3;58198;6
3;58978;7
3;59460;6
3;59582;7
3;59856;6
3;60270;7
3;60560;6
3;61028;7
3;61058;8
3;61639;7
3;61688;6
3;61776;5
3;62057;6
3;62469;7
3;62585;8
3;63134;9
3;63246;10
3;63511;9
3;63683;8
3;63980;7
3;64193;8
3;64804;9
3;64940;8
3;64992;7
3;65390;8
3;65585;7
3;65861;6
3;66122;7
3;66774;8
3;67464;7
3;67553;8
3;67750;7
3;68009;8
3;68021;9
3;68395;8
3;68846;9
3;68904;10
3;68950;11
3;69202;10
3;69217;9
3;69253;8
3;69564;9
3;69926;8
3;69965;7
3;70012;6
3;70292;7
3;70783;6
3;71333;7
3;72155;6
3;72471;7
3;72712;6
3;73152;5
3;73493;6
3;73598;5
3;73650;4
3;74198;5
3;74771;6
3;74791;5
3;75154;6
3;75653;7
3;75813;8
3;75925;7
3;76175;6
3;76186;7
3;76204;8
3;76511;7
3;76598;6
3;78558;7
3;78735;8
3;78836;9
3;78952;8
3;79092;9
3;79416;10
3;80531;9
3;80560;8
3;80580;7
3;80984;8
3;81106;9
3;81512;8
3;81821;9
3;82491;8
3;82624;7
3;82893;8
3;83240;7
3;84493;8
3;85126;7
3;86108;8
3;86615;7
4;0;9
4;872;8
4;1078;9
4;1811;10
4;1863;9
4;2861;10
4;3041;9
4;4182;10
4;4369;9
4;4369;10
4;4779;11
4;5327;10
4;6372;9
4;7964;8
4;14262;9
4;16503;8
4;25510;7
4;26383;6
4;27084;5
4;27398;4
4;27799;5
4;28342;4
4;28937;5
4;29392;4
4;29431;5
4;29441;4
4;29458;3
4;29537;2
4;30088;1
4;30740;2
4;31553;3
4;32039;4
4;32121;5
4;32439;4
4;32638;5
4;33629;4
4;33880;3
4;33903;4
4;33940;3
4;33981;2
4;33989;3
4;34465;2
4;34528;1
4;34712;0
4;37254;1
4;38484;2
4;38489;3
4;41070;2
4;41115;3
4;41456;4
4;41490;3
4;41532;2
4;41903;1
4;42598;2
4;44644;3
4;45893;2
4;46921;1
4;49494;2
4;49731;1
4;50672;2
4;51019;3
4;51259;4
4;51324;5
4;51478;6
4;52235;7
4;52295;6
4;52365;5
4;52568;6
4;53131;7
4;53575;6
4;54589;7
4;55026;6
4;55412;7
4;55880;8
4;56005;7
4;57015;6
4;57881;7
4;59699;8
4;59931;7
4;60204;6
4;60342;7
4;60531;8
4;60659;7
4;60871;8
4;60890;9
4;61136;10
4;61268;11
4;61401;12
4;61428;11
4;61801;12
4;62046;13
4;62177;12
4;62209;11
4;62211;12
4;62831;13
4;63391;12
4;63425;11
4;63477;10
4;63811;9
4;63870;8
4;63924;9
4;64335;8
4;64514;9
4;65038;10
4;65087;9
4;65141;10
4;65301;9
4;65479;10
4;66313;9
4;66670;8
4;67656;7
4;67678;8
4;67715;9
4;67733;10
4;67883;11
4;67970;12
4;68015;13
4;68112;14
4;68444;15
4;68958;14
4;69238;15
4;69413;16
4;69663;17
4;69924;16
4;70186;15
4;70462;14
4;70559;13
4;71016;12
4;71146;11
4;71776;10
4;71824;9
4;72307;8
4;72416;7
4;72606;6
4;72621;7
4;72861;6
4;72886;7
4;73339;8
4;73376;9
4;73485;8
4;74237;9
4;74271;10
4;74463;9
4;74463;10
4;74490;9
4;74646;10
4;74987;9
4;75762;8
4;75923;9
4;75956;8
4;76199;9
4;76445;10
4;76600;9
4;76959;8
4;77235;9
4;77509;8
4;77834;7
4;78071;8
4;78379;9
4;78657;10
4;78729;11
4;78749;12
4;78937;13
4;78974;12
4;79348;13
4;79490;12
4;79493;11
4;79710;10
4;80312;9
4;81012;10
4;81283;11
4;81676;10
4;82213;9
4;82389;10
4;82739;9
4;83610;8
4;83610;9
4;84051;8
4;84868;9
4;85147;8
4;86202;9
5;0;12
5;1472;11
5;3191;10
5;3270;9
5;4474;8
5;4576;7
5;6309;6
5;7676;7
5;7813;6
5;8858;5
5;10055;4
5;20837;3
5;25875;2
5;27480;3
5;28367;2
5;28827;3
5;30490;4
5;30878;3
5;31502;4
5;31568;5
5;32109;6
5;32117;5
5;32451;4
5;32679;5
5;32776;6
5;33053;7
5;33432;6
5;33664;7
5;33788;6
5;33903;5
5;34448;6
5;34488;7
5;34889;6
5;35201;5
5;35225;6
5;35579;7
5;35619;6
5;35748;5
5;36056;4
5;36177;5
5;36656;6
5;38198;7
5;40052;6
5;40135;5
5;40634;4
5;42760;5
5;43678;6
5;44059;7
5;44924;8
5;45730;7
5;45812;6
5;46086;7
5;47711;6
5;47763;5
5;47763;6
5;47801;7
5;47956;8
5;48382;7
5;48585;6
5;49308;7
5;51539;8
5;51878;9
5;51911;10
5;52103;11
5;52731;10
5;52749;9
5;52929;8
5;53180;9
5;53315;10
5;53933;9
5;54729;8
5;55578;9
5;55813;8
5;55816;7
5;57379;8
5;57863;7
5;58758;6
5;58942;5
5;59171;6
5;59286;7
5;59334;8
5;60252;7
5;60423;8
5;60490;9
5;61286;8
5;61954;9
5;62082;10
5;62885;9
5;63650;10
5;63721;11
5;64374;12
5;65183;11
5;66177;12
5;66208;11
5;66413;10
5;66821;11
5;67011;12
5;67174;13
5;67338;14
5;67569;13
5;67975;14
5;68093;13
5;68554;12
5;68879;13
5;68961;14
5;68985;13
5;69162;12
5;69307;13
5;69545;14
5;69923;13
5;69925;14
5;69976;13
5;70639;14
5;72115;15
5;72281;16
5;72289;15
5;72372;14
5;72492;15
5;72493;16
5;73182;15
5;73494;14
5;74135;15
5;74585;14
5;75044;13
5;75275;12
5;75289;11
5;75373;12
5;76419;13
5;76839;14
5;76999;15
5;77296;16
5;77476;17
5;77858;16
5;77885;15
5;77973;16
5;78009;15
5;78355;14
5;78854;13
5;78960;12
5;78987;13
5;79124;14
5;79209;13
5;79406;12
5;79470;13
5;79636;14
5;81484;13
5;81695;12
5;82297;13
5;82948;14
5;83078;15
5;83677;14
5;83790;15
5;83871;16
5;84217;15
5;84485;14
5;84493;13
5;84680;12
5;85327;13
6;0;13
6;494;12
6;736;13
6;1709;12
6;1731;11
6;1731;12
6;1794;11
6;2987;10
6;3187;9
6;3531;8
6;3531;9
6;5295;8
6;5651;7
6;8190;6
6;9176;5
6;22765;6
6;26667;7
6;29009;6
6;29043;5
6;29748;4
6;30135;3
6;30795;4
6;30961;5
6;32516;6
6;32618;5
6;33442;6
6;33891;5
6;34324;6
6;34514;5
6;34562;6
6;34660;5
6;35189;6
6;35436;5
6;35858;4
6;36210;3
6;37000;4
6;38065;5
6;39507;6
6;40293;5
6;40743;4
6;40754;5
6;40756;4
6;41199;5
6;41277;6
6;41294;7
6;42361;6
6;43182;5
6;43352;6
6;43454;7
6;44251;8
6;45505;9
6;45609;10
6;45837;9
6;46630;10
6;47800;9
6;47874;8
6;48499;9
6;49317;8
6;49831;9
6;50767;8
6;50802;9
6;51349;8
6;51608;9
6;52066;10
6;52177;9
6;52348;10
6;52406;9
6;53283;10
6;53450;9
6;53765;8
6;53954;9
6;54262;8
6;54296;9
6;54402;10
6;54991;9
6;55188;8
6;56295;7
6;56393;8
6;56574;9
6;56673;10
6;56949;9
6;57110;10
6;57479;11
6;58132;10
6;59418;11
6;60494;10
6;61055;9
6;61344;10
6;61633;9
6;61690;8
6;61787;9
6;61949;10
6;62285;11
6;62721;10
6;63165;11
6;63613;12
6;63986;13
6;64369;12
6;64679;13
6;65680;12
6;65705;13
6;65932;12
6;65957;11
6;66382;12
6;66384;13
6;66986;14
6;67307;13
6;67502;14
6;67580;15
6;67906;16
6;68006;17
6;68118;16
6;68242;17
6;68453;16
6;68547;15
6;68559;16
6;68645;17
6;68982;16
6;68998;15
6;69100;14
6;69470;15
6;69826;14
6;69865;15
6;69874;16
6;70140;15
6;70209;16
6;70316;17
6;70795;16
6;71043;15
6;71384;14
6;72243;15
6;72398;16
