"id";"balancing quality"
1;"8.53"
2;"8.27"
3;"6.73"
4;"6.49"
5;"10.70"
6;"9.13"
7;"8.04"
8;"6.02"
9;"5.04"
10;"8.22"
11;"5.58"
12;"7.92"
13;"7.09"
14;"7.44"
15;"5.34"
16;"5.07"
17;"3.13"
18;"4.88"
19;"6.30"
20;"6.69"
21;"5.00"
22;"5.59"
23;"5.58"
24;"3.30"
25;"5.82"
26;"5.43"
27;"6.27"
28;"6.04"
29;"5.42"
30;"4.52"
31;"4.52"
32;"2.89"
33;"3.88"
34;"3.31"
35;"7.34"
36;"4.38"
37;"5.53"
38;"4.22"
39;"6.47"
40;"3.81"
41;"7.74"
42;"7.61"
43;"8.67"
44;"3.68"
45;"6.14"
46;"5.17"
47;"6.91"
48;"5.42"
49;"5.48"
50;"6.41"
51;"8.29"
52;"5.35"
53;"6.52"
54;"5.76"
55;"4.73"
56;"3.72"
57;"3.78"
58;"5.02"
59;"2.89"
60;"2.48"
61;"3.87"
62;"3.36"
63;"2.12"
64;"7.33"
65;"6.79"
66;"7.06"
67;"7.65"
69;"5.67"
71;"2.76"
72;"1.76"
73;"5.33"
74;"8.41"
75;"7.56"
76;"5.55"
77;"7.61"
78;"6.05"
79;"8.97"
80;"6.42"
81;"5.38"
82;"8.54"
83;"5.52"
84;"2.80"
85;"2.49"
86;"2.06"
87;"6.58"
88;"3.08"
89;"5.35"
90;"8.14"
91;"4.50"
92;"7.30"
93;"7.42"
94;"5.16"
95;"7.91"
96;"4.12"
97;"6.41"
98;"6.41"
99;"3.72"
100;"5.68"
101;"5.03"
102;"2.25"
103;"2.34"
104;"2.98"
105;"1.63"
106;"2.25"
107;"3.60"
108;"6.87"
109;"5.40"
110;"5.56"
111;"3.73"
112;"3.56"
113;"3.33"
114;"4.02"
115;"4.50"
116;"4.43"
117;"2.32"
118;"1.70"
119;"4.75"
120;"3.23"
121;"2.13"
122;"1.86"
123;"4.23"
124;"2.83"
125;"2.88"
126;"5.12"
127;"1.93"
128;"6.95"
129;"6.19"
130;"2.64"
131;"1.71"
132;"4.77"
133;"5.48"
134;"3.46"
135;"7.13"
136;"5.38"
137;"4.56"
138;"2.78"
139;"7.00"
140;"2.34"
141;"6.60"
142;"5.88"
143;"4.65"
144;"4.68"
145;"6.21"
146;"4.61"
147;"3.79"
148;"4.10"
149;"8.60"
150;"4.31"
151;"5.01"
152;"4.61"
153;"3.38"
154;"1.99"
155;"3.56"
156;"6.38"
157;"3.29"
158;"4.25"
159;"5.08"
160;"4.63"
161;"3.26"
162;"8.88"
163;"3.13"
164;"3.60"
165;"2.60"
166;"6.21"
167;"5.96"
168;"3.43"
169;"2.44"
170;"3.13"
171;"2.49"
172;"5.29"
173;"3.34"
174;"4.71"
175;"3.81"
