"id";"balancing quality"
1;"8.35"
2;"5.96"
3;"1.72"
4;"4.27"
5;"3.54"
6;"6.83"
7;"5.12"
8;"2.74"
9;"0.60"
10;"6.86"
11;"3.60"
12;"5.58"
13;"3.54"
14;"3.49"
15;"5.62"
16;"3.74"
17;"4.15"
18;"6.54"
19;"6.87"
20;"3.87"
21;"3.59"
22;"6.54"
23;"3.08"
24;"5.18"
25;"2.88"
26;"3.55"
27;"7.03"
28;"9.17"
29;"6.70"
30;"5.67"
31;"3.30"
32;"3.91"
33;"4.12"
34;"2.86"
35;"7.84"
36;"3.12"
37;"4.94"
38;"5.66"
39;"5.98"
40;"3.64"
41;"2.34"
42;"5.29"
43;"4.73"
44;"6.27"
45;"5.48"
46;"5.99"
47;"5.78"
48;"3.19"
49;"2.79"
50;"5.46"
51;"3.75"
52;"6.35"
53;"5.62"
54;"4.34"
55;"4.98"
56;"3.51"
57;"3.63"
58;"4.08"
59;"4.96"
60;"9.13"
61;"5.32"
62;"5.87"
63;"2.66"
64;"1.88"
65;"4.90"
66;"2.31"
67;"3.35"
69;"0.00"
71;"6.83"
72;"0.50"
73;"1.50"
74;"3.49"
75;"3.70"
76;"5.18"
77;"3.13"
78;"3.41"
79;"5.18"
80;"5.19"
81;"4.01"
82;"4.50"
83;"3.04"
84;"3.92"
85;"2.97"
86;"4.78"
87;"6.62"
88;"6.16"
89;"6.54"
90;"1.59"
91;"1.03"
92;"5.49"
93;"3.10"
94;"5.00"
95;"4.64"
96;"1.19"
97;"3.01"
98;"4.72"
99;"5.66"
100;"7.61"
101;"2.16"
102;"5.91"
103;"3.17"
104;"5.03"
105;"5.75"
106;"0.00"
107;"1.53"
108;"7.50"
109;"1.73"
110;"4.43"
111;"5.90"
112;"6.07"
113;"3.99"
114;"2.59"
115;"3.81"
116;"0.86"
117;"2.22"
118;"2.66"
119;"0.00"
120;"1.00"
121;"3.34"
122;"5.04"
123;"1.25"
124;"0.00"
125;"2.36"
126;"3.23"
127;"3.17"
128;"2.46"
129;"3.57"
130;"2.62"
131;"2.79"
132;"3.55"
133;"1.66"
134;"3.60"
135;"6.24"
136;"5.29"
137;"3.98"
138;"2.10"
139;"2.45"
140;"2.63"
141;"3.60"
142;"1.61"
143;"2.34"
144;"2.97"
145;"3.36"
146;"1.72"
147;"5.07"
148;"3.37"
149;"1.87"
150;"2.40"
151;"5.95"
152;"2.43"
153;"1.83"
154;"4.73"
155;"1.30"
156;"1.39"
157;"2.97"
158;"4.18"
159;"2.80"
160;"2.52"
161;"2.30"
162;"3.97"
163;"2.19"
164;"1.00"
165;"3.11"
166;"3.85"
167;"2.81"
168;"1.69"
169;"5.02"
170;"3.22"
171;"2.64"
172;"4.12"
173;"2.58"
174;"3.25"
175;"0.00"
