"id";"Time intervals";"Total time"
1;"61455-62384  62957-63335  64194-65016  65942-66017  67689-69935  70881-71677  71907-74483  78995-83255  83613-86399  ";14868
2;"12726-18931  30617-31609  51190-51864  52019-52852  53537-55038  57195-60074  61478-62613  62762-65222  65999-66292  74337-74451  75195-75307  79711-81140  82034-83835  84167-86399  ";22660
3;"";0
4;"31497-31553  31566-32039  33981-33989  34528-37254  41070-41275  41532-44644  45893-49494  49731-50680  50886-51019  ";11263
5;"25875-27480  28367-28771  29066-30397  30427-31568  32141-32679  33189-33471  33892-34448  34889-35225  35255-35575  35586-36177  36265-42760  43237-43678  44038-44059  47711-47801  47929-47956  48398-49308  49536-51539  51548-51878  52929-53180  53933-53953  53995-55569  55813-57379  57863-59199  60252-60423  61286-61954  ";23007
6;"15949-22765  26077-26667  29009-30795  32736-33241  33487-34562  34660-35315  35436-37000  37165-38065  40037-40754  40756-41199  42537-43454  43709-44251  44577-45505  47818-48499  48640-49831  49843-50211  50767-50802  51349-51608  52177-52348  52406-52410  52444-53283  53450-54296  54941-56393  58813-59261  60494-61344  61690-61787  81514-82174  ";25339
7;"32921-33250  ";329
8;"33054-33156  33420-33761  ";443
9;"";0
10;"42233-43868  44295-45860  47206-47337  47720-47931  48203-48270  52220-53648  54679-55189  55458-56751  57211-57851  57878-58013  58351-59204  61707-62032  69160-69882  ";9515
11;"";0
12;"29695-31598  31824-32845  34183-34492  34691-35561  36150-37193  40585-42022  45766-46417  46785-46970  49078-49797  50056-51005  51381-51845  52007-52449  53315-55357  55480-55594  55689-55903  56149-56420  56587-57021  57044-57989  58276-58596  58852-59610  59919-60554  61153-61837  62004-62098  63128-63329  63431-63895  64678-65203  65319-66660  66672-67265  67431-67863  68208-68358  ";20210
13;"30042-30327  30409-32467  34289-34560  34639-35860  36006-36091  36101-36864  ";4683
14;"32735-33523  34189-34779  35349-36427  38888-41379  42271-43027  43526-43526  50466-51017  57851-59439  59762-61224  61267-62025  63143-65297  66365-66409  66432-66922  ";12750
15;"";0
16;"43193-44234  44329-49967  50062-50296  51335-51782  53498-53832  54368-55037  61841-64530  66771-68319  ";12600
17;"";0
18;"30724-30942  32446-33422  33864-36016  37981-38403  40374-40493  40977-41034  46307-49064  50665-51292  53388-54001  54274-54348  54779-54935  55094-55160  55484-55800  57238-57766  60152-60644  60784-60937  61065-61082  61721-62110  62112-62346  65587-65662  65742-66612  66846-67005  67029-67265  67573-68011  68091-69156  69234-69326  69370-69748  69885-70334  71660-71670  71750-72093  ";14481
19;"61886-62988  63199-63232  63780-64490  ";1845
20;"";0
21;"";0
22;"35335-35792  45390-45469  45633-48613  49693-51122  51875-52316  54709-54787  55060-55578  57340-62426  62801-63790  64075-64666  65453-68982  70746-71521  71792-73588  73953-77089  ";21884
23;"6010-7339  8707-9973  11837-22905  25826-30186  30946-31400  31423-32120  32818-32986  59886-60957  61364-61741  62223-63307  63349-64011  64441-64870  64987-65482  66384-66579  67177-68476  68639-70095  70401-71954  72453-72628  84480-85781  ";29439
24;"59676-60028  60286-61887  63000-63616  68063-69356  69615-70861  78796-79039  79406-79876  85008-86139  86251-86399  ";7100
25;"";0
26;"";0
27;"";0
28;"51542-52562  56435-61257  62652-66155  66745-71290  72351-73903  85510-86399  ";16331
29;"72980-73029  73170-79784  80238-86399  ";12824
30;"";0
31;"";0
32;"";0
33;"";0
34;"";0
35;"52655-54703  55482-56268  58004-58165  71472-73107  73739-74309  74432-74575  76963-77379  77889-78111  78614-78695  81451-82141  85125-86399  ";8026
36;"65821-67008  67097-67197  68142-68409  ";1554
37;"34431-35648  35838-38594  39232-39642  41337-41581  41602-41660  46821-48793  49096-52407  53161-53463  55218-56489  56605-56710  60401-61593  61619-62160  62731-62977  63221-63670  63680-63904  70923-70952  71007-71769  72021-72046  ";15114
38;"41269-42107  42374-42482  46498-48016  48707-49719  49779-51805  51993-53188  53549-54004  54172-56890  57012-57100  57600-59028  64421-64758  65810-66615  67266-67274  67604-67715  68997-69275  ";12925
39;"36599-37115  37213-40597  42870-45493  46468-48440  48481-48790  49086-52068  54079-55490  56159-57584  57944-60707  60921-61114  ";17578
40;"";0
41;"30254-30422  30450-30789  31328-32027  32286-32470  32800-33854  33937-35867  35936-35991  36061-37010  38783-40940  44630-45314  48176-49372  49790-50229  50506-50943  51357-51917  ";10851
42;"29427-41038  44381-44745  44771-44877  45323-45969  46081-46099  46364-47513  47828-49701  49823-50118  50734-51215  ";16543
43;"32447-32662  34352-34659  35251-37114  44920-45260  45766-46140  46545-46765  47078-47187  47277-47347  47373-48035  48738-48898  49188-49466  ";4598
44;"34899-34904  35638-35819  36567-40030  40724-40743  41439-41627  52670-52712  52793-56149  56255-58281  ";9280
45;"31405-32193  32488-33397  33466-34277  34595-34984  40486-40972  41181-41804  42191-42361  42943-44204  44348-44425  47664-47699  59568-59727  63001-63265  ";5972
46;"30252-30720  31081-33555  33687-33999  ";3254
47;"27876-38539  38757-39785  41025-47897  48224-48271  48536-48633  49073-49589  49995-50274  ";19502
48;"29818-34533  34840-35397  35698-38582  38746-44251  44351-44415  44691-46919  47276-47390  ";16067
49;"35046-35712  40663-40663  43772-45728  51626-51866  54237-54893  55688-56026  56466-56638  ";4028
50;"32655-33372  33385-33679  34099-38844  42897-48277  50234-50234  50827-52566  52586-53898  56535-56728  56941-61651  61786-62399  63231-64313  64371-64780  65154-65348  ";21388
51;"36988-46444  47380-47603  47920-49561  49620-50918  51188-51539  52294-52336  52378-52732  52744-53098  53248-53975  54023-56568  ";16991
52;"32672-33022  33261-37915  38666-39441  39775-39865  40792-42066  42207-45875  46412-47221  47309-48513  48615-49397  49439-49908  50050-51702  52455-52717  52914-54122  55357-55379  55945-56040  56254-56258  59261-60318  60980-61331  61961-62073  62581-63415  63417-63713  66935-66935  69060-69245  71418-71644  ";20379
53;"37533-38145  38231-39406  39659-41958  42630-44569  45041-48849  49159-49189  52235-52953  53155-53779  55644-55765  58088-58394  ";11632
54;"";0
55;"";0
56;"31814-32045  32780-33260  34569-35684  38721-39545  40453-41747  ";3944
57;"32036-33442  35474-35706  35982-36458  36480-36870  36893-37583  37804-38462  38470-41175  41373-41381  41851-42035  42084-42679  42931-43029  43071-43677  44089-48256  48419-49168  51981-53377  ";14360
58;"13129-26640  29209-29909  29925-30414  31701-31769  32413-32557  32739-32965  38753-38893  39161-39264  39428-40701  47692-50357  52997-53825  ";20147
59;"36405-36805  38875-39191  40863-41081  42871-43133  44085-45225  46273-46911  47568-48988  49424-49927  51122-51384  52983-53522  ";5698
60;"";0
61;"71791-73560  ";1769
62;"36537-36658  36863-37069  38427-38731  ";631
63;"30139-32253  32417-32624  34750-36037  44500-45303  45348-46715  47373-47513  49026-49643  49803-49883  50448-50466  51696-51859  52364-53029  53809-54740  54843-55015  55165-55541  56325-57274  57293-58251  58912-59112  59664-61788  62115-62145  62850-62972  63217-65575  66332-68442  68508-69177  72340-73977  74237-74356  ";20216
64;"79741-79760  80539-86399  ";5879
65;"";0
66;"54046-54585  70642-71445  72055-74066  74131-75023  75776-77526  ";5995
67;"41404-44252  44496-49191  51126-51181  51796-52482  55654-55679  56155-56604  57346-57365  58320-58649  58794-60762  61107-61971  62290-62632  63889-66333  67260-67643  67726-68856  69012-70318  ";17543
69;"";0
71;"";0
72;"";0
73;"";0
74;"35279-37957  38013-38889  39155-39178  39293-39432  39891-40006  ";3831
