"id";"Time intervals";"Total time"
1;"";0
2;"";0
3;"";0
4;"30435-30740  33981-34191  34465-37254  41903-42598  46921-49494  49731-50672  ";7513
5;"";0
6;"";0
7;"29326-30041  32455-33197  ";1457
8;"";0
9;"";0
10;"";0
11;"82051-82051  84331-84679  84819-85380  85729-86399  ";1579
12;"29944-31405  31907-32845  ";2399
13;"30290-30327  30803-32004  32394-32467  34289-34360  34473-34560  34726-35245  35504-35860  ";2344
14;"39832-40608  ";776
15;"";0
16;"31708-32276  35484-36196  36547-39324  ";4057
17;"";0
18;"35582-36016  ";434
19;"";0
20;"";0
21;"";0
22;"";0
23;"";0
24;"";0
25;"";0
26;"";0
27;"";0
28;"";0
29;"";0
30;"";0
31;"";0
32;"";0
33;"";0
34;"";0
35;"";0
36;"66950-67008  ";58
37;"52355-52407  ";52
38;"";0
39;"35139-35603  36563-37115  37342-38174  38647-40597  46468-48440  48481-48790  51794-52076  56911-57222  ";6672
40;"";0
41;"31632-32027  32233-32470  32800-33667  33853-35871  39507-40940  43962-45314  50506-50943  51317-51917  ";7339
42;"29909-41038  44421-44877  45694-45969  46081-46099  49678-49701  50206-50389  50688-50998  ";12394
43;"34554-34659  35251-37114  45055-45260  45766-46140  46545-46765  47078-47187  47277-47347  47373-48035  48866-48898  49188-49466  ";3918
44;"36217-38493  39996-40097  ";2377
45;"29961-30715  30959-31044  31405-31552  46596-46622  ";1012
46;"32449-33160  43565-44167  44679-45197  45603-45856  46176-46176  ";2084
47;"30810-31854  32328-34349  34858-38539  39050-39785  40272-40500  42379-47863  48130-48271  48536-48629  49073-49589  49995-50274  ";14222
48;"30346-34533  34840-35397  35698-38130  38687-44251  46206-46919  ";13453
49;"34828-35200  35232-36391  37790-41153  43772-45728  48251-48700  49553-49939  50613-51866  54237-54893  56466-56714  ";9842
50;"35307-38583  43353-47955  48843-49131  49621-50103  50827-52566  52785-52962  53561-53898  62099-62099  62143-62325  ";11083
51;"36946-46444  47364-49561  49706-50918  51318-51318  52009-52016  52109-52732  53060-53098  53153-53975  55211-56568  ";15754
