"id";"Time intervals";"Total time"
1;"";0
2;"";0
3;"";0
4;"30435-30740  35147-36094  ";1252
5;"";0
6;"30219-30813  ";594
7;"29326-30041  ";715
8;"";0
9;"";0
10;"";0
11;"81375-82432  ";1057
12;"29944-30995  31907-32845  ";1989
13;"30290-30327  31175-32004  34726-35245  35504-36091  ";1972
14;"";0
15;"";0
16;"37202-39324  ";2122
17;"";0
18;"";0
19;"";0
20;"";0
21;"";0
22;"";0
23;"";0
24;"";0
25;"";0
26;"";0
27;"";0
28;"";0
29;"";0
30;"";0
31;"";0
32;"";0
33;"68601-68686  ";85
34;"";0
35;"";0
36;"";0
37;"";0
38;"";0
39;"35005-35155  36563-37115  37342-37862  56911-57222  ";1533
40;"";0
41;"31632-32027  32233-32485  32800-33667  33853-35867  39507-40940  44947-45314  51357-51478  ";5449
42;"30123-32901  33393-41038  44421-44877  45694-45969  46081-46099  49678-49678  50276-50389  50688-50998  ";11595
43;"34552-34659  35251-37114  41765-41893  42529-42650  43557-43676  45055-45260  45766-46140  46545-46765  47078-47187  47277-47347  47373-48023  48866-48898  49188-49466  53579-54076  ";4773
44;"36471-38493  39996-40097  ";2123
45;"29928-30387  30537-30715  30959-31044  ";722
46;"32268-33160  ";892
47;"31468-31854  32328-34349  34858-38539  39050-39785  40272-40500  43454-46324  46939-47863  48130-48271  ";10986
48;"30508-34031  34929-35397  35698-37970  41712-44251  46206-46919  47342-47390  ";9563
49;"34905-35200  35232-36391  37790-41153  43772-45728  48251-48700  49553-49939  51410-51866  54237-54893  56466-56714  ";8968
50;"35452-38583  43332-47955  48843-49131  49621-50103  50827-52566  52785-52962  53561-53898  62099-62099  ";10777
51;"36389-46444  47364-49561  49706-51209  52509-52732  55211-56182  ";14949
52;"35426-37915  39004-39441  39693-39865  40165-40194  42351-45875  46412-46510  47567-48513  49439-50016  51042-51722  52914-54122  55372-55379  55774-56040  ";10433
53;"33669-33861  33874-34193  34797-35248  36629-36665  37317-38145  38648-39406  39659-41934  42630-44569  45041-48849  49159-49164  53704-53779  58088-58394  ";10992
54;"";0
55;"";0
56;"";0
