"id";"time";"available bikes"
1;0;12
1;1826;11
1;2444;12
1;2836;11
1;3066;10
1;3797;9
1;3933;8
1;4142;9
1;6507;8
1;7269;9
1;8676;8
1;10833;7
1;10975;8
1;12158;7
1;12266;6
1;14523;5
1;22469;6
1;29946;7
1;30185;6
1;31615;7
1;32273;8
1;35117;9
1;35160;10
1;35335;9
1;35417;8
1;35431;9
1;35799;8
1;37719;9
1;38167;8
1;40127;9
1;41702;8
1;41841;7
1;42911;8
1;44280;9
1;44546;8
1;45469;9
1;45633;8
1;47268;9
1;47638;8
1;48572;7
1;49076;8
1;51048;7
1;51430;6
1;51867;7
1;52027;6
1;52161;5
1;52188;4
1;52684;5
1;52884;6
1;52968;7
1;53173;8
1;53525;7
1;53561;6
1;54795;7
1;54924;8
1;55060;7
1;56538;6
1;57184;7
1;57682;6
1;59204;5
1;61458;4
1;61562;3
1;62384;4
1;62426;5
1;62616;6
1;62750;5
1;62801;4
1;62957;3
1;62979;2
1;63353;3
1;63790;4
1;64194;3
1;64953;4
1;65016;5
1;65020;6
1;65463;5
1;65942;4
1;66577;5
1;66614;6
1;66978;7
1;67164;8
1;67524;7
1;67557;6
1;67928;5
1;69038;6
1;69820;7
1;69935;8
1;70296;9
1;70746;8
1;70921;7
1;72329;8
1;72790;9
1;73046;8
1;73102;7
1;73507;8
1;73558;9
1;74483;10
1;77545;11
1;77691;12
1;77880;13
1;78327;12
1;78901;11
1;79699;10
1;82694;11
1;83613;10
1;86588;11
2;0;12
2;1601;11
2;3050;10
2;3509;9
2;3610;8
2;3798;9
2;5130;8
2;6493;9
2;6734;8
2;7156;9
2;10394;8
2;10673;7
2;12726;6
2;13848;5
2;14583;6
2;15601;5
2;18286;4
2;18931;5
2;24653;6
2;30653;7
2;32309;8
2;32821;9
2;33446;10
2;34158;9
2;34957;8
2;34959;7
2;35039;6
2;35790;7
2;35888;8
2;35994;9
2;36175;10
2;36209;11
2;36397;12
2;37496;11
2;37619;10
2;38076;9
2;38117;8
2;39011;9
2;39421;8
2;39524;9
2;39683;8
2;39818;7
2;41651;8
2;41877;9
2;42108;8
2;42134;7
2;42812;8
2;46761;7
2;49249;8
2;49281;9
2;49705;8
2;49744;7
2;50427;8
2;50674;7
2;51859;6
2;53860;7
2;54159;6
2;56511;7
2;57195;6
2;58026;5
2;60074;6
2;60624;5
2;61904;4
2;64059;3
2;65222;4
2;65277;5
2;65999;4
2;66009;5
2;66292;6
2;67945;7
2;68059;6
2;68456;5
2;68843;6
2;69152;7
2;69212;8
2;69387;9
2;69791;10
2;70076;9
2;70893;8
2;72210;7
2;72412;6
2;72907;7
2;73405;8
2;73541;9
2;73585;10
2;73858;9
2;74522;10
2;75195;9
2;75310;10
2;77707;11
2;79219;10
2;81140;11
2;82034;10
2;83253;11
2;83788;10
2;83835;11
2;85611;10
2;85731;9
2;85807;8
2;87248;9
3;0;12
3;255;11
3;841;10
3;990;11
3;1205;10
3;1279;11
3;2456;10
3;2683;9
3;2986;10
3;4207;9
3;4414;10
3;5790;9
3;7771;8
3;10135;7
3;10291;8
3;12660;7
3;22130;8
3;22719;9
3;22793;10
3;23135;9
3;27981;10
3;29374;9
3;30402;10
3;30626;11
3;30744;12
3;31809;11
3;32418;10
3;33349;9
3;33720;8
3;33974;9
3;34262;10
3;34299;11
3;34569;10
3;34601;11
3;34893;12
3;35639;13
3;36385;14
3;36475;15
3;36649;16
3;37692;15
3;37929;14
3;38309;13
3;39227;14
3;39766;15
3;40954;14
3;41905;13
3;41905;14
3;42878;13
3;44078;14
3;44413;15
3;45226;16
3;46192;15
3;46369;14
3;46743;15
3;46912;14
3;46954;13
3;47053;12
3;47473;11
3;48940;12
3;49540;13
3;50006;12
3;50273;13
3;50457;12
3;51558;13
3;51590;12
3;51646;11
3;51722;10
3;51730;9
3;52254;8
3;52398;9
3;53125;10
3;53466;11
3;53483;10
3;54100;9
3;54422;8
3;54852;9
3;55256;10
3;55259;9
3;55709;8
3;55767;7
3;56477;6
3;56629;5
3;57296;4
3;57686;3
3;57941;4
3;57970;5
3;58198;6
3;58978;7
3;59460;6
3;59582;7
3;59856;6
3;60270;7
3;60560;6
3;61028;7
3;61058;8
3;61639;7
3;61688;6
3;61788;7
3;62469;8
3;62585;9
3;63134;10
3;63246;11
3;63511;10
3;63683;9
3;63980;8
3;64641;9
3;64940;8
3;64992;7
3;65390;8
3;65585;7
3;66122;8
3;66774;9
3;67114;8
3;67464;7
3;67553;8
3;67750;7
3;68009;8
3;68021;9
3;68395;8
3;68846;9
3;68904;10
3;68950;11
3;69217;10
3;69253;9
3;69725;8
3;69965;7
3;70012;6
3;70292;7
3;70783;6
3;71333;7
3;71507;8
3;72155;7
3;72471;8
3;72712;7
3;73152;6
3;73493;7
3;73598;6
3;73650;5
3;74198;6
3;74575;7
3;74791;6
3;75154;7
3;75653;8
3;75813;9
3;75925;8
3;76175;7
3;76186;8
3;76204;9
3;76511;8
3;76598;7
3;78623;8
3;78735;9
3;78836;10
3;78952;9
3;79068;8
3;79092;9
3;79416;10
3;80531;9
3;80560;8
3;80580;7
3;80984;8
3;81106;9
3;81512;8
3;81821;9
3;82491;8
3;82893;9
3;83240;8
3;83916;7
3;84493;8
3;85126;7
3;86108;8
3;86615;7
4;0;9
4;872;8
4;1078;9
4;1811;10
4;2861;11
4;3041;10
4;4182;11
4;4369;10
4;4369;11
4;4796;12
4;5327;11
4;6372;10
4;6469;9
4;7964;8
4;14262;9
4;16503;8
4;25510;7
4;26053;6
4;26383;5
4;27084;4
4;27398;3
4;27799;4
4;28342;3
4;28937;4
4;29392;3
4;29431;4
4;29441;3
4;29458;2
4;30088;1
4;30435;0
4;30740;1
4;31553;2
4;31566;1
4;31645;2
4;31657;1
4;32039;2
4;32121;3
4;32439;2
4;32638;3
4;33629;2
4;33880;1
4;33903;2
4;33940;1
4;33981;0
4;34191;1
4;34465;0
4;37254;1
4;37879;2
4;38489;3
4;40318;2
4;41070;1
4;41115;2
4;41456;3
4;41490;2
4;41532;1
4;41903;0
4;42598;1
4;44644;2
4;45893;1
4;46921;0
4;49494;1
4;49731;0
4;50672;1
4;51019;2
4;51259;3
4;51324;4
4;51478;5
4;52235;6
4;52295;5
4;52365;4
4;52568;5
4;53131;6
4;53575;5
4;54589;6
4;55026;5
4;55412;6
4;55880;7
4;56005;6
4;57015;5
4;57881;6
4;59704;7
4;59931;6
4;60204;5
4;60342;6
4;60531;7
4;60659;6
4;60871;7
4;60890;8
4;61136;9
4;61268;10
4;61401;11
4;61428;10
4;61801;11
4;62046;12
4;62177;11
4;62209;10
4;62211;11
4;62831;12
4;63391;11
4;63811;10
4;63857;11
4;63870;10
4;63924;11
4;64335;10
4;65087;9
4;65141;10
4;65301;9
4;65479;10
4;66313;9
4;66670;8
4;67544;7
4;67656;6
4;67678;7
4;67715;8
4;67733;9
4;67883;10
4;67899;11
4;67956;12
4;67970;13
4;68015;14
4;68112;15
4;68444;16
4;68958;15
4;69220;16
4;69889;17
4;69924;16
4;70186;15
4;70462;14
4;70559;13
4;71016;12
4;71146;11
4;71824;10
4;72307;9
4;72606;8
4;72621;9
4;72861;8
4;73078;9
4;73339;10
4;73376;11
4;73485;10
4;74271;11
4;74360;12
4;74463;11
4;74463;12
4;74490;11
4;74646;12
4;74987;11
4;75762;10
4;75956;9
4;76199;10
4;76445;11
4;76600;10
4;76959;9
4;77235;10
4;77509;9
4;77834;8
4;78071;9
4;78379;10
4;78729;11
4;78937;12
4;78974;11
4;79348;12
4;79490;11
4;79493;10
4;79710;9
4;80312;8
4;81125;9
4;81283;10
4;81676;9
4;82213;8
4;82389;9
4;82739;8
4;83610;7
4;83610;8
4;84051;7
4;84868;8
4;85147;7
4;86202;8
5;0;12
5;1472;11
5;3191;10
5;3201;9
5;3270;8
5;4474;7
5;4576;6
5;6309;5
5;7687;6
5;7813;5
5;8858;4
5;20837;3
5;25875;2
5;26691;3
5;27480;4
5;28367;3
5;28827;4
5;29066;3
5;29701;2
5;30397;3
5;30878;2
5;31568;3
5;32117;2
5;32439;3
5;32776;4
5;33413;5
5;33432;4
5;33664;5
5;33788;4
5;33903;3
5;34448;4
5;34488;5
5;34889;4
5;35073;3
5;35354;2
5;35575;3
5;36177;4
5;36249;3
5;38198;4
5;40634;3
5;42320;2
5;42760;3
5;42952;4
5;43231;5
5;43434;6
5;43678;7
5;44038;6
5;44059;7
5;44924;8
5;45730;7
5;45812;6
5;46086;7
5;47711;6
5;47763;5
5;47763;6
5;47801;7
5;47956;8
5;48382;7
5;48585;6
5;49308;7
5;49332;6
5;50771;7
5;51539;8
5;51918;9
5;52445;8
5;52731;7
5;52749;6
5;52929;5
5;53180;6
5;53315;7
5;53444;8
5;53533;9
5;53787;8
5;53933;7
5;53953;8
5;54729;7
5;55578;8
5;55813;7
5;55816;6
5;57151;7
5;57379;8
5;57863;7
5;58147;6
5;58758;5
5;59171;6
5;59286;7
5;59334;8
5;59468;9
5;60252;8
5;61207;7
5;61286;6
5;61954;7
5;62082;8
5;62885;7
5;63398;8
5;63650;9
5;63731;10
5;64374;11
5;65183;10
5;66177;11
5;66208;10
5;66413;9
5;66821;10
5;67011;11
5;67174;12
5;67569;11
5;67975;12
5;68093;11
5;68318;12
5;68879;13
5;68961;14
5;68985;13
5;69139;12
5;69162;11
5;69307;12
5;69545;13
5;69923;12
5;69925;13
5;69976;12
5;70639;13
5;70854;14
5;71398;13
5;72115;14
5;72281;15
5;72289;14
5;72372;13
5;72487;14
5;72493;15
5;73182;14
5;73494;13
5;74135;14
5;75044;13
5;75275;12
5;75289;11
5;76269;12
5;76419;13
5;76744;14
5;76839;15
5;76999;16
5;77296;17
5;77476;18
5;77830;17
5;77858;16
5;77885;15
5;77929;14
5;78009;13
5;78355;12
5;78708;13
5;78960;12
5;78987;13
5;79124;14
5;79209;13
5;79406;12
5;79470;13
5;79636;14
5;80344;13
5;81484;12
5;82297;13
5;83078;14
5;83677;13
5;83790;14
5;83871;15
5;84217;14
5;84493;13
5;84680;12
5;84786;11
6;0;13
6;494;12
6;736;13
6;1709;12
6;1731;11
6;1731;12
6;1794;11
6;2987;10
6;3531;9
6;3531;10
6;5295;9
6;5651;8
6;8190;7
6;9176;6
6;10016;5
6;15648;4
6;22765;5
6;29009;4
6;29748;3
6;30168;2
6;30219;1
6;30813;2
6;30961;3
6;31595;4
6;32618;3
6;32618;4
6;32952;3
6;32975;4
6;33006;3
6;33699;4
6;33891;3
6;34324;4
6;34514;3
6;34562;4
6;34660;3
6;34758;4
6;35162;3
6;35189;4
6;35293;5
6;35436;4
6;35581;3
6;35858;2
6;37000;3
6;38065;4
6;39507;5
6;40037;4
6;40293;3
6;40743;2
6;40754;3
6;40756;2
6;41199;3
6;41246;4
6;41277;5
6;41294;6
6;43182;5
6;43774;6
6;44251;7
6;44577;6
6;45505;7
6;45609;8
6;45837;7
6;46630;8
6;47800;7
6;47874;6
6;48499;7
6;49831;8
6;50767;7
6;51349;6
6;51493;5
6;51608;6
6;51931;7
6;52066;8
6;52121;9
6;52177;8
6;52348;9
6;52444;8
6;53283;9
6;53450;8
6;54262;7
6;54296;8
6;54402;9
6;54991;8
6;55188;7
6;56295;6
6;56393;7
6;56574;8
6;56673;9
6;56949;8
6;57479;9
6;58957;8
6;60366;9
6;60443;10
6;60494;9
6;61055;8
6;61344;9
6;61633;8
6;61690;7
6;61787;8
6;61969;9
6;62285;10
6;62721;9
6;63165;10
6;63613;11
6;63986;12
6;64369;11
6;64679;12
6;65680;11
6;65705;12
6;65932;11
6;65957;10
6;66382;11
6;66384;12
6;66986;13
6;67223;14
6;67307;13
