"id";"balancing quality"
1;"4.33"
2;"4.52"
3;"3.35"
4;"3.38"
5;"5.57"
6;"6.03"
7;"3.82"
8;"3.92"
9;"3.12"
10;"4.36"
11;"4.24"
12;"5.87"
13;"4.64"
14;"4.61"
15;"3.54"
16;"3.64"
17;"2.67"
18;"4.31"
19;"3.31"
20;"4.55"
21;"4.09"
22;"4.58"
23;"3.77"
24;"3.60"
25;"4.09"
26;"3.15"
27;"2.73"
28;"4.34"
29;"4.23"
30;"4.28"
31;"2.58"
32;"3.46"
33;"3.57"
34;"3.32"
35;"4.98"
36;"2.99"
37;"4.43"
38;"3.50"
39;"4.61"
40;"3.87"
41;"5.81"
42;"6.18"
43;"7.20"
44;"4.24"
45;"3.32"
46;"3.82"
47;"5.10"
48;"4.37"
49;"5.35"
50;"6.31"
51;"6.19"
52;"5.50"
53;"5.86"
54;"1.79"
55;"2.47"
56;"4.05"
57;"5.20"
58;"5.04"
59;"3.38"
60;"3.80"
61;"3.23"
62;"4.32"
63;"4.08"
64;"7.04"
65;"2.56"
66;"3.43"
67;"5.89"
69;"5.58"
71;"1.56"
72;"2.55"
73;"4.52"
74;"4.84"
75;"5.92"
76;"5.27"
77;"6.15"
78;"4.12"
79;"8.09"
80;"5.49"
81;"4.48"
82;"7.70"
83;"5.98"
84;"2.30"
85;"2.40"
86;"1.66"
87;"5.75"
88;"4.69"
89;"6.78"
90;"4.70"
91;"5.94"
92;"4.78"
93;"6.14"
94;"2.91"
95;"6.34"
96;"4.36"
97;"5.27"
98;"6.48"
99;"4.89"
100;"5.88"
101;"6.05"
102;"4.76"
103;"1.70"
104;"2.91"
105;"2.48"
106;"2.42"
107;"5.49"
108;"7.27"
109;"5.55"
110;"5.90"
111;"4.51"
112;"4.56"
113;"6.09"
114;"4.98"
115;"5.45"
116;"2.73"
117;"2.30"
118;"2.46"
119;"4.13"
120;"1.98"
121;"2.53"
122;"1.17"
123;"5.30"
124;"5.38"
125;"3.04"
126;"2.77"
127;"2.77"
128;"8.07"
129;"7.86"
130;"3.07"
131;"2.91"
132;"5.29"
133;"5.80"
134;"5.66"
135;"7.22"
136;"5.65"
137;"4.44"
138;"2.66"
139;"5.99"
140;"4.46"
141;"1.86"
142;"3.71"
143;"4.58"
144;"2.89"
145;"4.58"
146;"4.43"
147;"4.71"
148;"4.40"
149;"4.26"
150;"3.21"
151;"3.99"
152;"5.26"
153;"2.26"
154;"3.66"
155;"4.17"
156;"5.00"
157;"3.94"
158;"4.24"
159;"5.23"
160;"5.25"
161;"5.11"
162;"8.89"
163;"3.68"
164;"4.33"
165;"3.39"
166;"5.94"
167;"8.82"
168;"5.04"
169;"2.24"
170;"5.50"
171;"3.88"
172;"5.33"
173;"2.86"
174;"5.75"
175;"5.46"
