"id";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
1;0;0;0;0;53;0;52;0
2;0;0;0;0;51;0;48;0
3;0;0;0;0;88;0;83;0
4;0;0;0;0;89;1;88;0
5;0;0;0;0;83;0;82;0
6;0;0;0;0;98;0;97;0
7;0;0;0;0;96;0;95;0
8;0;0;0;0;114;0;108;0
9;0;0;0;0;167;0;166;0
10;0;0;0;0;89;0;88;0
11;0;0;0;0;82;1;70;9
12;0;0;0;0;88;1;87;0
13;0;0;0;0;105;3;105;0
14;0;0;0;0;77;0;77;0
15;0;0;0;0;60;0;55;0
16;0;0;0;0;67;0;69;0
17;0;0;0;0;99;0;91;0
18;0;0;0;0;89;0;89;0
19;0;0;0;0;110;0;107;0
20;0;0;0;0;84;0;84;3
21;0;0;0;0;90;0;86;6
22;0;0;0;0;45;0;43;0
23;0;0;0;0;77;0;74;0
24;0;0;0;0;90;0;86;0
25;0;0;0;0;73;0;67;0
26;0;0;0;0;98;0;91;0
27;0;0;0;0;48;0;46;0
28;0;0;0;0;34;0;27;0
29;0;0;0;0;35;0;29;0
30;0;0;0;0;102;0;97;8
31;0;0;0;0;130;0;127;0
32;0;0;0;0;67;0;63;0
33;0;0;0;0;96;0;90;0
34;0;0;0;0;52;0;47;0
35;0;0;0;0;55;0;51;0
36;0;0;0;0;64;0;65;0
37;0;0;0;0;84;0;85;0
38;0;0;0;0;82;0;84;0
39;0;0;0;0;52;1;61;0
40;0;0;0;0;62;0;67;0
41;0;0;0;0;93;3;105;2
42;0;0;0;0;89;2;101;5
43;0;0;0;0;168;1;182;3
44;0;0;0;0;72;1;75;0
45;0;0;0;0;147;0;148;0
46;0;0;0;0;118;2;119;0
47;0;0;0;0;72;2;78;0
48;0;0;0;0;76;3;83;0
49;0;0;0;0;118;6;129;6
50;0;0;0;0;65;6;77;6
51;0;0;0;0;74;4;86;2
52;0;0;0;0;80;3;92;2
53;0;0;0;0;104;7;116;1
54;0;0;0;0;81;0;82;0
55;0;0;0;0;100;0;101;0
56;0;0;0;0;125;0;124;0
57;0;0;0;0;145;10;153;0
58;0;0;0;0;134;1;136;0
59;0;0;0;0;117;0;120;0
60;0;0;0;0;60;0;57;0
61;0;0;0;0;64;0;59;0
62;0;0;0;0;105;0;106;0
63;0;0;0;0;79;0;79;0
64;0;0;0;0;150;0;138;23
65;0;0;0;0;92;0;89;0
66;0;0;0;0;72;0;77;0
67;0;0;0;0;75;5;73;0
69;0;0;0;0;87;0;77;10
71;0;0;0;0;83;0;82;0
72;0;0;0;0;59;0;59;0
73;0;0;0;0;93;0;93;0
74;0;0;0;0;118;1;120;0
75;0;0;0;0;89;9;87;0
76;0;0;0;0;95;5;95;0
77;0;0;0;0;92;0;101;0
78;0;0;0;0;91;10;97;0
79;0;0;0;0;104;9;116;3
80;0;0;0;0;69;5;81;5
81;0;0;0;0;63;0;74;7
82;0;0;0;0;85;1;97;5
83;0;0;0;0;128;4;140;4
84;0;0;0;0;72;0;69;0
85;0;0;0;0;82;0;78;0
86;0;0;0;0;85;0;86;0
87;0;0;0;0;62;0;74;1
88;0;0;0;0;44;3;43;0
89;0;0;0;0;62;1;74;6
90;0;0;0;0;151;0;147;0
91;0;0;0;0;83;0;74;8
92;0;0;0;0;74;0;66;13
93;0;0;0;0;85;1;73;14
94;0;0;0;0;67;0;69;0
95;0;0;0;0;76;0;69;10
96;0;0;0;0;95;0;92;4
97;0;0;0;0;68;0;61;15
98;0;0;0;0;64;0;52;8
99;0;0;0;0;105;0;95;17
100;0;0;0;0;68;1;58;14
101;0;0;0;0;84;0;80;5
102;0;0;0;0;100;0;100;0
103;0;0;0;0;76;0;77;0
104;0;0;0;0;63;0;66;0
105;0;0;0;0;42;0;43;0
106;0;0;0;0;80;0;85;0
107;0;0;0;0;65;0;56;11
108;0;0;0;0;112;3;101;27
109;0;0;0;0;61;0;51;7
110;0;0;0;0;68;0;59;20
111;0;0;0;0;44;0;35;9
112;0;0;0;0;45;1;36;13
113;0;0;0;0;112;0;100;20
114;0;0;0;0;117;0;126;0
115;0;0;0;0;86;0;74;21
116;0;0;0;0;82;0;84;0
117;0;0;0;0;67;0;70;0
118;0;0;0;0;84;0;86;0
119;0;0;0;0;27;0;31;0
120;0;0;0;0;33;0;29;0
121;0;0;0;0;64;0;61;0
122;0;0;0;0;43;0;42;0
123;0;0;0;0;67;0;63;0
124;0;0;0;0;69;0;64;0
125;0;0;0;0;72;0;76;0
126;0;0;0;0;49;0;61;3
127;0;0;0;0;52;0;64;0
128;0;0;0;0;130;1;142;4
129;0;0;0;0;159;1;171;21
130;0;0;0;0;97;0;93;0
131;0;0;0;0;105;0;100;0
132;0;0;0;0;117;0;129;5
133;0;0;0;0;97;2;109;2
134;0;0;0;0;67;4;78;3
135;0;0;0;0;130;0;142;19
136;0;0;0;0;78;0;90;14
137;0;0;0;0;79;0;71;0
138;0;0;0;0;43;0;40;0
139;0;0;0;0;92;0;103;6
140;0;0;0;0;69;0;59;0
141;0;0;0;0;41;0;45;0
142;0;0;0;0;74;0;85;0
143;0;0;0;0;54;0;53;1
144;0;0;0;0;37;0;31;0
145;0;0;0;0;84;0;84;1
146;0;0;0;0;43;0;45;1
147;0;0;0;0;51;0;44;1
148;0;0;0;0;75;0;70;1
149;0;0;0;0;157;0;162;0
150;0;0;0;0;41;0;42;0
151;0;0;0;0;64;0;56;0
152;0;0;0;0;48;0;41;3
153;0;0;0;0;51;0;47;0
154;0;0;0;0;49;0;45;0
155;0;0;0;0;94;0;98;5
156;0;0;0;0;96;1;96;0
157;0;0;0;0;118;1;117;0
158;0;0;0;0;69;0;61;1
159;0;0;0;0;67;0;55;1
160;0;0;0;0;179;0;167;4
161;0;0;0;0;135;0;142;0
162;0;0;0;0;116;2;104;20
163;0;0;0;0;211;0;218;0
164;0;0;0;0;155;0;148;8
165;0;0;0;0;58;1;53;7
166;0;0;0;0;157;0;152;24
167;0;0;0;0;85;1;74;13
168;0;0;0;0;150;0;153;1
169;0;0;0;0;141;0;145;0
170;0;0;0;0;152;0;154;9
171;0;0;0;0;80;0;88;0
172;0;0;0;0;93;1;89;0
173;0;0;0;0;24;0;29;0
174;0;0;0;0;49;1;61;1
175;0;0;0;0;128;1;140;3
