"id";"time";"available bikes"
1;0;12
1;1826;11
1;2444;12
1;2836;11
1;3066;10
1;3797;9
1;3933;8
1;4142;9
1;10685;8
1;10833;7
1;13407;6
1;14587;7
1;15589;6
1;26649;7
1;32273;8
1;32311;9
1;34146;8
1;35117;9
1;35160;10
1;35335;9
1;35417;8
1;35431;9
1;35799;8
1;36398;9
1;36639;10
1;37484;9
1;38339;8
1;39012;9
1;39526;10
1;39671;9
1;39806;8
1;40744;9
1;41702;8
1;41841;7
1;42814;8
1;42911;9
1;44280;10
1;44546;9
1;51048;8
1;51430;7
1;51867;8
1;52027;7
1;52161;6
1;52188;5
1;52703;6
1;52884;7
1;52968;8
1;53173;9
1;53525;8
1;53561;7
1;54795;8
1;54924;9
1;55060;8
1;56538;7
1;57184;8
1;57682;7
1;58504;6
1;61458;5
1;61562;4
1;62384;5
1;62957;4
1;63353;5
1;64047;4
1;64078;3
1;64953;4
1;65226;5
1;65282;6
1;65942;5
1;66017;6
1;68444;5
1;68845;6
1;68982;7
1;69038;8
1;69154;9
1;69214;10
1;69235;9
1;69390;10
1;69797;11
1;69820;12
1;70088;11
1;70582;10
1;70746;9
1;70881;8
1;72329;9
1;72400;8
1;72790;9
1;73102;8
1;73507;9
1;73558;10
1;74483;11
1;75183;10
1;77093;11
1;77333;12
1;78995;11
1;83255;12
1;83613;11
1;86149;10
2;0;12
2;1601;11
2;3050;10
2;3709;9
2;3798;10
2;4245;9
2;4310;8
2;4310;9
2;5130;8
2;6493;9
2;6734;8
2;7156;9
2;7267;10
2;7493;9
2;10394;8
2;12170;7
2;12278;6
2;18286;5
2;18931;6
2;24653;7
2;28286;6
2;29730;7
2;29793;8
2;29939;9
2;30197;8
2;30617;7
2;31609;8
2;31980;9
2;34957;8
2;34959;7
2;35790;8
2;35888;9
2;35994;10
2;38179;9
2;39421;8
2;41651;9
2;41877;10
2;42134;9
2;48561;8
2;49074;9
2;49249;10
2;49281;11
2;49705;10
2;49744;9
2;50674;8
2;51859;7
2;53860;8
2;54159;7
2;56511;8
2;57195;7
2;58026;6
2;60074;7
2;60624;6
2;61679;5
2;62762;4
2;64663;5
2;65011;6
2;65475;5
2;65999;4
2;66576;5
2;66611;6
2;66975;7
2;67160;8
2;67536;7
2;67546;6
2;67945;7
2;68059;6
2;70249;7
2;70294;8
2;72210;7
2;72884;8
2;72907;9
2;73405;10
2;73541;11
2;73858;10
2;75622;11
2;76493;10
2;77542;11
2;77688;12
2;77707;13
2;77878;14
2;78339;13
2;78906;12
2;79219;11
2;79711;10
2;81140;11
2;82034;10
2;82693;11
2;83351;12
2;83788;11
2;83835;12
2;84167;11
2;85807;10
2;86578;11
2;87251;12
3;0;12
3;255;11
3;841;10
3;990;11
3;1205;10
3;1279;11
3;2456;10
3;2683;9
3;2986;10
3;4207;9
3;4414;10
3;5790;9
3;7771;8
3;10135;7
3;10291;8
3;12660;7
3;22077;8
3;22719;9
3;22793;10
3;23135;9
3;27981;10
3;29374;9
3;30402;10
3;30626;11
3;31809;10
3;32418;9
3;33974;10
3;34262;11
3;34299;12
3;34569;11
3;34601;12
3;35639;13
3;36385;14
3;36475;15
3;36680;16
3;37692;15
3;37929;14
3;38309;13
3;39227;14
3;39770;15
3;40954;14
3;41905;13
3;41905;14
3;42878;13
3;44078;14
3;44413;15
3;44971;14
3;44971;15
3;46192;14
3;46369;13
3;46743;14
3;46912;13
3;46954;12
3;47028;11
3;47053;10
3;47266;9
3;48400;10
3;48940;11
3;49540;12
3;50006;11
3;50273;12
3;50457;11
3;51558;12
3;51590;11
3;51646;10
3;51722;9
3;51730;8
3;52398;9
3;53125;10
3;53483;9
3;54100;8
3;54422;7
3;54852;8
3;55256;9
3;55259;8
3;55709;7
3;55767;6
3;56477;5
3;56629;4
3;57296;3
3;57454;4
3;57686;3
3;57894;4
3;57970;5
3;58198;6
3;58978;7
3;59460;6
3;59582;7
3;59856;6
3;60270;7
3;60560;6
3;61028;7
3;61058;8
3;61639;7
3;61688;6
3;61776;5
3;61788;6
3;62469;7
3;62585;8
3;63134;9
3;63511;8
3;63683;7
3;63980;6
3;64804;7
3;64940;6
3;64992;5
3;65390;6
3;65585;5
3;66122;6
3;66774;7
3;67464;6
3;67553;7
3;67624;8
3;67750;7
3;68009;8
3;68021;9
3;68395;8
3;68846;9
3;68904;10
3;68950;11
3;69217;10
3;69253;9
3;69725;8
3;69926;7
3;69965;6
3;70012;5
3;70292;6
3;70783;5
3;71333;6
3;71507;7
3;72155;6
3;72460;7
3;72471;8
3;72712;7
3;73152;6
3;73493;7
3;73598;6
3;73650;5
3;74198;6
3;74771;7
3;74791;6
3;74976;7
3;75154;8
3;75653;9
3;75813;10
3;75925;9
3;76175;8
3;76186;9
3;76204;10
3;76511;9
3;76598;8
3;78623;9
3;78735;10
3;78836;11
3;78952;10
3;79068;9
3;79092;10
3;79416;11
3;80531;10
3;80560;9
3;80580;8
3;80984;9
3;81512;8
3;81821;9
3;82491;8
3;82893;9
3;83240;8
3;84493;9
3;85126;8
3;85491;7
3;85799;8
3;86108;9
3;86615;8
3;86729;7
4;0;9
4;872;8
4;1078;9
4;1811;10
4;2861;11
4;3041;10
4;4182;11
4;4369;10
4;4369;11
4;5327;10
4;6372;9
4;7964;8
4;14248;9
4;16503;8
4;25510;7
4;26383;6
4;27084;5
4;27398;4
4;27799;5
4;28342;4
4;29392;3
4;29431;4
4;29441;3
4;29458;2
4;30088;1
4;30435;0
4;30740;1
4;31553;2
4;31566;1
4;31645;2
4;32039;3
4;32121;4
4;32439;3
4;32638;4
4;33035;5
4;33629;4
4;33880;3
4;33903;4
4;33940;3
4;33981;2
4;34191;3
4;34465;2
4;34528;1
4;35147;0
4;36094;1
4;36924;2
4;37254;3
4;38489;4
4;41070;3
4;41115;4
4;41456;5
4;41490;4
4;41532;3
4;41903;2
4;42598;3
4;44644;4
4;45893;3
4;46921;2
4;49494;3
4;49731;2
4;50380;3
4;51019;4
4;51259;5
4;51324;6
4;51478;7
4;52235;8
4;52295;7
4;52365;6
4;52568;7
4;53131;8
4;53575;7
4;54589;8
4;55026;7
4;55412;8
4;55880;9
4;56005;8
4;57015;7
4;57881;8
4;59931;7
4;60204;6
4;60342;7
4;60531;8
4;60770;9
4;60871;10
4;60890;11
4;61133;12
4;61401;13
4;61428;12
4;61801;13
4;61802;12
4;62046;13
4;62177;12
4;62209;11
4;63391;10
4;63561;11
4;63811;10
4;63870;9
4;63924;10
4;64335;9
4;65087;8
4;65141;9
4;65479;10
4;66313;9
4;66670;8
4;67395;7
4;67656;6
4;67678;7
4;67733;8
4;67873;9
4;67883;10
4;67899;11
4;67970;12
4;68112;13
4;68444;14
4;68958;13
4;69238;14
4;69889;15
4;69924;14
4;70186;13
4;70462;12
4;70559;11
4;71016;10
4;71146;9
4;71824;8
4;72307;7
4;72606;6
4;72621;7
4;72861;6
4;72886;7
4;73339;8
4;73376;9
4;73485;8
4;74271;9
4;74360;10
4;74463;9
4;74463;10
4;74490;9
4;74646;10
4;74987;9
4;75762;8
4;75923;9
4;75956;8
4;76199;9
4;76445;10
4;76600;9
4;76959;8
4;77235;9
4;77509;8
4;77834;7
4;78071;8
4;78379;9
4;78729;10
4;78749;11
4;78937;12
4;78974;11
4;79348;12
4;79490;11
4;79493;10
4;79710;9
4;80312;8
4;81125;9
4;81283;10
4;81676;9
4;82213;8
4;82389;9
4;82739;8
4;83610;7
4;83610;8
4;84051;7
4;84868;8
4;86232;9
5;0;12
5;1472;11
5;3191;10
5;3201;9
5;3270;8
5;4474;7
5;4576;6
5;7687;7
5;7813;6
5;8858;5
5;20837;4
5;25875;3
5;26691;4
5;27480;5
5;28367;4
5;28827;5
5;29066;4
5;29701;3
5;30397;4
5;30878;3
5;31568;4
5;32117;3
5;32439;4
5;32776;5
5;33432;4
5;33788;3
5;34323;4
5;34448;5
5;34488;6
5;34889;5
5;35073;4
5;35151;5
5;35201;4
5;35575;5
5;35882;4
5;36249;3
5;36441;2
5;38050;3
5;38198;4
5;39426;5
5;40052;4
5;40135;3
5;40634;2
5;42238;3
5;42760;4
5;43678;5
5;44059;6
5;44924;7
5;45730;6
5;45812;5
5;46086;6
5;47763;5
5;47763;6
5;47801;7
5;47956;8
5;48382;7
5;48585;6
5;49308;7
5;49332;6
5;51539;7
5;51878;8
5;51911;9
5;52731;8
5;52749;7
5;52929;6
5;53180;7
5;53533;8
5;53933;7
5;53953;8
5;54729;7
5;55578;8
5;55813;7
5;55816;6
5;57151;7
5;57379;8
5;57863;7
5;58147;6
5;58758;5
5;59171;6
5;59286;7
5;59334;8
5;59468;9
5;60252;8
5;61286;7
5;61954;8
5;62082;9
5;62885;8
5;63387;9
5;63650;10
5;63721;11
5;64374;12
5;65183;11
5;66177;12
5;66208;11
5;66413;10
5;66821;11
5;67011;12
5;67174;13
5;67569;12
5;68093;11
5;68318;12
5;68554;11
5;68879;12
5;68961;13
5;69139;12
5;69162;11
5;69307;12
5;69545;13
5;69923;12
5;69925;13
5;69976;12
5;70639;13
5;70854;14
5;71398;13
5;72115;14
5;72281;15
5;72289;14
5;72372;13
5;72492;14
5;72493;15
5;72631;14
5;73182;13
5;73494;12
5;74086;13
5;74135;14
5;74355;15
5;74585;14
5;75044;13
5;75275;12
5;75289;11
5;76269;12
5;76419;13
5;76744;14
5;76839;15
5;76999;16
5;77296;17
5;77830;16
5;77858;15
5;77885;14
5;78009;13
5;78355;12
5;78708;13
5;78960;12
5;78987;13
5;79124;14
5;79209;13
5;79406;12
5;79470;13
5;79636;14
5;80344;13
5;81484;12
5;82297;13
5;83078;14
5;83677;13
5;83790;14
5;83871;15
5;84217;14
5;84493;13
5;84680;12
5;84786;11
6;0;13
6;494;12
6;736;13
6;1709;12
6;1731;11
6;1731;12
6;1794;11
6;2570;10
6;2987;9
6;3531;8
6;3531;9
6;5295;8
6;5651;7
6;8190;6
6;9176;5
6;10016;4
6;22765;5
6;29009;4
6;29748;3
6;30135;2
6;30168;1
6;30219;0
6;30813;1
6;30961;2
6;31595;3
6;32618;2
6;32618;3
6;32952;2
6;32975;3
6;33699;4
6;33710;5
6;33891;4
6;34514;3
6;34562;4
6;34660;3
6;35078;4
6;35189;5
6;35436;4
6;35581;3
6;35858;2
6;37000;3
6;40293;2
6;40743;1
6;40754;2
6;40756;1
6;41199;2
6;41246;3
6;41277;4
6;41294;5
6;42361;4
6;43182;3
6;43352;4
6;43454;5
6;43709;4
6;43774;5
6;44251;6
6;45505;7
6;45609;8
6;45837;7
6;46630;8
6;47672;7
6;47800;6
6;47874;5
6;48499;6
6;49831;7
6;50767;6
6;50802;7
6;51349;6
6;51625;7
6;52066;8
6;52121;9
6;52177;8
6;52348;9
6;52406;8
6;52444;7
6;53244;8
6;53283;9
6;53378;10
6;53450;9
6;53713;8
6;53765;7
6;54262;6
6;54296;7
6;54402;8
6;54991;7
6;55188;6
6;56295;5
6;56393;6
6;56574;7
6;56594;8
6;56949;7
6;57479;8
6;58957;7
6;60366;8
6;60443;9
6;60494;8
6;61344;9
6;61633;8
6;61690;7
6;61787;8
6;61969;9
6;62285;10
6;62721;9
6;63165;10
6;63613;11
6;63986;12
6;64369;11
6;64679;12
6;65680;11
6;65705;12
6;65932;11
6;65957;10
6;66382;11
6;66384;12
6;66986;13
6;67223;14
6;67307;13
6;67502;14
6;67580;15
6;67818;14
6;67906;15
6;67948;14
6;68006;15
6;68118;14
6;68242;15
6;68453;14
6;68547;13
6;68559;14
6;68645;15
6;68946;14
6;68982;13
6;68998;12
6;69076;13
6;69470;14
6;69826;13
6;69865;14
6;69874;15
6;70140;14
6;70209;15
6;70795;14
