"id";"balancing quality"
1;"3.92"
2;"4.14"
3;"3.41"
4;"2.70"
5;"5.15"
6;"6.31"
7;"3.77"
8;"3.26"
9;"2.87"
10;"4.08"
11;"4.38"
12;"5.66"
13;"4.69"
14;"4.55"
15;"2.97"
16;"3.22"
17;"2.44"
18;"4.23"
19;"3.16"
20;"4.19"
21;"3.93"
22;"4.12"
23;"3.62"
24;"3.37"
25;"3.89"
26;"3.55"
27;"2.95"
28;"4.22"
29;"4.34"
30;"4.29"
31;"2.43"
32;"3.23"
33;"2.95"
34;"3.90"
35;"5.38"
36;"2.16"
37;"4.38"
38;"3.38"
39;"4.23"
40;"3.94"
41;"5.79"
42;"5.93"
43;"7.28"
44;"4.09"
45;"2.71"
46;"3.48"
47;"5.01"
48;"4.59"
49;"5.19"
50;"6.30"
51;"6.34"
52;"5.58"
53;"5.86"
54;"1.37"
55;"2.81"
56;"3.87"
57;"4.95"
58;"4.46"
59;"3.16"
60;"3.42"
61;"3.50"
62;"3.88"
63;"3.58"
64;"6.72"
65;"2.38"
66;"3.08"
67;"5.70"
69;"5.30"
71;"1.91"
72;"2.29"
73;"4.54"
74;"4.78"
75;"5.68"
76;"5.27"
77;"6.02"
78;"4.09"
79;"7.61"
80;"5.51"
81;"4.66"
82;"7.79"
83;"6.02"
84;"2.09"
85;"2.51"
86;"1.43"
87;"5.30"
88;"4.50"
89;"7.12"
90;"4.89"
91;"5.05"
92;"5.06"
93;"6.58"
94;"2.56"
95;"6.81"
96;"4.26"
97;"5.74"
98;"6.30"
99;"4.94"
100;"5.83"
101;"6.35"
102;"4.89"
103;"1.66"
104;"2.81"
105;"2.48"
106;"2.33"
107;"5.46"
108;"7.33"
109;"5.03"
110;"5.92"
111;"4.05"
112;"4.03"
113;"6.34"
114;"4.90"
115;"5.47"
116;"2.61"
117;"1.82"
118;"1.89"
119;"3.76"
120;"2.16"
121;"2.07"
122;"1.23"
123;"4.74"
124;"4.79"
125;"2.75"
126;"2.59"
127;"2.71"
128;"8.06"
129;"7.67"
130;"2.40"
131;"2.60"
132;"5.16"
133;"5.94"
134;"5.31"
135;"7.24"
136;"5.90"
137;"4.25"
138;"2.68"
139;"5.96"
140;"4.33"
141;"1.86"
142;"3.78"
143;"4.18"
144;"2.86"
145;"4.30"
146;"4.00"
147;"4.69"
148;"4.28"
149;"4.30"
150;"3.33"
151;"3.83"
152;"5.25"
153;"2.48"
154;"3.65"
155;"3.60"
156;"4.61"
157;"3.43"
158;"4.42"
159;"5.38"
160;"5.09"
161;"3.99"
162;"8.66"
163;"3.06"
164;"3.84"
165;"2.45"
166;"5.73"
167;"8.68"
168;"5.27"
169;"2.47"
170;"5.51"
171;"3.57"
172;"5.34"
173;"2.66"
174;"5.64"
175;"5.29"
