"id";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
1;0;0;0;0;49;0;47;0
2;0;0;0;0;47;0;47;0
3;0;0;0;0;89;0;84;0
4;0;0;0;0;85;0;85;0
5;0;0;0;0;80;0;79;0
6;0;0;0;0;99;0;98;0
7;0;0;0;0;94;0;92;0
8;0;0;0;0;111;0;105;0
9;0;0;0;0;171;0;168;0
10;0;0;0;0;87;0;86;0
11;0;0;0;0;79;0;69;1
12;0;0;0;0;88;0;87;0
13;0;0;0;0;110;2;109;0
14;0;0;0;0;74;0;75;0
15;0;0;0;0;59;0;56;0
16;0;0;0;0;73;0;73;0
17;0;0;0;0;96;0;91;0
18;0;0;0;0;93;0;92;0
19;0;0;0;0;109;0;105;0
20;0;0;0;0;85;0;84;0
21;0;0;0;0;89;0;84;0
22;0;0;0;0;47;0;45;0
23;0;0;0;0;80;0;76;0
24;0;0;0;0;86;0;84;0
25;0;0;0;0;70;0;65;0
26;0;0;0;0;100;0;94;0
27;0;0;0;0;50;0;48;0
28;0;0;0;0;38;0;32;0
29;0;0;0;0;29;0;25;0
30;0;0;0;0;107;0;102;6
31;0;0;0;0;129;0;126;0
32;0;0;0;0;69;0;65;0
33;0;0;0;0;96;0;90;0
34;0;0;0;0;50;0;45;0
35;0;0;0;0;57;0;54;0
36;0;0;0;0;64;0;64;0
37;0;0;0;0;87;0;89;0
38;0;0;0;0;77;0;79;0
39;0;0;0;0;54;2;62;0
40;0;0;0;0;65;0;69;0
41;0;0;0;0;92;1;104;3
42;0;0;0;0;95;1;107;4
43;0;0;0;0;161;1;175;4
44;0;0;0;0;75;0;76;0
45;0;0;0;0;143;0;144;0
46;0;0;0;0;121;0;121;0
47;0;0;0;0;73;3;80;0
48;0;0;0;0;77;0;86;0
49;0;0;0;0;118;8;129;6
50;0;0;0;0;64;7;76;5
51;0;0;0;0;73;4;85;1
52;0;0;0;0;85;3;97;1
53;0;0;0;0;103;6;115;1
54;0;0;0;0;74;0;73;0
55;0;0;0;0;110;0;113;0
56;0;0;0;0;123;0;122;0
57;0;0;0;0;143;4;152;0
58;0;0;0;0;132;0;134;0
59;0;0;0;0;116;0;117;0
60;0;0;0;0;62;0;59;0
61;0;0;0;0;69;0;64;0
62;0;0;0;0;104;0;104;0
63;0;0;0;0;78;1;78;0
64;0;0;0;0;152;0;140;17
65;0;0;0;0;91;0;90;0
66;0;0;0;0;71;0;75;0
67;0;0;0;0;75;0;74;0
69;0;0;0;0;86;0;77;9
71;0;0;0;0;87;0;86;0
72;0;0;0;0;56;0;56;0
73;0;0;0;0;96;0;95;0
74;0;0;0;0;119;3;122;0
75;0;0;0;0;88;6;87;0
76;0;0;0;0;95;3;96;0
77;0;0;0;0;93;0;99;0
78;0;0;0;0;90;9;98;0
79;0;0;0;0;100;9;112;2
80;0;0;0;0;72;6;84;5
81;0;0;0;0;68;1;79;8
82;0;0;0;0;86;1;98;7
83;0;0;0;0;130;5;142;5
84;0;0;0;0;62;0;59;0
85;0;0;0;0;91;0;88;0
86;0;0;0;0;84;0;84;0
87;0;0;0;0;58;0;69;0
88;0;0;0;0;43;8;42;0
89;0;0;0;0;61;1;73;7
90;0;0;0;0;155;0;150;0
91;0;0;0;0;86;0;80;3
92;0;0;0;0;77;0;68;19
93;0;0;0;0;85;0;73;12
94;0;0;0;0;68;0;69;0
95;0;0;0;0;76;0;66;8
96;0;0;0;0;95;0;93;5
97;0;0;0;0;61;0;53;11
98;0;0;0;0;61;1;49;5
99;0;0;0;0;101;0;91;8
100;0;0;0;0;69;0;59;11
101;0;0;0;0;84;0;79;5
102;0;0;0;0;100;0;99;0
103;0;0;0;0;76;0;77;0
104;0;0;0;0;63;0;66;0
105;0;0;0;0;45;0;46;0
106;0;0;0;0;79;0;85;0
107;0;0;0;0;67;0;58;6
108;0;0;0;0;110;2;99;20
109;0;0;0;0;60;0;50;10
110;0;0;0;0;68;0;59;9
111;0;0;0;0;49;0;41;13
112;0;0;0;0;53;0;46;9
113;0;0;0;0;107;0;95;15
114;0;0;0;0;117;0;125;0
115;0;0;0;0;88;0;77;17
116;0;0;0;0;81;0;81;0
117;0;0;0;0;75;0;77;0
118;0;0;0;0;81;0;83;0
119;0;0;0;0;28;0;31;0
120;0;0;0;0;33;0;28;0
121;0;0;0;0;61;0;59;0
122;0;0;0;0;46;0;45;0
123;0;0;0;0;69;0;66;0
124;0;0;0;0;65;0;61;0
125;0;0;0;0;69;0;73;0
126;0;0;0;0;48;0;60;1
127;0;0;0;0;52;0;63;0
128;0;0;0;0;127;1;139;6
129;0;0;0;0;161;1;173;15
130;0;0;0;0;97;0;93;0
131;0;0;0;0;99;0;95;0
132;0;0;0;0;117;0;129;4
133;0;0;0;0;94;4;106;3
134;0;0;0;0;68;5;78;4
135;0;0;0;0;130;0;142;19
136;0;0;0;0;78;0;89;15
137;0;0;0;0;79;0;71;0
138;0;0;0;0;44;0;41;0
139;0;0;0;0;92;0;104;3
140;0;0;0;0;68;0;59;0
141;0;0;0;0;40;0;44;0
142;0;0;0;0;74;0;83;0
143;0;0;0;0;55;0;55;0
144;0;0;0;0;37;0;31;0
145;0;0;0;0;83;0;84;0
146;0;0;0;0;44;0;45;0
147;0;0;0;0;50;0;42;0
148;0;0;0;0;74;0;71;1
149;0;0;0;0;158;0;162;0
150;0;0;0;0;40;0;42;0
151;0;0;0;0;59;0;51;0
152;0;0;0;0;48;0;41;1
153;0;0;0;0;49;0;45;0
154;0;0;0;0;56;0;50;0
155;0;0;0;0;95;0;99;5
156;0;0;0;0;93;0;94;0
157;0;0;0;0;120;0;120;0
158;0;0;0;0;71;0;62;1
159;0;0;0;0;66;0;54;1
160;0;0;0;0;180;0;168;4
161;0;0;0;0;135;0;142;0
162;0;0;0;0;118;1;106;21
163;0;0;0;0;211;0;216;0
164;0;0;0;0;151;0;145;5
165;0;0;0;0;67;0;62;7
166;0;0;0;0;157;0;153;23
167;0;0;0;0;80;0;69;14
168;0;0;0;0;151;0;153;0
169;0;0;0;0;141;0;145;0
170;0;0;0;0;150;0;152;6
171;0;0;0;0;81;0;88;0
172;0;0;0;0;93;1;89;0
173;0;0;0;0;24;0;28;0
174;0;0;0;0;48;0;60;2
175;0;0;0;0;128;1;140;2
