"id";"Time intervals";"Total time"
1;"58504-62384  62805-63335  63882-65016  65942-66017  67685-69935  70881-71677  71907-74483  78995-83255  83613-86399  ";18287
2;"12726-18931  30617-31609  41258-41651  42134-44033  44558-44699  46761-49249  50674-51864  52019-52852  53537-55038  57195-60074  60624-62613  62969-65222  65999-66292  72511-72611  72797-72884  73058-73237  74065-74451  75195-75307  79711-81140  82034-83835  84167-86399  ";29382
3;"";0
4;"31657-32039  33981-33989  34528-37254  41070-41388  46921-49494  49731-50680  ";6956
5;"29701-30397  30878-31568  32135-32679  33946-34448  34889-35225  35471-35575  35748-36177  40674-42760  43197-43678  44038-44059  45812-46086  47711-47801  47929-47956  48585-49308  55203-55569  55813-57379  57863-59199  61286-61954  65253-66177  ";11863
6;"30118-30795  33191-33241  33837-34562  35162-35315  35436-37000  40293-40754  40812-41199  42537-43454  43709-44251  44577-45505  47818-48517  49751-49831  51493-51608  52444-53283  53450-54296  54991-56393  58754-59261  60494-61344  61633-61787  81514-82174  ";12556
7;"30794-31497  32410-33197  ";1490
8;"25732-26230  27544-28257  30558-30676  31067-31417  32020-32527  32783-33156  33420-33761  ";2900
9;"";0
10;"42443-43688  44701-45860  46768-47337  47720-47931  48203-48270  48660-48660  56097-56097  56535-56751  57164-57851  58718-59204  61707-62032  69160-69882  ";5687
11;"78265-78752  79332-79699  81790-82434  82995-83468  83865-85061  85729-86399  ";3837
12;"16717-23318  29135-31407  31681-32845  35221-35561  36293-37193  41981-42022  45405-46417  46817-46970  49078-49797  50056-51005  51381-51845  52169-52449  54096-55357  56643-57021  57044-57989  60189-60554  61153-61755  64677-65203  65319-66660  67253-67265  67553-67863  ";20635
13;"30042-30327  30753-32004  34289-34560  34726-35860  36276-37088  50152-50511  ";4112
14;"32735-33523  34189-34779  35349-36427  37481-37517  37535-37613  38216-40608  50806-51017  57851-59439  59762-61224  63173-65297  66365-66409  66432-66922  ";10881
15;"";0
16;"35484-36196  36547-39671  39990-44234  45597-49967  50062-50296  53527-53832  54368-55037  62930-64530  66309-66392  66771-67423  67740-68319  ";16572
17;"61373-62211  86309-86399  ";928
18;"30562-30942  32470-33422  33864-36016  37981-38403  40374-41034  47245-49064  50665-51292  53849-54001  54274-54348  ";7238
19;"";0
20;"";0
21;"";0
22;"47003-47982  49693-51122  51847-52316  57259-62426  62750-63790  63914-64666  65453-68982  70746-71521  71792-73588  73953-77089  ";19072
23;"6010-7339  8707-9973  11837-22905  25826-30186  30946-31400  60424-60957  61364-61741  62778-63307  67528-68476  68695-70095  70401-71954  72453-72628  84733-85781  ";25040
24;"60022-60028  60286-61887  63455-63616  68617-69356  ";2507
25;"";0
26;"";0
27;"";0
28;"51542-52562  55288-55338  55767-61257  62652-66155  66745-71290  72351-73903  85509-86399  ";17050
29;"71468-71560  72957-73029  73859-79784  80238-86399  ";12250
30;"";0
31;"";0
32;"";0
33;"";0
34;"";0
35;"52655-54703  55482-56268  58056-58165  67164-69263  69466-69977  70402-73057  73739-74309  74432-74575  76963-77379  77889-78111  78614-78695  81451-82141  85125-86399  ";11604
36;"48945-49247  61158-61641  65562-67008  73245-73373  ";2359
37;"34431-34810  35017-35648  35838-36742  36791-38594  39232-39642  41337-41581  47110-48793  49096-52407  55386-56489  60512-61593  61869-62160  62731-62977  63205-63351  63616-63904  69318-69502  70697-70952  71754-71769  72021-72046  ";12999
38;"49779-51805  51993-52988  56053-56890  57012-57100  57600-59028  61683-62541  63367-63936  64421-64758  65810-66615  67266-67274  67604-67715  67763-67821  68683-68683  68913-69275  ";8482
39;"34918-35492  36247-37115  37342-40597  42853-45493  46235-48440  48481-48790  49086-52068  54379-55490  56159-57222  57471-60707  60921-61114  ";18436
40;"";0
41;"30257-30422  31507-32027  32233-32470  32800-33831  34180-35867  38809-40940  43962-45314  45532-46857  47022-47772  48251-49372  49790-50229  50485-50943  51357-51930  ";11789
42;"29427-41038  44421-44877  45288-45969  46081-46099  47069-47513  47828-49701  50043-50389  50688-51215  51974-52191  54086-54128  ";16215
43;"31894-32662  35251-37114  44947-45260  45766-46140  46545-47187  47699-48035  48866-48898  49188-49466  ";4606
44;"32799-32950  34896-34904  35846-40097  40724-41235  41439-41560  ";5042
45;"31280-32193  32582-33397  33722-34277  34595-34984  39286-40972  41181-41804  42191-42361  42814-43554  43869-43869  44348-44425  44614-44659  45135-45803  46462-46692  47331-47642  59568-59727  ";7381
46;"30252-30720  31081-33555  33703-33999  36726-36942  37799-38338  38987-39899  40175-40849  41893-44167  44679-45197  45465-45856  46176-46890  47575-47841  48125-48283  ";9900
47;"27876-38539  38977-39785  40272-40898  42015-47897  48130-48271  48536-48629  48911-49589  49995-50274  ";19170
48;"29824-34533  34840-35397  35698-38582  38746-44251  46206-46919  ";14368
49;"35046-35270  35822-36391  37790-41149  43772-45728  48251-48700  49553-49939  50613-51866  54237-54893  56466-56638  ";9024
50;"32655-33372  35096-38844  43205-47955  48843-49131  49621-50103  50827-52566  52785-53898  60124-61651  61949-62274  63060-64313  ";15942
51;"34606-46444  47320-49561  49706-50918  51318-51318  51324-51539  51791-52323  52509-52732  53332-53975  55211-56568  ";18261
52;"32672-32906  33973-37915  38458-39441  39693-39865  40165-40194  42351-45875  46412-47221  47510-48513  49439-49908  51042-51702  52155-52229  52255-52717  52914-54122  55372-55379  55774-56040  59261-60318  60980-61331  61961-62073  62581-63415  63492-63713  66935-66935  ";16417
53;"33669-34068  34797-35248  35459-35459  35802-36062  36266-36665  37274-38459  38648-38720  38828-39406  39659-42099  42630-44569  45041-48849  49159-49164  52235-52953  53155-53779  55673-55765  56326-56732  58063-58394  ";13707
54;"";0
55;"";0
56;"31763-32045  32780-33260  40266-40482  41231-41747  43631-43806  52891-53024  55627-55750  55888-56596  67490-67603  ";2746
57;"31702-31846  32380-33442  35497-35706  36122-36458  36877-36896  37272-37583  38549-41381  42084-42150  42397-42679  42931-43029  43124-43677  44038-45275  45751-48256  48419-49168  51981-53377  ";11799
58;"13129-26640  29209-29909  30062-30414  32426-32603  32739-32965  37995-38181  38503-38893  39161-40701  47809-50357  53630-53825  ";19825
59;"44826-45225  46273-46720  48049-48988  49424-49927  50910-51384  52983-53272  ";3051
60;"";0
61;"68073-68324  68690-69142  70267-73560  ";3996
62;"32741-32782  32977-33249  33484-34586  35960-36658  36863-37069  ";2319
63;"29868-32253  34868-36037  37668-38525  44348-45303  45955-46715  59015-59112  59664-61788  62115-62145  62850-62972  63536-65575  66332-68442  72817-73977  74237-74356  ";13927
64;"79013-79760  80539-86399  ";6607
65;"";0
66;"48753-49860  51685-51727  53935-54585  60364-60789  61601-61765  64999-65277  65464-65608  68655-69261  69627-71445  72055-74066  77005-77526  ";7766
67;"36889-37214  38649-44252  44496-49283  51126-51181  51796-52482  56500-56604  57346-57365  58320-58649  59794-60762  61107-61971  62290-62632  64248-66333  67303-67643  69084-70318  ";17741
69;"73117-73238  74856-75189  79805-82299  84238-84551  85623-86399  ";4037
71;"";0
72;"";0
73;"";0
74;"35069-38524  38889-38889  39155-39432  45475-46074  49783-49980  51198-51241  54493-54965  56378-56439  65683-65931  ";5352
75;"29151-30608  30839-33769  34348-34387  35416-35914  36381-37268  37934-38076  38306-39043  39628-41179  41706-42313  42706-43767  44137-46156  49029-49172  49390-49975  60892-61094  61685-61709  61844-62029  62090-62402  62656-62976  64884-65047  65454-65527  66169-66189  66734-67302  68047-68103  69780-70675  71323-71520  ";15671
76;"35702-36319  37842-39949  40346-43912  47742-48083  48318-49476  50976-51877  52113-52807  53140-53664  62115-63701  63840-63908  64353-65008  66508-66589  66731-67124  73146-74426  ";13971
77;"35095-43810  ";8715
78;"31797-32203  32299-32661  33005-33197  33218-33273  33441-33444  33493-33812  33962-34201  34372-34774  35408-36000  37028-37383  37779-40089  42853-42876  43298-48442  49616-50785  ";11571
79;"29823-29867  30233-30316  30340-30511  30664-30691  30734-31041  31554-32034  32275-32594  32862-32942  33992-34247  34463-35328  35822-36965  37672-38457  39873-41108  41480-42114  42468-44172  44469-45240  45978-46370  47381-47724  49040-49508  50373-51085  ";10818
80;"34549-35617  36093-38591  40957-41282  41877-44377  45142-47935  50354-51037  ";9867
81;"32494-35400  36398-39168  42516-45276  48858-52807  54293-55811  ";13903
82;"40218-42988  43289-43823  45831-48553  49363-49705  57933-58716  59885-60142  ";7408
83;"33905-35676  35904-36067  36485-37954  39125-39242  39807-40051  40650-40666  41510-41790  43468-44334  44967-45132  45463-46204  46807-49395  50570-50611  ";8461
84;"";0
85;"";0
86;"";0
87;"34478-38492  41551-43417  44435-51515  53497-53611  ";13074
88;"32692-32802  32854-36861  37384-37630  37818-39405  39804-41062  42173-46397  50179-51059  ";12312
89;"51323-53239  54194-54358  59354-61553  ";4279
90;"34482-34608  35727-36039  ";438
91;"71279-72471  78785-86399  ";8806
92;"";0
93;"74921-76099  76884-77497  78275-79378  81983-82518  85951-86399  ";3877
94;"";0
95;"";0
96;"";0
97;"71642-74611  75303-76443  76972-77478  80117-80529  81304-84361  85702-86399  ";8781
98;"69929-70637  71607-72228  72603-74788  74998-76345  76676-76863  77311-78250  81265-86399  ";11121
99;"82545-82677  83469-86399  ";3062
100;"74303-79203  81873-82566  83141-84896  ";7348
101;"27910-29799  ";1889
102;"";0
103;"72223-72558  ";335
104;"";0
105;"51549-52160  ";611
106;"";0
107;"";0
108;"74527-74952  75223-75345  76435-77170  77258-78160  78652-78743  78812-79387  82765-85117  85426-86399  ";6175
109;"65330-65399  66252-66555  66765-67508  67748-70639  70763-71044  74432-76332  76877-78379  79445-86399  ";14643
110;"75545-78278  79044-80466  81787-84990  ";7358
111;"70063-71548  71812-75884  76356-86399  ";15600
112;"67865-69010  69534-69761  69857-70343  72209-74171  75064-75434  75808-75870  76664-77713  79263-79600  79908-86399  ";12129
113;"68417-68734  71973-72112  72240-73291  73517-74718  75214-75335  76909-77786  78026-79674  80623-80990  81505-86399  ";10615
114;"";0
115;"73257-75396  78547-79649  80007-82136  82324-86399  ";9445
116;"";0
117;"";0
118;"";0
119;"";0
120;"";0
121;"74282-74799  76757-76771  ";531
122;"";0
123;"33753-35443  36340-37304  43379-44461  44898-45179  47029-48254  50064-50374  52497-52551  52875-54265  56141-59958  66030-67129  67925-68216  71478-71750  72300-72490  73676-73867  ";12856
124;"51637-52793  53258-54607  66889-66950  67023-67933  67963-70469  71295-71520  71689-71866  72376-73614  73855-74591  79815-81489  ";10032
125;"";0
126;"";0
127;"";0
128;"39376-39949  40428-41494  41978-42631  43235-43442  43519-44907  45223-45244  52512-53343  56700-57701  64219-65433  ";6954
129;"37079-37512  38368-38981  39468-40015  40579-40695  43848-45366  45553-46342  47453-47601  48180-48284  ";4268
130;"85828-86399  ";571
131;"";0
132;"";0
133;"34214-34318  34356-34674  36025-36430  37526-37526  41695-42486  43978-45155  45637-46077  46504-50482  51029-51258  ";7442
134;"32424-33189  33471-33609  34628-35034  35462-36768  39271-41663  42205-44143  44648-46490  46798-48325  48509-49624  49945-53447  53646-55535  62338-63038  ";17520
135;"";0
136;"";0
137;"";0
138;"";0
139;"";0
140;"74946-80976  81528-83128  84538-85061  ";8153
141;"";0
142;"";0
143;"";0
144;"";0
145;"";0
146;"";0
147;"";0
148;"72624-72672  ";48
149;"57194-57242  57502-58102  58317-58318  58409-58598  64287-64481  65160-65186  65613-65724  66031-66617  ";1755
150;"";0
151;"";0
152;"";0
153;"";0
154;"";0
155;"";0
156;"32476-34886  35192-36776  38874-39665  42505-43818  45240-47172  47911-48936  49428-49900  50284-50990  54544-55106  55388-55394  56748-58038  71348-71418  71524-71774  72330-72335  72502-72645  74337-74514  78855-79044  81982-82077  82906-82929  ";13043
157;"39950-41413  41868-42975  49740-49809  49891-50319  50926-51740  ";3881
158;"";0
159;"80295-86399  ";6104
160;"84720-84811  85067-86197  86368-86399  ";1252
161;"41353-42000  42839-43063  43400-43832  46633-46727  47123-47849  47965-48087  48984-50376  51427-52112  54375-54628  ";4575
162;"64490-65503  65756-65938  66167-68746  68874-69621  70079-70685  72294-72456  73583-75390  86077-86399  ";7418
163;"38480-39073  39252-39339  ";680
164;"73018-73889  74020-74266  84869-85045  85573-86345  ";2065
165;"67223-67447  67465-67505  67772-68191  68886-70381  75119-75220  78067-86399  ";10611
166;"75518-75523  75682-77038  78366-78441  78919-79526  ";2043
167;"6835-9360  11705-13358  77714-78749  81989-82201  83917-84125  84882-86399  ";7150
168;"52666-52778  53122-53289  ";279
169;"";0
170;"";0
171;"";0
172;"39532-40744  41420-41630  73487-74210  75570-75811  76029-76236  ";2593
173;"";0
174;"33664-34661  35262-35559  36435-39876  42373-44666  48976-50841  ";8893
175;"37726-38472  38756-38901  39063-39063  39132-39861  40050-41641  43802-43831  ";3240
