"id";"balancing quality"
1;"4.86"
2;"9.76"
3;"3.27"
4;"4.08"
5;"8.37"
6;"10.55"
7;"5.86"
8;"7.00"
9;"4.72"
10;"6.54"
11;"5.71"
12;"8.68"
13;"6.40"
14;"6.73"
15;"3.66"
16;"5.25"
17;"2.99"
18;"6.53"
19;"5.05"
20;"8.19"
21;"4.92"
22;"7.99"
23;"8.09"
24;"5.32"
25;"5.79"
26;"2.89"
27;"4.59"
28;"8.03"
29;"4.52"
30;"5.76"
31;"2.53"
32;"5.58"
33;"4.89"
34;"4.06"
35;"9.26"
36;"3.16"
37;"8.57"
38;"5.47"
39;"4.72"
40;"2.84"
41;"5.79"
42;"7.83"
43;"8.39"
44;"6.75"
45;"6.70"
46;"7.35"
47;"7.39"
48;"5.34"
49;"5.40"
50;"7.28"
51;"6.57"
52;"6.43"
53;"5.90"
54;"4.40"
55;"5.23"
56;"5.35"
57;"5.42"
58;"6.97"
59;"5.77"
60;"3.20"
61;"5.84"
62;"8.59"
63;"6.60"
64;"7.47"
65;"3.61"
66;"6.46"
67;"6.24"
69;"5.97"
71;"5.13"
72;"4.39"
73;"7.29"
74;"5.80"
75;"7.03"
76;"6.15"
77;"7.06"
78;"4.49"
79;"8.65"
80;"5.45"
81;"5.76"
82;"8.31"
83;"5.77"
84;"4.80"
85;"3.24"
86;"4.38"
87;"6.34"
88;"5.96"
89;"7.33"
90;"5.55"
91;"7.07"
92;"5.22"
93;"7.15"
94;"4.92"
95;"6.07"
96;"5.67"
97;"6.59"
98;"6.73"
99;"5.49"
100;"6.93"
101;"8.00"
102;"5.61"
103;"3.28"
104;"6.50"
105;"4.84"
106;"2.51"
107;"4.88"
108;"7.09"
109;"6.15"
110;"6.24"
111;"4.73"
112;"5.12"
113;"7.68"
114;"5.29"
115;"5.57"
116;"2.39"
117;"4.34"
118;"4.33"
119;"4.49"
120;"2.36"
121;"3.65"
122;"3.35"
123;"9.11"
124;"6.44"
125;"4.34"
126;"4.16"
127;"3.18"
128;"8.13"
129;"8.06"
130;"5.65"
131;"1.68"
132;"5.25"
133;"5.34"
134;"5.74"
135;"7.08"
136;"5.98"
137;"5.43"
138;"2.91"
139;"6.02"
140;"3.95"
141;"1.65"
142;"3.87"
143;"5.07"
144;"3.12"
145;"4.55"
146;"4.54"
147;"5.47"
148;"4.98"
149;"5.94"
150;"4.35"
151;"4.12"
152;"5.25"
153;"1.80"
154;"4.24"
155;"4.15"
156;"6.72"
157;"4.29"
158;"4.86"
159;"5.72"
160;"5.24"
161;"5.56"
162;"8.92"
163;"4.34"
164;"4.59"
165;"3.34"
166;"6.35"
167;"9.64"
168;"5.66"
169;"2.93"
170;"5.57"
171;"3.44"
172;"5.32"
173;"2.90"
174;"7.50"
175;"5.43"
