"id";"Time intervals";"Total time"
1;"";0
2;"67797-67881  ";84
3;"55011-55288  ";277
4;"";0
5;"79603-79868  ";265
6;"30338-30339  30351-30377  30403-30578  67464-67661  67661-67661  69193-69252  69270-69286  69301-69325  69411-69472  69540-69588  ";607
7;"66760-67052  68358-68392  68402-68478  68489-68736  68742-68767  ";674
8;"";0
9;"";0
10;"";0
11;"53608-53653  53692-54170  65605-65688  65707-65980  68557-68557  72271-72356  72367-72391  74686-74868  74895-74921  ";1196
12;"";0
13;"";0
14;"";0
15;"";0
16;"";0
17;"";0
18;"";0
19;"68194-68287  68346-68494  ";241
20;"";0
21;"";0
22;"";0
23;"";0
24;"";0
25;"";0
26;"";0
27;"";0
28;"";0
29;"";0
30;"";0
31;"57767-57944  ";177
32;"";0
33;"";0
34;"";0
35;"55791-55791  55818-56039  57866-57868  57887-58088  ";424
36;"";0
37;"";0
38;"";0
39;"";0
40;"";0
41;"";0
42;"";0
43;"31999-32598  ";599
44;"";0
45;"";0
46;"";0
47;"";0
48;"";0
49;"";0
50;"";0
51;"";0
52;"";0
53;"";0
54;"33157-33222  33349-33422  ";138
55;"30078-30265  30272-30343  30356-30430  34744-34744  34768-34794  70907-71222  ";673
56;"";0
57;"";0
58;"";0
59;"";0
60;"";0
61;"";0
62;"";0
63;"";0
64;"";0
65;"";0
66;"";0
67;"33845-34224  ";379
69;"52378-52582  ";204
71;"";0
72;"";0
73;"";0
74;"";0
75;"33299-33448  33529-33712  35885-36485  ";932
76;"";0
77;"34993-36114  ";1121
78;"";0
79;"";0
80;"37464-38103  ";639
81;"";0
82;"";0
83;"";0
84;"";0
85;"";0
86;"";0
87;"";0
88;"";0
89;"";0
90;"";0
91;"";0
92;"70379-70587  ";208
93;"67842-68177  ";335
94;"";0
95;"54675-54869  71008-71057  71072-71080  72818-72983  73031-73119  73131-73142  73145-73181  75159-75407  75539-75575  77479-77508  ";864
96;"";0
97;"";0
98;"";0
99;"";0
100;"";0
101;"75831-76585  ";754
102;"";0
103;"";0
104;"";0
105;"";0
106;"";0
107;"";0
108;"53364-53785  ";421
109;"";0
110;"";0
111;"";0
112;"";0
113;"";0
114;"73156-73356  ";200
115;"";0
116;"";0
117;"";0
118;"";0
119;"";0
120;"";0
121;"";0
122;"";0
123;"";0
124;"";0
125;"";0
126;"";0
127;"";0
128;"";0
129;"";0
130;"";0
131;"";0
132;"";0
133;"";0
134;"";0
135;"";0
136;"";0
137;"";0
138;"";0
139;"";0
140;"";0
141;"";0
142;"";0
143;"";0
144;"";0
145;"";0
146;"";0
147;"";0
148;"";0
149;"";0
150;"";0
151;"";0
152;"";0
153;"";0
154;"";0
155;"";0
156;"";0
157;"";0
158;"";0
159;"";0
160;"";0
161;"";0
162;"";0
163;"";0
164;"";0
165;"";0
166;"";0
167;"";0
168;"";0
169;"";0
170;"";0
171;"";0
172;"";0
173;"";0
174;"30625-30788  ";163
175;"";0
