"id";"balancing quality"
1;"1.34"
2;"2.32"
3;"1.66"
4;"1.32"
5;"2.23"
6;"3.66"
7;"2.70"
8;"1.17"
9;"2.23"
10;"2.11"
11;"2.81"
12;"1.34"
13;"1.50"
14;"1.36"
15;"1.65"
16;"0.50"
17;"1.50"
18;"1.44"
19;"2.17"
20;"2.31"
21;"1.55"
22;"1.12"
23;"1.66"
24;"1.10"
25;"1.28"
26;"1.28"
27;"1.47"
28;"1.23"
29;"1.03"
30;"1.99"
31;"1.83"
32;"1.31"
33;"1.60"
34;"2.56"
35;"2.98"
36;"0.42"
37;"1.40"
38;"1.29"
39;"2.28"
40;"1.95"
41;"2.48"
42;"2.04"
43;"2.74"
44;"1.39"
45;"1.44"
46;"1.80"
47;"1.94"
48;"1.67"
49;"2.06"
50;"2.62"
51;"2.69"
52;"2.60"
53;"2.34"
54;"1.65"
55;"3.21"
56;"1.17"
57;"1.59"
58;"0.83"
59;"0.90"
60;"0.52"
61;"1.24"
62;"1.12"
63;"0.50"
64;"1.71"
65;"1.31"
66;"1.32"
67;"1.89"
69;"1.72"
71;"1.52"
72;"0.60"
73;"1.99"
74;"2.69"
75;"2.81"
76;"3.12"
77;"3.65"
78;"3.82"
79;"4.27"
80;"4.42"
81;"4.34"
82;"4.74"
83;"4.12"
84;"1.26"
85;"1.83"
86;"0.87"
87;"3.82"
88;"3.13"
89;"4.36"
90;"2.99"
91;"1.32"
92;"2.59"
93;"2.68"
94;"2.11"
95;"4.52"
96;"2.01"
97;"2.75"
98;"2.48"
99;"0.86"
100;"2.15"
101;"3.57"
102;"2.42"
103;"1.57"
104;"1.63"
105;"1.64"
106;"1.60"
107;"1.92"
108;"2.36"
109;"1.79"
110;"2.78"
111;"0.65"
112;"1.09"
113;"1.59"
114;"2.05"
115;"2.64"
116;"1.20"
117;"1.24"
118;"1.30"
119;"0.98"
120;"0.90"
121;"0.72"
122;"1.30"
123;"0.94"
124;"0.59"
125;"1.04"
126;"3.19"
127;"3.13"
128;"2.26"
129;"2.45"
130;"1.56"
131;"1.04"
132;"1.19"
133;"2.33"
134;"2.36"
135;"6.37"
136;"4.15"
137;"2.26"
138;"2.17"
139;"2.92"
140;"2.20"
141;"2.97"
142;"2.71"
143;"2.39"
144;"2.87"
145;"2.20"
146;"2.32"
147;"2.27"
148;"2.59"
149;"1.83"
150;"1.94"
151;"2.18"
152;"2.52"
153;"1.88"
154;"2.14"
155;"1.92"
156;"1.90"
157;"1.64"
158;"1.90"
159;"2.01"
160;"1.71"
161;"1.99"
162;"3.16"
163;"1.76"
164;"1.55"
165;"1.67"
166;"2.85"
167;"2.07"
168;"1.14"
169;"1.67"
170;"2.60"
171;"2.26"
172;"4.06"
173;"2.45"
174;"2.13"
175;"1.61"
