"id";"balancing quality"
1;"4.43"
2;"4.66"
3;"3.88"
4;"2.93"
5;"5.06"
6;"5.16"
7;"3.85"
8;"3.98"
9;"3.12"
10;"4.84"
11;"4.09"
12;"5.39"
13;"4.19"
14;"4.24"
15;"3.26"
16;"3.51"
17;"3.07"
18;"4.42"
19;"3.29"
20;"4.43"
21;"3.40"
22;"4.58"
23;"4.01"
24;"3.60"
25;"4.50"
26;"3.03"
27;"3.67"
28;"4.97"
29;"4.83"
30;"4.11"
31;"2.28"
32;"3.15"
33;"3.02"
34;"3.75"
35;"6.01"
36;"3.33"
37;"4.78"
38;"3.47"
39;"4.19"
40;"4.63"
41;"5.35"
42;"5.77"
43;"6.72"
44;"4.52"
45;"3.02"
46;"3.56"
47;"5.32"
48;"4.53"
49;"5.23"
50;"6.08"
51;"6.29"
52;"5.76"
53;"5.60"
54;"2.13"
55;"3.10"
56;"3.67"
57;"4.98"
58;"4.88"
59;"3.40"
60;"3.77"
61;"3.55"
62;"4.44"
63;"3.97"
64;"6.43"
65;"2.29"
66;"3.25"
67;"5.02"
69;"5.38"
71;"2.11"
72;"2.32"
73;"4.16"
74;"3.93"
75;"5.12"
76;"4.78"
77;"5.76"
78;"4.10"
79;"7.56"
80;"5.43"
81;"4.55"
82;"7.64"
83;"5.77"
84;"2.31"
85;"2.44"
86;"2.09"
87;"5.54"
88;"3.83"
89;"7.49"
90;"4.81"
91;"5.41"
92;"5.30"
93;"5.70"
94;"3.23"
95;"6.55"
96;"3.99"
97;"5.46"
98;"6.29"
99;"4.56"
100;"5.71"
101;"6.62"
102;"4.63"
103;"1.71"
104;"3.24"
105;"2.94"
106;"2.25"
107;"5.52"
108;"6.76"
109;"5.31"
110;"5.56"
111;"4.54"
112;"4.58"
113;"5.78"
114;"4.43"
115;"4.85"
116;"2.06"
117;"1.79"
118;"1.79"
119;"3.99"
120;"2.29"
121;"2.61"
122;"1.28"
123;"5.03"
124;"5.07"
125;"2.96"
126;"2.95"
127;"3.49"
128;"6.95"
129;"7.25"
130;"2.54"
131;"2.12"
132;"4.88"
133;"5.64"
134;"5.43"
135;"7.11"
136;"5.93"
137;"4.31"
138;"2.78"
139;"5.50"
140;"4.16"
141;"2.50"
142;"3.66"
143;"4.03"
144;"3.21"
145;"4.29"
146;"3.97"
147;"4.76"
148;"4.24"
149;"4.48"
150;"3.19"
151;"3.99"
152;"4.89"
153;"2.22"
154;"3.87"
155;"3.63"
156;"3.39"
157;"3.18"
158;"4.07"
159;"5.44"
160;"4.69"
161;"3.25"
162;"8.41"
163;"2.89"
164;"3.17"
165;"3.27"
166;"5.46"
167;"8.10"
168;"4.53"
169;"2.59"
170;"5.08"
171;"3.47"
172;"4.69"
173;"2.95"
174;"5.29"
175;"5.05"
