"id";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
1;0;0;0;0;42;0;39;0
2;0;0;0;0;52;0;51;0
3;0;0;0;0;92;0;87;0
4;0;0;0;0;90;0;90;0
5;0;0;0;0;78;0;79;0
6;0;0;0;0;92;0;91;0
7;0;0;0;0;98;0;96;0
8;0;0;0;0;113;0;106;0
9;0;0;0;0;173;0;170;0
10;0;0;0;0;87;0;88;0
11;0;0;0;0;81;0;71;2
12;0;0;0;0;86;0;85;0
13;0;0;0;0;105;0;106;0
14;0;0;0;0;70;0;71;0
15;0;0;0;0;63;0;59;0
16;0;0;0;0;69;0;71;0
17;0;0;0;0;98;0;91;0
18;0;0;0;0;87;0;88;0
19;0;0;0;0;108;0;104;0
20;0;0;0;0;84;0;81;0
21;0;0;0;0;84;0;80;0
22;0;0;0;0;50;0;46;0
23;0;0;0;0;85;0;82;0
24;0;0;0;0;88;0;85;0
25;0;0;0;0;72;0;65;0
26;0;0;0;0;103;0;97;0
27;0;0;0;0;54;0;53;0
28;0;0;0;0;35;0;28;0
29;0;0;0;0;31;0;24;0
30;0;0;0;0;106;0;101;0
31;0;0;0;0;137;0;134;0
32;0;0;0;0;71;0;67;0
33;0;0;0;0;97;0;91;0
34;0;0;0;0;49;0;44;0
35;0;0;0;0;57;0;53;0
36;0;0;0;0;70;0;72;0
37;0;0;0;0;84;0;85;0
38;0;0;0;0;85;0;86;0
39;0;0;0;0;51;0;58;0
40;0;0;0;0;63;0;68;0
41;0;0;0;0;92;1;104;2
42;0;0;0;0;92;0;103;1
43;0;0;0;0;163;0;177;0
44;0;0;0;0;68;0;72;0
45;0;0;0;0;146;0;148;0
46;0;0;0;0;115;0;117;0
47;0;0;0;0;73;0;84;0
48;0;0;0;0;77;0;85;1
49;0;0;0;0;117;3;128;3
50;0;0;0;0;62;0;74;6
51;0;0;0;0;70;0;82;3
52;0;0;0;0;82;1;94;1
53;0;0;0;0;102;1;114;1
54;0;0;0;0;83;0;82;0
55;0;0;0;0;103;0;105;0
56;0;0;0;0;122;0;121;0
57;0;0;0;0;142;0;152;0
58;0;0;0;0;141;0;144;0
59;0;0;0;0;117;0;120;0
60;0;0;0;0;62;0;57;0
61;0;0;0;0;70;0;66;0
62;0;0;0;0;111;0;112;0
63;0;0;0;0;80;0;80;0
64;0;0;0;0;149;0;138;6
65;0;0;0;0;102;0;99;0
66;0;0;0;0;68;0;74;0
67;0;0;0;0;72;0;72;0
69;0;0;0;0;80;0;72;0
71;0;0;0;0;87;0;86;0
72;0;0;0;0;60;0;59;0
73;0;0;0;0;87;0;86;0
74;0;0;0;0;117;2;121;0
75;0;0;0;0;88;2;88;0
76;0;0;0;0;92;0;93;0
77;0;0;0;0;97;0;103;0
78;0;0;0;0;94;3;100;0
79;0;0;0;0;99;4;110;0
80;0;0;0;0;72;0;84;1
81;0;0;0;0;63;0;74;1
82;0;0;0;0;81;0;93;4
83;0;0;0;0;131;4;143;2
84;0;0;0;0;81;0;79;0
85;0;0;0;0;76;0;74;0
86;0;0;0;0;95;0;95;0
87;0;0;0;0;62;0;74;0
88;0;0;0;0;37;2;41;0
89;0;0;0;0;66;0;78;6
90;0;0;0;0;166;0;160;0
91;0;0;0;0;78;0;70;0
92;0;0;0;0;78;0;68;1
93;0;0;0;0;79;0;68;10
94;0;0;0;0;71;0;72;0
95;0;0;0;0;80;0;70;7
96;0;0;0;0;91;0;88;0
97;0;0;0;0;67;0;60;7
98;0;0;0;0;61;0;50;2
99;0;0;0;0;100;0;91;2
100;0;0;0;0;66;0;57;4
101;0;0;0;0;85;0;78;1
102;0;0;0;0;97;0;95;0
103;0;0;0;0;80;0;80;0
104;0;0;0;0;62;0;65;0
105;0;0;0;0;45;0;46;0
106;0;0;0;0;84;0;89;0
107;0;0;0;0;60;0;51;1
108;0;0;0;0;109;0;99;8
109;0;0;0;0;55;0;46;5
110;0;0;0;0;70;0;61;4
111;0;0;0;0;47;0;38;3
112;0;0;0;0;41;0;32;5
113;0;0;0;0;112;0;100;1
114;0;0;0;0;118;0;124;0
115;0;0;0;0;82;0;73;6
116;0;0;0;0;81;0;81;0
117;0;0;0;0;78;0;79;0
118;0;0;0;0;79;0;80;0
119;0;0;0;0;28;0;31;0
120;0;0;0;0;33;0;29;0
121;0;0;0;0;62;0;59;0
122;0;0;0;0;46;0;47;0
123;0;0;0;0;67;0;64;0
124;0;0;0;0;65;0;61;0
125;0;0;0;0;72;0;76;0
126;0;0;0;0;49;0;58;0
127;0;0;0;0;56;0;63;0
128;0;0;0;0;124;0;136;1
129;0;0;0;0;161;0;173;12
130;0;0;0;0;99;0;95;0
131;0;0;0;0;104;0;101;0
132;0;0;0;0;117;0;127;0
133;0;0;0;0;96;1;108;1
134;0;0;0;0;63;1;74;3
135;0;0;0;0;130;0;142;15
136;0;0;0;0;80;0;91;12
137;0;0;0;0;76;0;68;0
138;0;0;0;0;45;0;40;0
139;0;0;0;0;92;0;102;0
140;0;0;0;0;69;0;62;0
141;0;0;0;0;44;0;50;0
142;0;0;0;0;74;0;83;0
143;0;0;0;0;51;0;52;0
144;0;0;0;0;38;0;34;0
145;0;0;0;0;82;0;81;0
146;0;0;0;0;45;0;45;0
147;0;0;0;0;48;0;39;0
148;0;0;0;0;71;0;68;0
149;0;0;0;0;158;0;162;0
150;0;0;0;0;41;0;42;0
151;0;0;0;0;60;0;51;0
152;0;0;0;0;48;0;40;0
153;0;0;0;0;52;0;48;0
154;0;0;0;0;57;0;51;0
155;0;0;0;0;97;0;101;5
156;0;0;0;0;95;0;97;0
157;0;0;0;0;118;0;120;0
158;0;0;0;0;69;0;62;0
159;0;0;0;0;64;0;52;1
160;0;0;0;0;177;0;167;3
161;0;0;0;0;142;0;146;0
162;0;0;0;0;117;1;106;14
163;0;0;0;0;212;0;216;0
164;0;0;0;0;153;0;148;5
165;0;0;0;0;56;0;51;5
166;0;0;0;0;150;0;144;14
167;0;0;0;0;84;0;73;6
168;0;0;0;0;145;0;146;0
169;0;0;0;0;144;0;148;0
170;0;0;0;0;156;0;159;1
171;0;0;0;0;81;0;88;0
172;0;0;0;0;91;0;89;0
173;0;0;0;0;30;0;32;0
174;0;0;0;0;49;0;61;0
175;0;0;0;0;128;0;139;0
