"id";"Time intervals";"Total time"
1;"";0
2;"";0
3;"70783-86399  ";15616
4;"35147-86399  ";51252
5;"32117-86399  ";54282
6;"";0
7;"";0
8;"";0
9;"";0
10;"42570-86399  ";43829
11;"";0
12;"";0
13;"31357-32056  33137-52768  52820-56487  56534-60564  62111-62124  ";28040
14;"56124-74285  ";18161
15;"";0
16;"32854-51813  ";18959
17;"";0
18;"";0
19;"";0
20;"";0
21;"";0
22;"";0
23;"";0
24;"";0
25;"76323-78919  80733-82814  ";4677
26;"63986-64558  ";572
27;"73226-83320  ";10094
28;"";0
29;"72980-76110  ";3130
30;"";0
31;"";0
32;"";0
33;"";0
34;"";0
35;"";0
36;"66130-66940  ";810
37;"";0
38;"";0
39;"36563-46243  54379-56663  ";11964
40;"";0
41;"31970-72043  ";40073
42;"31660-50810  51451-66370  ";34069
43;"41094-47935  ";6841
44;"";0
45;"29961-31383  34593-48764  51252-55777  56148-57238  60090-60527  62019-65768  ";25394
46;"";0
47;"31845-37327  ";5482
48;"45370-49490  ";4120
49;"34905-51843  ";16938
50;"45771-52158  ";6387
51;"42240-69323  ";27083
52;"37063-56936  ";19873
53;"33834-56957  57084-57374  ";23413
54;"";0
55;"";0
56;"";0
57;"";0
58;"30113-30572  ";459
59;"";0
60;"";0
61;"";0
62;"";0
63;"";0
64;"72924-86399  ";13475
65;"73470-86399  ";12929
66;"56503-86399  ";29896
67;"38053-86399  ";48346
69;"70605-70707  72358-83156  ";10900
71;"";0
72;"";0
73;"";0
74;"35057-86399  ";51342
75;"36108-77215  ";41107
76;"35861-36319  36370-37187  37842-44154  45030-50051  50976-51276  ";12908
77;"34108-36634  37085-40514  40725-44543  ";9773
78;"32186-52554  ";20368
79;"33006-69442  ";36436
80;"34549-52360  ";17811
81;"36699-60882  ";24183
82;"45831-66193  ";20362
83;"36570-38763  39125-39240  40003-40666  41510-41790  43808-44334  44967-45200  45463-46342  47759-47956  ";5086
84;"";0
85;"";0
86;"";0
87;"35045-38492  ";3447
88;"33956-34122  35613-35713  36017-36022  36106-36325  ";490
89;"";0
90;"";0
91;"";0
92;"";0
93;"74009-86399  ";12390
94;"";0
95;"";0
96;"";0
97;"72531-86399  ";13868
98;"81265-86399  ";5134
99;"";0
100;"";0
101;"";0
102;"";0
103;"";0
104;"";0
105;"";0
106;"";0
107;"";0
108;"74857-86399  ";11542
109;"74101-85506  ";11405
110;"79996-86399  ";6403
111;"82981-86399  ";3418
112;"85555-86399  ";844
113;"";0
114;"";0
115;"79492-80029  ";537
116;"";0
117;"";0
118;"";0
119;"";0
120;"";0
121;"";0
122;"";0
123;"";0
124;"";0
125;"";0
126;"";0
127;"";0
128;"43519-48266  ";4747
129;"";0
130;"";0
131;"";0
132;"";0
133;"32037-45667  51939-52041  56480-56533  ";13785
134;"";0
135;"";0
136;"";0
137;"";0
138;"";0
139;"";0
140;"";0
141;"";0
142;"";0
143;"";0
144;"";0
145;"";0
146;"";0
147;"";0
148;"";0
149;"54064-86399  ";32335
150;"66121-66141  66287-66564  ";297
151;"";0
152;"";0
153;"74935-86399  ";11464
154;"";0
155;"";0
156;"35192-38800  41089-60656  69572-71483  ";25086
157;"49933-50950  ";1017
158;"";0
159;"";0
160;"";0
161;"";0
162;"64374-65503  66341-79217  80111-86399  ";20293
163;"";0
164;"71552-71763  72607-74114  ";1718
165;"75930-81705  ";5775
166;"68331-68423  69506-69808  70279-71290  71759-72217  74267-74345  74762-75400  75682-76678  76985-78010  81954-82241  86323-86399  ";4963
167;"86278-86278  86302-86399  ";97
168;"";0
169;"";0
170;"";0
171;"";0
172;"39532-40981  41420-41630  73617-74210  75570-76236  ";2918
173;"";0
174;"";0
175;"";0
