"id";"balancing quality"
1;"2.07"
2;"1.25"
3;"2.39"
4;"2.64"
5;"1.74"
6;"1.88"
7;"2.18"
8;"1.56"
9;"1.98"
10;"1.93"
11;"2.41"
12;"1.40"
13;"1.21"
14;"2.13"
15;"1.39"
16;"1.19"
17;"0.72"
18;"1.05"
19;"1.49"
20;"1.61"
21;"1.57"
22;"1.46"
23;"1.12"
24;"1.07"
25;"1.34"
26;"1.47"
27;"1.34"
28;"1.12"
29;"1.52"
30;"1.88"
31;"1.59"
32;"1.21"
33;"1.77"
34;"1.36"
35;"1.42"
36;"1.57"
37;"1.56"
38;"1.20"
39;"2.37"
40;"1.86"
41;"2.02"
42;"1.77"
43;"1.66"
44;"1.06"
45;"1.37"
46;"1.47"
47;"1.71"
48;"2.35"
49;"2.10"
50;"2.07"
51;"2.26"
52;"2.10"
53;"2.14"
54;"1.44"
55;"2.32"
56;"1.04"
57;"1.64"
58;"1.88"
59;"1.26"
60;"0.68"
61;"1.20"
62;"1.02"
63;"0.91"
64;"1.82"
65;"2.04"
66;"1.39"
67;"1.77"
69;"1.40"
71;"1.17"
72;"1.95"
73;"1.39"
74;"3.26"
75;"3.02"
76;"3.29"
77;"3.93"
78;"3.87"
79;"4.24"
80;"4.49"
81;"3.83"
82;"4.85"
83;"4.14"
84;"1.16"
85;"1.37"
86;"1.36"
87;"3.64"
88;"3.48"
89;"4.58"
90;"1.76"
91;"2.10"
92;"2.61"
93;"2.55"
94;"2.14"
95;"2.54"
96;"2.06"
97;"2.38"
98;"1.73"
99;"2.08"
100;"2.17"
101;"2.05"
102;"2.03"
103;"1.72"
104;"1.70"
105;"1.49"
106;"1.26"
107;"2.03"
108;"2.43"
109;"2.14"
110;"2.34"
111;"1.83"
112;"1.60"
113;"1.75"
114;"1.77"
115;"2.17"
116;"1.19"
117;"1.30"
118;"0.90"
119;"1.00"
120;"0.95"
121;"0.60"
122;"1.24"
123;"0.67"
124;"0.95"
125;"1.21"
126;"2.86"
127;"3.06"
128;"1.84"
129;"1.98"
130;"1.38"
131;"1.11"
132;"1.29"
133;"1.95"
134;"1.93"
135;"6.31"
136;"3.89"
137;"2.67"
138;"2.43"
139;"2.68"
140;"2.26"
141;"2.80"
142;"2.70"
143;"2.41"
144;"2.68"
145;"2.42"
146;"2.42"
147;"2.41"
148;"2.83"
149;"1.66"
150;"2.03"
151;"2.37"
152;"2.16"
153;"1.93"
154;"2.29"
155;"1.83"
156;"1.71"
157;"1.83"
158;"1.93"
159;"2.02"
160;"1.67"
161;"1.91"
162;"3.12"
163;"1.58"
164;"1.81"
165;"1.34"
166;"2.77"
167;"2.13"
168;"1.42"
169;"1.45"
170;"2.33"
171;"2.01"
172;"3.82"
173;"2.49"
174;"1.90"
175;"1.75"
