"id";"time to origin station";"cycling time";"time to destination place";"exit reason";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
1;274;375;689;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
2;597;477;583;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
3;739;697;725;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
4;424;383;638;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
5;498;889;650;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
6;404;583;676;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
7;450;1279;879;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
8;647;364;699;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
9;179;1389;36;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
10;894;626;3;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
11;431;445;725;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
12;932;345;534;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
13;234;263;747;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
14;627;372;644;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
15;525;180;657;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
16;688;154;243;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
17;414;2580;634;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
18;581;1235;727;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
19;682;427;211;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
20;525;457;307;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
21;567;530;571;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
22;485;189;553;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
23;693;441;449;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
24;585;645;851;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
25;505;1133;125;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
26;488;341;479;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
27;423;338;666;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
28;687;144;678;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
29;707;471;551;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
30;538;71;374;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
31;739;187;693;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
32;749;197;702;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
33;495;798;674;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
34;233;597;524;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
35;499;1329;102;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
36;327;232;697;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
37;303;479;704;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
38;597;97;651;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
39;447;372;533;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
40;178;112;459;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
41;609;725;673;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
42;418;351;626;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
43;636;642;552;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
44;380;350;619;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
45;547;503;536;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
46;694;317;398;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
47;527;410;634;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
48;471;592;640;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
49;502;131;685;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
50;613;799;589;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
51;559;1380;629;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
52;414;265;539;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
53;550;188;434;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
54;668;180;719;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
55;403;1029;465;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
56;539;665;574;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
57;767;590;774;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
58;411;865;370;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
59;283;809;34;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
60;656;417;400;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
61;91;584;642;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
