"id";"time";"available bikes"
1;0;12
1;218;11
1;1826;10
1;2444;11
1;3797;10
1;3933;9
1;4142;10
1;4303;11
1;6507;10
1;6572;11
1;10833;10
1;10975;11
1;13407;10
1;13836;9
1;14523;8
1;14587;9
1;15589;8
1;17439;7
1;22469;8
1;29946;9
1;30657;10
1;31259;9
1;32095;10
1;32273;11
1;34812;10
1;35160;11
1;35368;10
1;35431;11
1;35799;10
1;36638;11
1;36974;10
1;37484;9
1;38167;8
1;38339;7
1;38438;8
1;41702;7
1;41841;6
1;44280;7
1;44427;8
1;47222;7
1;47268;8
1;47638;7
1;48722;6
1;49076;7
1;49109;6
1;50162;5
1;50379;4
1;51048;3
1;51177;2
1;51430;1
1;52188;0
1;52684;1
1;54795;2
1;54924;3
1;55514;4
1;56538;3
1;57184;4
1;58504;3
1;59204;2
1;59647;1
1;60714;0
1;62384;1
1;62957;0
1;63335;1
1;64047;0
1;65016;1
1;65942;0
1;66017;1
1;66022;2
1;67557;1
1;67685;0
1;69935;1
1;70881;0
1;71677;1
1;71683;2
1;71907;1
1;71979;0
1;72790;1
1;73046;0
1;74483;1
1;77880;2
1;78901;1
1;78995;0
1;82694;1
1;82902;2
1;83255;3
1;83613;2
1;85795;1
2;0;12
2;1601;11
2;2848;10
2;3050;9
2;3509;8
2;3610;7
2;3709;6
2;3798;7
2;5110;6
2;5130;5
2;6734;4
2;7156;5
2;7324;4
2;10394;3
2;10673;2
2;12170;1
2;12278;0
2;18931;1
2;24653;2
2;26646;3
2;28286;2
2;30197;1
2;30617;0
2;31126;1
2;31609;2
2;31866;3
2;31941;4
2;31980;5
2;32309;6
2;32821;7
2;33329;8
2;33446;9
2;34228;10
2;34381;9
2;34957;8
2;34959;7
2;35031;8
2;35934;9
2;35994;10
2;36131;11
2;36624;12
2;37461;13
2;37545;14
2;38076;13
2;38347;12
2;39011;13
2;39421;12
2;39683;11
2;39818;10
2;41258;9
2;41651;10
2;42108;9
2;42134;8
2;43254;9
2;44033;10
2;44558;9
2;44918;10
2;45646;9
2;46761;8
2;48011;9
2;48561;8
2;49249;9
2;50674;8
2;51190;7
2;51859;6
2;51864;7
2;52019;6
2;52852;7
2;53537;6
2;53732;5
2;53860;6
2;54159;5
2;55038;6
2;55743;7
2;56928;6
2;57195;5
2;57247;4
2;57324;3
2;57694;2
2;58026;1
2;58432;0
2;60074;1
2;61641;0
2;62613;1
2;62991;0
2;65222;1
2;65277;2
2;65475;1
2;65999;0
2;66292;1
2;66576;2
2;66611;3
2;66975;4
2;67940;3
2;67945;4
2;68059;3
2;68456;2
2;68606;3
2;68843;4
2;69152;5
2;69212;6
2;69540;7
2;69791;8
2;70076;7
2;70249;8
2;70294;9
2;71438;10
2;72210;9
2;72412;8
2;72611;9
2;72797;8
2;72884;9
2;72907;10
2;72917;9
2;73118;8
2;73237;9
2;73327;8
2;73521;9
2;73541;10
2;73858;9
2;74065;8
2;74580;9
2;75195;8
2;75307;9
2;75622;10
2;76493;9
2;76706;10
2;77707;11
2;78339;10
2;79219;9
