"id";"balancing quality"
1;"6.39"
2;"6.52"
3;"3.51"
4;"4.67"
5;"4.92"
6;"7.38"
7;"5.28"
8;"5.45"
9;"3.01"
10;"5.73"
11;"6.16"
12;"7.30"
13;"4.63"
14;"5.23"
15;"2.25"
16;"5.03"
17;"3.90"
18;"6.57"
19;"4.08"
20;"5.12"
21;"6.23"
22;"6.13"
23;"7.44"
24;"4.37"
25;"5.69"
26;"3.40"
27;"5.73"
28;"6.44"
29;"6.12"
30;"5.32"
31;"2.42"
32;"5.06"
33;"2.23"
34;"5.04"
35;"10.12"
36;"4.02"
37;"8.02"
38;"5.41"
39;"5.02"
40;"2.34"
41;"4.68"
42;"7.71"
43;"5.52"
44;"4.91"
45;"4.78"
46;"6.08"
47;"6.50"
48;"4.65"
49;"4.96"
50;"6.50"
51;"6.95"
52;"5.78"
53;"5.97"
54;"5.48"
55;"6.30"
56;"4.31"
57;"3.62"
58;"5.28"
59;"4.94"
60;"5.46"
61;"4.20"
62;"6.53"
63;"4.24"
64;"6.34"
65;"3.05"
66;"5.24"
67;"5.28"
69;"5.84"
71;"5.01"
72;"2.61"
73;"6.46"
74;"4.23"
75;"5.75"
76;"5.23"
77;"6.35"
78;"4.49"
79;"8.41"
80;"5.36"
81;"5.18"
82;"7.66"
83;"5.22"
84;"3.58"
85;"4.93"
86;"2.65"
87;"5.72"
88;"4.46"
89;"8.43"
90;"4.23"
91;"6.21"
92;"5.67"
93;"5.13"
94;"4.50"
95;"6.95"
96;"5.17"
97;"6.37"
98;"7.10"
99;"3.86"
100;"5.79"
101;"6.86"
102;"6.01"
103;"2.18"
104;"5.72"
105;"4.56"
106;"3.15"
107;"5.73"
108;"7.07"
109;"5.74"
110;"6.32"
111;"4.63"
112;"4.59"
113;"7.87"
114;"4.77"
115;"5.03"
116;"3.38"
117;"3.74"
118;"3.47"
119;"5.46"
120;"1.98"
121;"2.87"
122;"2.41"
123;"9.12"
124;"3.41"
125;"3.97"
126;"3.85"
127;"3.17"
128;"5.48"
129;"7.41"
130;"4.94"
131;"3.18"
132;"3.87"
133;"5.02"
134;"5.45"
135;"7.09"
136;"5.56"
137;"5.52"
138;"3.28"
139;"5.30"
140;"3.83"
141;"2.30"
142;"3.66"
143;"4.42"
144;"3.27"
145;"4.38"
146;"3.70"
147;"5.48"
148;"4.69"
149;"4.60"
150;"3.50"
151;"4.17"
152;"5.19"
153;"1.80"
154;"5.14"
155;"3.89"
156;"5.69"
157;"3.17"
158;"3.50"
159;"5.66"
160;"3.12"
161;"4.92"
162;"8.54"
163;"3.16"
164;"3.54"
165;"3.07"
166;"5.89"
167;"8.22"
168;"3.46"
169;"4.65"
170;"4.73"
171;"3.44"
172;"4.01"
173;"2.56"
174;"6.19"
175;"3.87"
