"id";"balancing quality"
1;"5.00"
2;"9.39"
3;"3.34"
4;"4.37"
5;"8.19"
6;"11.07"
7;"4.99"
8;"6.84"
9;"4.79"
10;"6.65"
11;"5.29"
12;"8.47"
13;"5.06"
14;"6.72"
15;"3.07"
16;"4.94"
17;"1.97"
18;"7.44"
19;"5.92"
20;"8.28"
21;"5.12"
22;"8.58"
23;"8.33"
24;"6.06"
25;"5.31"
26;"2.45"
27;"4.62"
28;"8.01"
29;"4.55"
30;"5.77"
31;"3.56"
32;"5.56"
33;"4.88"
34;"4.06"
35;"9.24"
36;"2.36"
37;"8.27"
38;"6.18"
39;"4.71"
40;"2.12"
41;"5.94"
42;"7.74"
43;"8.60"
44;"6.80"
45;"6.75"
46;"6.88"
47;"7.46"
48;"5.43"
49;"5.34"
50;"7.42"
51;"6.37"
52;"6.60"
53;"5.82"
54;"4.28"
55;"4.20"
56;"4.99"
57;"5.56"
58;"6.75"
59;"5.41"
60;"2.75"
61;"5.00"
62;"8.46"
63;"7.17"
64;"7.43"
65;"3.09"
66;"6.08"
67;"6.40"
69;"5.64"
71;"5.41"
72;"3.94"
73;"7.31"
74;"4.68"
75;"6.66"
76;"6.49"
77;"7.36"
78;"4.43"
79;"8.68"
80;"5.39"
81;"5.56"
82;"7.97"
83;"5.63"
84;"4.72"
85;"2.98"
86;"5.88"
87;"6.39"
88;"4.94"
89;"7.40"
90;"7.67"
91;"7.08"
92;"4.99"
93;"7.15"
94;"4.68"
95;"5.77"
96;"5.83"
97;"6.44"
98;"6.92"
99;"5.03"
100;"6.93"
101;"7.60"
102;"4.49"
103;"5.19"
104;"6.11"
105;"4.19"
106;"2.40"
107;"4.54"
108;"7.14"
109;"6.44"
110;"6.10"
111;"4.57"
112;"5.05"
113;"7.08"
114;"5.50"
115;"5.69"
116;"2.51"
117;"4.02"
118;"3.78"
119;"4.50"
120;"2.35"
121;"3.62"
122;"1.64"
123;"9.04"
124;"6.62"
125;"4.78"
126;"4.48"
127;"5.05"
128;"8.37"
129;"8.08"
130;"5.82"
131;"2.43"
132;"5.20"
133;"4.93"
134;"5.77"
135;"7.31"
136;"5.84"
137;"5.66"
138;"2.91"
139;"6.03"
140;"4.06"
141;"1.67"
142;"4.08"
143;"4.95"
144;"2.76"
145;"4.54"
146;"4.31"
147;"5.46"
148;"4.96"
149;"5.86"
150;"4.06"
151;"4.04"
152;"5.47"
153;"2.35"
154;"4.56"
155;"4.39"
156;"6.81"
157;"4.60"
158;"4.60"
159;"4.90"
160;"5.26"
161;"5.65"
162;"9.13"
163;"4.14"
164;"5.22"
165;"2.82"
166;"6.81"
167;"8.86"
168;"5.45"
169;"2.69"
170;"6.14"
171;"3.52"
172;"5.45"
173;"2.90"
174;"8.27"
175;"5.05"
