simulation time (min);1440.0;only events that occure within the simulation time are considered (changes after that time are ignored)
id;emptytime (min);average deviation from halfcapacity;Successful bike reservations;Failed bike reservations;Successful slot reservations;Failed slot reservations;Successful bike rentals;Failed bike rentals;Successful bike returns;Failed bike returns
1;0.0;6.790752314814815;0;0;0;0;123;0;125;0
2;0.0;7.44306712962963;0;0;0;0;44;0;52;5
3;13.0;4.347407407407408;0;0;0;0;102;0;102;0
4;0.0;3.4029050925925928;0;0;0;0;56;0;42;0
5;128.5;9.055810185185186;0;0;0;0;44;0;37;0
6;38.166666666666664;4.357586805555556;0;0;0;0;114;0;117;0
7;26.716666666666665;8.122118055555555;0;0;0;0;77;1;70;0
8;0.0;4.106626157407407;0;0;0;0;57;0;60;0
9;2.1;6.702488425925926;0;0;0;0;129;0;137;0
10;1.15;6.477199074074074;0;0;0;0;65;0;77;0
11;490.7;7.766828703703704;0;0;0;0;45;4;45;0
12;0.0;6.221712962962963;0;0;0;0;76;0;66;0
13;0.0;3.5860648148148146;0;0;0;0;98;0;96;0
14;0.0;4.317361111111111;0;0;0;0;82;0;77;0
15;0.0;5.212962962962963;0;0;0;0;37;0;32;0
16;0.0;3.625329861111111;0;0;0;0;72;0;68;0
17;54.333333333333336;4.359346064814815;0;0;0;0;80;1;74;0
18;0.0;4.445625;0;0;0;0;80;0;70;0
19;0.0;4.398668981481482;0;0;0;0;142;0;128;0
20;223.53333333333333;7.750694444444444;0;0;0;0;40;6;44;0
21;61.983333333333334;8.401145833333333;0;0;0;0;87;1;81;0
25;0.0;4.503703703703704;0;0;0;0;65;0;62;0
26;0.0;3.6903703703703705;0;0;0;0;86;0;97;0
27;38.983333333333334;8.566782407407407;0;0;0;0;57;0;52;0
28;602.7666666666667;9.790138888888889;0;0;0;0;16;7;12;0
29;243.03333333333333;9.808912037037038;0;0;0;0;19;6;19;0
30;0.0;4.069907407407407;0;0;0;0;79;0;86;0
31;164.08333333333334;7.600381944444444;0;0;0;0;112;3;98;0
32;49.75;5.71744212962963;0;0;0;0;47;1;44;0
33;54.266666666666666;7.250092592592592;0;0;0;0;59;3;63;0
34;63.95;6.238547453703704;0;0;0;0;38;0;29;0
35;0.0;4.082158564814815;0;0;0;0;65;0;59;0
36;0.0;4.070567129629629;0;0;0;0;45;0;39;0
38;0.0;6.7078125;0;0;0;0;105;0;108;3
39;0.0;6.030798611111111;0;0;0;0;47;0;40;0
40;4.733333333333333;6.599432870370371;0;0;0;0;52;0;50;0
41;99.73333333333333;4.8760763888888885;0;0;0;0;99;5;112;0
42;93.75;5.230162037037037;0;0;0;0;93;3;84;0
43;40.166666666666664;6.930109953703703;0;0;0;0;168;3;156;0
44;202.68333333333334;6.074097222222222;0;0;0;0;62;4;62;0
45;0.0;4.322146990740741;0;0;0;0;134;0;131;1
46;0.0;6.682199074074074;0;0;0;0;104;0;100;0
47;212.4;5.548125;0;0;0;0;77;2;61;0
48;12.6;5.29728587962963;0;0;0;0;89;1;84;0
49;0.0;4.085758101851852;0;0;0;0;95;0;113;10
50;157.86666666666667;9.18863425925926;0;0;0;0;57;6;48;0
51;4.116666666666666;5.679131944444444;0;0;0;0;51;0;59;1
52;53.56666666666667;4.9527777777777775;0;0;0;0;95;0;87;0
53;45.516666666666666;6.370358796296296;0;0;0;0;69;2;83;0
54;0.0;4.854513888888889;0;0;0;0;80;0;88;0
55;0.0;4.595457175925926;0;0;0;0;73;0;83;0
56;0.0;5.874884259259259;0;0;0;0;87;0;89;0
57;57.56666666666667;5.950810185185185;0;0;0;0;155;2;174;1
58;13.416666666666666;5.781915509259259;0;0;0;0;144;0;138;4
59;66.78333333333333;6.5114930555555555;0;0;0;0;129;0;117;4
60;0.0;7.647824074074074;0;0;0;0;62;0;67;0
61;462.65;8.600868055555555;0;0;0;0;25;0;22;0
62;62.61666666666667;4.3303009259259255;0;0;0;0;113;4;120;0
63;137.2;5.757887731481482;0;0;0;0;65;5;65;0
64;0.0;4.482916666666667;0;0;0;0;82;0;104;1
65;0.0;5.81792824074074;0;0;0;0;77;0;88;0
66;0.0;4.219803240740741;0;0;0;0;46;0;46;0
67;0.0;3.505023148148148;0;0;0;0;60;0;64;0
69;0.0;3.08900462962963;0;0;0;0;39;0;48;0
71;75.05;5.3906481481481485;0;0;0;0;73;4;86;0
72;45.483333333333334;3.6988831018518518;0;0;0;0;38;0;39;0
73;0.0;5.295862268518518;0;0;0;0;70;0;83;0
74;32.3;4.813263888888889;0;0;0;0;102;0;85;0
75;0.0;4.132824074074074;0;0;0;0;76;0;77;0
