"id";"time";"available bikes"
1;0;500
1;1826;499
1;2444;500
1;3797;499
1;3933;498
1;4142;499
1;4303;500
1;6572;501
1;10833;500
1;10975;501
1;13407;500
1;14523;499
1;14587;500
1;22469;501
1;30657;502
1;31259;501
1;32095;502
1;32273;503
1;35160;504
1;35431;505
1;35799;504
1;36211;505
1;37484;504
1;38167;503
1;38339;502
1;38438;503
1;41702;502
1;41841;501
1;44280;502
1;44427;503
1;47268;504
1;47638;503
1;49076;504
1;51048;503
1;51177;502
1;51430;501
1;52684;502
1;54795;503
1;54924;504
1;55514;505
1;56538;504
1;57184;505
1;58420;504
1;58504;503
1;61458;502
1;61892;501
1;62384;502
1;62957;501
1;63335;502
1;64194;501
1;65016;502
1;65942;501
1;66017;502
1;66022;503
1;67928;502
1;68444;501
1;69935;502
1;70881;501
1;71677;502
1;71907;501
1;71979;500
1;72499;499
1;72905;498
1;74483;499
1;77880;500
1;78901;499
1;78995;498
1;83255;499
1;83613;498
1;86907;499
2;0;500
2;1601;499
2;2848;498
2;3050;497
2;3509;496
2;3709;495
2;3798;496
2;5130;495
2;6519;494
2;6734;493
2;7156;494
2;7324;493
2;10394;492
2;10673;491
2;12170;490
2;12278;489
2;12726;488
2;13848;487
2;15601;486
2;16645;485
2;18286;484
2;18931;485
2;24653;486
2;26646;487
2;28286;486
2;30197;485
2;30617;484
2;31609;485
2;31670;486
2;31866;487
2;32309;488
2;32821;489
2;33446;490
2;34381;489
2;34934;490
2;34957;489
2;34959;488
2;35039;487
2;35994;488
2;36175;489
2;37461;490
2;37609;491
2;38076;490
2;38347;489
2;39421;488
2;39683;487
2;39818;486
2;41258;485
2;41651;486
2;42134;485
2;44033;486
2;44248;487
2;44558;486
2;46761;485
2;48561;484
2;49249;485
2;50674;484
2;51190;483
2;51859;482
2;51864;483
2;52019;482
2;52852;483
2;53537;482
2;53573;481
2;53732;480
2;55038;481
2;55743;482
2;56928;481
2;57195;480
2;57247;479
2;57324;478
2;57694;477
2;58026;476
2;59216;475
2;60074;476
2;62613;477
2;62762;476
2;62991;475
2;64059;474
2;65222;475
2;65277;476
2;65475;475
2;65999;474
2;66292;475
2;66576;476
2;66755;475
2;66943;476
2;66975;477
2;67945;478
2;68059;477
2;68606;478
2;68843;479
2;69152;480
2;69212;481
2;69387;482
2;69791;483
2;70076;482
2;70249;483
2;70294;484
2;72210;483
2;72412;482
2;72611;483
2;72884;484
2;72907;485
2;73237;486
2;73521;487
2;73858;486
2;74065;485
2;74451;486
2;75195;485
2;75307;486
2;75622;487
2;76493;486
2;76859;487
2;77707;488
2;78339;487
2;79219;486
2;79711;485
2;81140;486
2;82034;485
2;83788;484
2;83835;485
2;84167;484
2;85611;483
2;85731;482
2;85807;481
2;86578;482
2;87248;483
3;0;500
3;255;499
3;636;498
3;841;497
3;990;498
3;1205;497
3;1279;498
3;2456;497
3;2683;496
3;2986;497
3;4207;496
3;4414;497
3;5790;496
