"id";"balancing quality"
1;"9.40"
2;"7.40"
3;"6.93"
4;"6.65"
5;"7.47"
6;"7.77"
7;"3.52"
8;"9.25"
9;"13.83"
10;"8.43"
11;"11.16"
12;"4.08"
13;"4.43"
14;"5.81"
15;"6.43"
16;"5.57"
17;"8.18"
18;"5.43"
19;"3.00"
20;"6.22"
21;"18.21"
22;"3.12"
23;"9.68"
24;"8.04"
25;"9.29"
26;"10.32"
27;"3.93"
28;"5.01"
29;"9.02"
30;"11.62"
31;"4.01"
32;"7.66"
33;"9.76"
34;"6.06"
35;"3.64"
36;"7.18"
37;"9.29"
38;"13.18"
39;"5.91"
40;"9.63"
41;"7.34"
42;"8.57"
43;"13.72"
44;"5.23"
45;"9.69"
46;"8.32"
47;"8.24"
48;"7.69"
49;"8.73"
50;"8.59"
51;"7.35"
52;"6.38"
53;"8.01"
54;"12.39"
55;"8.81"
56;"6.83"
57;"6.14"
58;"12.55"
59;"10.53"
60;"7.47"
61;"5.60"
62;"7.30"
63;"3.50"
64;"23.90"
65;"8.71"
66;"4.84"
67;"6.77"
68;"20.74"
69;"14.26"
70;"10.48"
71;"26.46"
72;"8.80"
73;"4.98"
74;"5.20"
75;"12.74"
76;"7.96"
77;"11.63"
78;"8.36"
79;"3.63"
80;"10.81"
81;"7.29"
82;"10.89"
83;"8.22"
84;"7.38"
85;"9.37"
86;"5.49"
87;"15.88"
88;"2.78"
89;"26.44"
90;"19.43"
91;"19.98"
92;"6.14"
93;"19.65"
94;"7.43"
95;"9.60"
96;"10.76"
97;"9.94"
98;"9.63"
99;"5.20"
100;"7.63"
101;"4.80"
102;"17.04"
103;"5.96"
104;"8.93"
105;"13.55"
106;"17.44"
107;"9.71"
108;"14.82"
109;"7.32"
110;"14.81"
111;"9.10"
112;"12.12"
113;"11.30"
114;"7.44"
115;"7.27"
116;"11.21"
117;"12.50"
118;"9.81"
119;"6.72"
120;"8.89"
121;"4.77"
122;"4.65"
123;"8.35"
124;"6.62"
125;"13.00"
126;"8.99"
127;"15.56"
128;"15.29"
129;"9.58"
130;"14.96"
131;"7.05"
132;"6.97"
133;"22.73"
134;"9.99"
135;"15.57"
136;"7.89"
137;"16.95"
138;"7.35"
139;"6.48"
140;"7.50"
141;"13.40"
142;"7.46"
143;"16.36"
144;"10.42"
145;"12.21"
146;"9.30"
147;"7.64"
148;"9.80"
149;"8.90"
150;"11.36"
151;"6.35"
152;"7.69"
153;"11.11"
154;"8.65"
155;"10.67"
156;"5.15"
157;"11.45"
158;"14.71"
159;"9.88"
160;"34.99"
161;"5.37"
162;"10.02"
163;"8.28"
164;"11.95"
165;"12.68"
166;"8.55"
167;"5.46"
168;"4.77"
169;"5.12"
170;"5.64"
171;"10.88"
172;"7.25"
173;"9.04"
