"id";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
1;0;0;0;0;35;0;34;0
2;0;0;0;0;72;0;55;0
3;0;0;0;0;87;0;84;0
4;0;0;0;0;88;0;89;0
5;0;0;0;0;68;0;77;0
6;0;0;0;0;114;0;90;0
7;0;0;0;0;99;0;83;0
8;0;0;0;0;96;0;106;0
9;0;0;0;0;163;0;172;0
10;0;0;0;0;88;0;87;0
11;0;0;0;0;79;0;70;0
12;0;0;0;0;95;0;88;0
13;0;0;0;0;115;0;109;0
14;0;0;0;0;79;0;67;0
15;0;0;0;0;58;0;54;0
16;0;0;0;0;71;0;68;0
17;0;0;0;0;94;0;86;0
18;0;0;0;0;89;0;98;0
19;0;0;0;0;102;0;94;0
20;0;0;0;0;75;0;80;0
21;0;0;0;0;81;0;91;0
22;0;0;0;0;47;0;36;0
23;0;0;0;0;115;0;85;0
24;0;0;0;0;70;0;70;0
25;0;0;0;0;73;0;70;0
26;0;0;0;0;93;0;97;0
27;0;0;0;0;48;0;52;0
28;0;0;0;0;38;0;21;0
29;0;0;0;0;28;0;25;0
30;0;0;0;0;90;0;100;0
31;0;0;0;0;128;0;119;0
32;0;0;0;0;67;0;62;0
33;0;0;0;0;86;0;81;0
34;0;0;0;0;49;0;42;0
35;0;0;0;0;62;0;45;0
36;0;0;0;0;64;0;63;0
37;0;0;0;0;96;0;74;0
38;0;0;0;0;76;0;91;0
39;0;0;0;0;57;0;46;0
40;0;0;0;0;56;0;62;0
41;0;0;0;0;95;0;121;0
42;0;0;0;0;100;0;97;0
43;0;0;0;0;161;0;192;0
44;0;0;0;0;61;0;72;0
45;0;0;0;0;155;0;154;0
46;0;0;0;0;103;0;116;0
47;0;0;0;0;82;0;77;0
48;0;0;0;0;79;0;82;0
49;0;0;0;0;118;0;138;0
50;0;0;0;0;75;0;78;0
51;0;0;0;0;69;0;69;0
52;0;0;0;0;88;0;77;0
53;0;0;0;0;116;0;112;0
54;0;0;0;0;66;0;88;0
55;0;0;0;0;104;0;97;0
56;0;0;0;0;125;0;130;0
57;0;0;0;0;151;0;151;0
58;0;0;0;0;159;0;130;0
59;0;0;0;0;101;0;121;0
60;0;0;0;0;64;0;61;0
61;0;0;0;0;64;0;53;0
62;0;0;0;0;105;0;119;0
63;0;0;0;0;85;0;76;0
64;0;0;0;0;154;0;166;0
65;0;0;0;0;91;0;88;0
66;0;0;0;0;73;0;66;0
67;0;0;0;0;78;0;78;0
68;0;0;0;0;86;0;96;0
69;0;0;0;0;79;0;84;0
70;0;0;0;0;54;0;56;0
71;0;0;0;0;79;0;109;0
72;0;0;0;0;116;0;123;0
73;0;0;0;0;89;0;88;0
74;0;0;0;0;95;0;83;0
75;0;0;0;0;92;0;109;0
76;0;0;0;0;103;0;97;0
77;0;0;0;0;110;0;114;0
78;0;0;0;0;67;0;81;0
79;0;0;0;0;68;0;62;0
80;0;0;0;0;82;0;100;0
81;0;0;0;0;138;0;150;0
82;0;0;0;0;72;0;73;0
83;0;0;0;0;86;0;65;0
84;0;0;0;0;98;0;74;0
85;0;0;0;0;60;0;68;0
86;0;0;0;0;45;0;34;0
87;0;0;0;0;61;0;93;0
88;0;0;0;0;152;0;141;0
89;0;0;0;0;81;0;90;0
90;0;0;0;0;67;0;79;0
91;0;0;0;0;78;0;82;0
92;0;0;0;0;70;0;61;0
