"id";"time";"available bikes"
1;0;12
1;1826;11
1;2444;12
1;3797;11
1;3933;10
1;4142;11
1;4303;12
1;6572;13
1;10833;12
1;10975;13
1;13407;12
1;13836;11
1;14523;10
1;14587;11
1;15589;10
1;22469;11
1;30657;12
1;31259;11
1;32095;12
1;32273;13
1;35160;14
1;35431;15
1;35799;14
1;36211;15
1;37484;14
1;38105;13
1;38167;12
1;38339;11
1;38438;12
1;41702;11
1;41841;10
1;44280;11
1;44427;12
1;47268;13
1;47638;12
1;47949;11
1;48572;10
1;49076;11
1;49736;10
1;50162;9
1;50379;8
1;51048;7
1;51177;6
1;51178;5
1;51430;4
1;52188;3
1;52466;2
1;52684;3
1;53738;2
1;54795;3
1;54924;4
1;55514;5
1;56538;4
1;57184;5
1;57340;4
1;57682;3
1;58035;2
1;58420;1
1;58504;0
1;62384;1
1;62805;0
1;63335;1
1;63882;0
1;65016;1
1;65942;0
1;66017;1
1;66022;2
1;67557;1
1;67685;0
1;69935;1
1;70881;0
1;71677;1
1;71907;0
1;74483;1
1;77880;2
1;78901;1
1;78995;0
1;83255;1
1;83613;0
1;86907;1
2;0;12
2;1601;11
2;2848;10
2;3050;9
2;3509;8
2;3709;7
2;3798;8
2;5130;7
2;6519;6
2;6734;5
2;7156;6
2;7324;5
2;10394;4
2;10673;3
2;12170;2
2;12278;1
2;12726;0
2;18931;1
2;24653;2
2;26646;3
2;28286;2
2;30197;1
2;30617;0
2;31609;1
2;32309;2
2;32544;3
2;32821;4
2;33446;5
2;34381;4
2;34898;5
2;34957;4
2;34959;3
2;35039;2
2;35994;3
2;36616;4
2;37461;5
2;37609;6
2;38076;5
2;38347;4
2;39421;3
2;39683;2
2;39818;1
2;41258;0
2;41651;1
2;42134;0
2;44033;1
2;44558;0
2;44699;1
2;46761;0
2;49249;1
2;50674;0
2;51864;1
2;52019;0
2;52852;1
2;53537;0
2;55038;1
2;55743;2
2;56928;1
2;57195;0
2;60074;1
2;60624;0
2;62613;1
2;62969;0
2;65222;1
2;65277;2
2;65475;1
2;65999;0
2;66292;1
2;66576;2
2;66755;1
2;66943;2
2;66975;3
2;67940;2
2;67945;3
2;68059;2
2;68456;1
2;68606;2
2;68843;3
2;69152;4
2;69212;5
2;69387;6
2;69791;7
2;70076;6
2;70249;7
2;70294;8
2;70937;7
2;71104;6
2;71222;5
2;71995;4
2;72210;3
2;72412;2
2;72491;1
2;72511;0
2;72611;1
2;72797;0
2;72884;1
2;72907;2
2;72917;1
2;73058;0
2;73237;1
2;73521;2
2;73858;1
2;74065;0
2;74451;1
2;75195;0
2;75307;1
2;75622;2
2;76493;1
2;76859;2
2;77707;3
2;78339;2
2;79219;1
2;79711;0
2;81140;1
2;82034;0
2;83835;1
2;84167;0
2;86578;1
2;87248;2
3;0;12
3;255;11
3;636;10
3;841;9
3;990;10
3;1205;9
3;1279;10
3;2456;9
3;2683;8
3;2986;9
3;4207;8
3;4414;9
3;5790;8
3;7771;7
3;10135;6
3;10291;7
3;12660;6
3;22077;7
3;22719;8
3;23135;7
3;28059;8
3;29374;7
3;30402;8
3;30626;9
3;32242;10
3;33349;9
3;33686;10
3;33720;9
3;33974;10
3;34262;11
3;34569;10
3;34601;11
3;34893;12
3;35639;13
3;36385;14
3;36475;15
3;36649;16
3;37692;15
3;37929;14
3;37940;15
3;38309;14
3;39578;15
3;39736;16
3;39766;17
3;40954;16
3;41905;15
3;41905;16
3;42878;15
3;44033;16
3;44359;17
3;44971;16
3;44971;17
3;45144;16
3;46192;15
3;46743;16
3;46912;15
3;47053;14
3;47473;13
3;48940;14
3;49399;15
3;49540;16
3;50006;15
3;50285;16
3;51408;17
3;51558;18
3;51590;17
3;51646;16
3;51722;15
3;51730;14
3;51777;15
3;52254;14
3;52501;13
3;53466;14
3;53483;13
3;53542;14
3;54100;13
3;54422;12
3;54852;13
3;55256;14
3;55259;13
3;55709;12
3;55767;11
3;56477;10
3;56629;9
3;56731;8
3;57296;7
3;57686;6
3;57894;7
3;57941;8
3;57970;9
3;58198;10
3;58978;11
3;59460;10
3;59582;11
3;59856;10
3;60270;11
3;60560;10
3;61028;11
3;61351;12
3;61639;11
3;61688;10
3;61788;11
3;62469;12
3;62585;13
3;63134;14
3;63246;15
3;63511;14
3;63683;13
3;63878;14
3;63980;13
3;64193;14
3;64641;15
3;64940;14
3;64992;13
3;65390;14
3;65585;13
3;66122;14
3;66774;15
3;67464;14
3;67553;15
3;67750;14
3;67967;15
3;67991;16
3;68395;15
3;68846;16
3;68904;17
3;68950;18
3;69217;17
3;69564;18
3;69691;19
3;69725;18
3;69965;17
3;70012;16
3;70783;15
3;71333;16
3;72155;15
3;72257;14
3;72712;13
3;73152;12
3;73493;13
3;73598;12
3;73650;11
3;74198;12
3;74771;13
3;74791;12
3;75653;13
3;75925;12
3;76023;13
3;76175;12
3;76511;11
3;76598;10
3;77871;9
3;78735;10
3;78836;11
3;78952;10
3;80531;9
3;80580;8
3;80984;9
3;81106;10
3;81512;9
3;81821;10
3;82491;9
3;82893;10
3;83240;9
3;83822;8
3;83916;7
3;84493;8
3;84965;9
3;85491;8
3;86108;9
3;86615;8
4;0;9
4;872;8
4;1078;9
4;1811;10
4;2861;11
4;3041;10
4;4182;11
4;4369;10
4;4369;11
4;4779;12
4;5327;11
4;6372;10
4;7813;11
4;14248;12
4;25510;11
4;26053;10
4;26383;9
4;27084;8
4;27398;7
4;27799;8
4;28342;7
4;28937;8
4;29392;7
4;29431;8
4;29441;7
4;29458;6
4;30088;5
4;30380;4
4;30435;3
4;30507;2
4;30553;1
4;30740;2
4;30898;1
4;31553;2
4;31566;1
4;31657;0
4;32039;1
4;32121;2
4;32439;1
4;32638;2
4;33035;3
4;33629;2
4;33880;1
4;33903;2
4;33940;1
4;33981;0
4;33989;1
4;34452;2
4;34465;1
4;34528;0
4;37254;1
4;38489;2
4;40318;1
4;41070;0
4;41388;1
4;41456;2
4;41903;1
4;44644;2
4;45893;1
4;46921;0
4;49494;1
4;49731;0
4;50680;1
4;51019;2
4;51259;3
4;51478;4
4;52235;5
4;52295;4
4;52365;3
4;52568;4
4;53131;5
4;53575;4
4;53579;3
4;54589;4
4;55026;3
4;55412;4
4;55880;5
4;55940;6
4;56005;5
4;57015;4
4;57881;5
4;59699;6
4;59931;5
4;60204;4
4;60342;5
4;60531;6
4;60659;5
4;60835;6
4;60871;7
4;61136;8
4;61268;9
4;61401;10
4;61428;9
4;61981;10
4;62046;11
4;62177;10
4;62199;11
4;62211;12
4;62831;13
4;63391;12
4;63391;13
4;63561;14
4;63811;13
4;63924;14
4;64335;13
4;64457;14
4;65087;13
4;65141;14
4;65301;13
4;65479;14
4;66313;13
4;66670;12
4;67395;11
4;67656;10
4;67715;11
4;67733;12
4;67883;13
4;67884;14
4;67970;15
4;68112;16
4;68444;17
4;68661;18
4;68958;17
4;68958;18
4;69924;17
4;70186;16
4;70462;15
4;70559;14
4;70956;15
4;71016;14
4;71146;13
4;71824;12
4;72307;11
4;72606;10
4;72861;9
4;72886;10
4;73339;11
4;73485;10
4;74237;11
4;74271;12
4;74463;11
4;74463;12
4;74490;11
4;74646;12
4;74987;11
4;75923;12
4;75956;11
4;76199;12
4;76445;13
4;76600;12
4;76959;11
4;77235;12
4;77509;11
4;77834;10
4;78004;11
4;78379;12
4;78729;13
4;78937;14
4;78974;13
4;79348;14
4;79493;13
4;80312;12
4;81012;13
4;81283;14
4;81676;13
4;82213;12
4;82389;13
4;82739;12
4;83610;11
4;83610;12
4;84051;11
4;84868;12
4;85147;11
4;86202;12
5;0;12
5;1472;11
5;3191;10
5;4474;9
5;4576;8
5;6309;7
5;6786;6
5;7813;5
5;8858;4
5;20837;3
5;24864;2
5;25875;1
5;27480;2
5;28367;1
5;28771;2
5;29066;1
5;29701;0
5;30397;1
5;30878;0
5;31568;1
5;32109;2
5;32117;1
5;32135;0
5;32679;1
5;33285;2
5;33413;3
5;33432;2
5;33664;3
5;33788;2
5;33944;1
5;33946;0
5;34448;1
5;34488;2
5;34674;1
5;34889;0
5;35225;1
5;35471;0
5;35575;1
5;35748;0
5;36177;1
5;36293;2
5;38462;3
5;40135;2
5;40634;1
5;40674;0
5;42760;1
5;43197;0
5;43678;1
5;44038;0
5;44059;1
5;44924;2
5;45730;1
5;45812;0
5;46086;1
5;47711;0
5;47801;1
5;47929;0
5;47956;1
5;47989;2
5;48382;1
5;48585;0
5;49308;1
5;51539;2
5;51878;3
5;51911;4
5;52103;5
5;52584;4
5;52731;3
5;52749;2
5;52929;1
5;53180;2
5;53315;3
5;53533;4
5;53787;3
5;53933;2
5;53953;3
5;54277;2
5;54729;1
5;55203;0
5;55569;1
5;55813;0
5;57379;1
5;57863;0
5;59199;1
5;59334;2
5;60252;1
5;60423;2
5;60490;3
5;60577;2
5;61093;1
5;61286;0
5;61954;1
5;62082;2
5;62885;1
5;63650;2
5;63731;3
5;64602;4
5;64874;3
5;65183;2
5;65216;1
5;65253;0
5;66177;1
5;66347;2
5;66960;3
5;67011;4
5;67174;5
5;67338;6
5;67832;5
5;67975;6
5;68093;5
5;68318;6
5;68554;5
5;68879;6
5;68961;7
5;68985;6
5;69162;5
5;69307;6
5;69545;7
5;69923;6
5;69925;7
5;69976;6
5;70639;7
5;72093;6
5;72115;7
5;72281;8
5;72487;9
5;72882;10
5;73182;9
5;73494;8
5;74135;9
5;74355;10
5;74585;9
5;75044;8
5;75275;7
5;75289;6
5;75373;7
5;77296;8
5;77476;9
5;77858;8
5;77885;7
5;77973;8
5;78009;7
5;78355;6
5;78854;5
5;78960;4
5;78987;5
5;79124;6
5;79209;5
5;79470;6
5;79636;7
5;80144;8
5;81484;7
5;81695;6
5;82297;7
5;82398;8
5;83078;9
5;83677;8
5;83790;9
5;84485;8
5;84493;7
5;84680;6
6;0;13
6;494;12
6;736;13
6;1709;12
6;1731;11
6;1794;10
6;2987;9
6;3187;8
6;3255;7
6;3531;6
6;3531;7
6;5295;6
6;5523;5
6;5651;4
6;8190;3
6;9176;2
6;22765;3
6;25981;2
6;26667;3
6;29009;2
6;29748;1
6;30118;0
6;30795;1
6;30961;2
6;31476;3
6;31532;2
6;32618;1
6;32921;2
6;33006;1
6;33191;0
6;33241;1
6;33837;0
6;34562;1
6;35162;0
6;35315;1
6;35436;0
6;37000;1
6;38065;2
6;40037;1
6;40293;0
6;40754;1
6;40812;0
6;41199;1
6;41294;2
6;42361;1
6;42537;0
6;43454;1
6;43709;0
6;44251;1
6;44577;0
6;45505;1
6;45609;2
6;45837;1
6;46630;2
6;47800;1
6;47818;0
6;48517;1
6;49751;0
6;49831;1
6;50211;2
6;50767;1
6;50802;2
6;51349;1
6;51493;0
6;51608;1
6;52066;2
6;52177;1
6;52348;2
6;52406;1
6;52444;0
6;53283;1
6;53450;0
6;54296;1
6;54402;2
6;54941;1
6;54991;0
6;56393;1
6;56574;2
6;56949;1
6;57110;2
6;57479;3
6;57524;2
6;58132;1
6;58754;0
6;59261;1
6;60494;0
6;61344;1
6;61633;0
6;61787;1
6;61969;2
6;62285;3
6;62721;2
6;63165;3
6;63613;4
6;63986;5
6;64369;4
6;64679;5
6;65680;4
6;65705;5
6;65932;4
6;65957;3
6;66034;4
6;66194;3
6;66376;2
6;66382;3
6;66384;4
6;66861;5
6;67307;4
6;67502;5
6;67580;6
6;67906;7
6;68006;8
6;68118;7
6;68242;8
6;68453;7
6;68547;6
6;68559;7
6;68645;8
6;68982;7
6;68998;6
6;69076;7
6;69100;6
6;69470;7
6;69826;6
6;69865;7
6;69874;8
6;70140;7
6;70209;8
6;70316;9
6;70795;8
6;71043;7
6;71384;6
