"id";"balancing quality"
1;"4.86"
2;"9.76"
3;"3.27"
4;"4.08"
5;"8.37"
6;"10.55"
7;"5.86"
8;"7.00"
9;"4.72"
10;"6.54"
11;"5.71"
12;"8.68"
13;"6.40"
14;"6.73"
15;"3.66"
16;"5.25"
17;"2.99"
18;"6.53"
19;"5.05"
20;"8.19"
21;"4.92"
22;"7.99"
23;"8.09"
24;"5.32"
25;"5.79"
26;"2.89"
27;"4.59"
28;"8.03"
29;"4.52"
30;"5.76"
31;"2.53"
32;"5.58"
33;"4.89"
34;"4.06"
35;"9.26"
36;"3.16"
37;"8.57"
38;"5.47"
39;"4.72"
40;"2.84"
41;"5.79"
42;"7.83"
43;"8.39"
44;"6.75"
45;"6.70"
46;"7.35"
47;"7.39"
48;"5.34"
49;"5.40"
50;"7.28"
51;"6.57"
52;"6.43"
53;"5.90"
54;"4.40"
55;"5.23"
56;"5.35"
57;"5.42"
58;"6.97"
59;"5.77"
60;"3.20"
61;"5.84"
62;"8.59"
63;"6.60"
64;"7.47"
65;"3.61"
66;"6.46"
67;"6.24"
68;"5.97"
69;"5.13"
70;"4.39"
71;"7.29"
72;"5.80"
73;"7.03"
74;"6.15"
75;"7.06"
76;"4.49"
77;"8.65"
78;"5.45"
79;"5.76"
80;"8.31"
81;"5.77"
82;"4.80"
83;"3.24"
84;"4.38"
85;"6.34"
86;"5.96"
87;"7.33"
88;"5.55"
89;"7.07"
90;"5.22"
91;"7.15"
92;"4.92"
93;"6.07"
94;"5.67"
95;"6.59"
96;"6.73"
97;"5.49"
98;"6.93"
99;"8.00"
100;"5.61"
101;"3.28"
102;"6.50"
103;"4.84"
104;"2.51"
105;"4.88"
106;"7.09"
107;"6.15"
108;"6.24"
109;"4.73"
110;"5.12"
111;"7.68"
112;"5.29"
113;"5.57"
114;"2.39"
115;"4.34"
116;"4.33"
117;"4.49"
118;"2.36"
119;"3.65"
120;"3.35"
121;"9.11"
122;"6.44"
123;"4.34"
124;"4.16"
125;"3.18"
126;"8.13"
127;"8.06"
128;"5.65"
129;"1.68"
130;"5.25"
131;"5.34"
132;"5.74"
133;"7.08"
134;"5.98"
135;"5.43"
136;"2.91"
137;"6.02"
138;"3.95"
139;"1.65"
140;"3.87"
141;"5.07"
142;"3.12"
143;"4.55"
144;"4.54"
145;"5.47"
146;"4.98"
147;"5.94"
148;"4.35"
149;"4.12"
150;"5.25"
151;"1.80"
152;"4.24"
153;"4.15"
154;"6.72"
155;"4.29"
156;"4.86"
157;"5.72"
158;"5.24"
159;"5.56"
160;"8.92"
161;"4.34"
162;"4.59"
163;"3.34"
164;"6.35"
165;"9.64"
166;"5.66"
167;"2.93"
168;"5.57"
169;"3.44"
170;"5.32"
171;"2.90"
172;"7.50"
173;"5.43"
