"id";"balancing quality"
1;"1.34"
2;"2.32"
3;"1.66"
4;"1.32"
5;"2.23"
6;"3.66"
7;"2.70"
8;"1.17"
9;"2.23"
10;"2.11"
11;"2.81"
12;"1.34"
13;"1.50"
14;"1.36"
15;"1.65"
16;"0.50"
17;"1.50"
18;"1.44"
19;"2.17"
20;"2.31"
21;"1.55"
22;"1.12"
23;"1.66"
24;"1.10"
25;"1.28"
26;"1.28"
27;"1.47"
28;"1.23"
29;"1.03"
30;"1.99"
31;"1.83"
32;"1.31"
33;"1.60"
34;"2.56"
35;"2.98"
36;"0.42"
37;"1.40"
38;"1.29"
39;"2.28"
40;"1.95"
41;"2.48"
42;"2.04"
43;"2.74"
44;"1.39"
45;"1.44"
46;"1.80"
47;"1.94"
48;"1.67"
49;"2.06"
50;"2.62"
51;"2.69"
52;"2.60"
53;"2.34"
54;"1.65"
55;"3.21"
56;"1.17"
57;"1.59"
58;"0.83"
59;"0.90"
60;"0.52"
61;"1.24"
62;"1.12"
63;"0.50"
64;"1.71"
65;"1.31"
66;"1.32"
67;"1.89"
68;"1.72"
69;"1.52"
70;"0.60"
71;"1.99"
72;"2.69"
73;"2.81"
74;"3.12"
75;"3.65"
76;"3.82"
77;"4.27"
78;"4.42"
79;"4.34"
80;"4.74"
81;"4.12"
82;"1.26"
83;"1.83"
84;"0.87"
85;"3.82"
86;"3.13"
87;"4.36"
88;"2.99"
89;"1.32"
90;"2.59"
91;"2.68"
92;"2.11"
93;"4.52"
94;"2.01"
95;"2.75"
96;"2.48"
97;"0.86"
98;"2.15"
99;"3.57"
100;"2.42"
101;"1.57"
102;"1.63"
103;"1.64"
104;"1.60"
105;"1.92"
106;"2.36"
107;"1.79"
108;"2.78"
109;"0.65"
110;"1.09"
111;"1.59"
112;"2.05"
113;"2.64"
114;"1.20"
115;"1.24"
116;"1.30"
117;"0.98"
118;"0.90"
119;"0.72"
120;"1.30"
121;"0.94"
122;"0.59"
123;"1.04"
124;"3.19"
125;"3.13"
126;"2.26"
127;"2.45"
128;"1.56"
129;"1.04"
130;"1.19"
131;"2.33"
132;"2.36"
133;"6.37"
134;"4.15"
135;"2.26"
136;"2.17"
137;"2.92"
138;"2.20"
139;"2.97"
140;"2.71"
141;"2.39"
142;"2.87"
143;"2.20"
144;"2.32"
145;"2.27"
146;"2.59"
147;"1.83"
148;"1.94"
149;"2.18"
150;"2.52"
151;"1.88"
152;"2.14"
153;"1.92"
154;"1.90"
155;"1.64"
156;"1.90"
157;"2.01"
158;"1.71"
159;"1.99"
160;"3.16"
161;"1.76"
162;"1.55"
163;"1.67"
164;"2.85"
165;"2.07"
166;"1.14"
167;"1.67"
168;"2.60"
169;"2.26"
170;"4.06"
171;"2.45"
172;"2.13"
173;"1.61"
