"id";"balancing quality"
1;"4.43"
2;"4.66"
3;"3.88"
4;"2.93"
5;"5.06"
6;"5.16"
7;"3.85"
8;"3.98"
9;"3.12"
10;"4.84"
11;"4.09"
12;"5.39"
13;"4.19"
14;"4.24"
15;"3.26"
16;"3.51"
17;"3.07"
18;"4.42"
19;"3.29"
20;"4.43"
21;"3.40"
22;"4.58"
23;"4.01"
24;"3.60"
25;"4.50"
26;"3.03"
27;"3.67"
28;"4.97"
29;"4.83"
30;"4.11"
31;"2.28"
32;"3.15"
33;"3.02"
34;"3.75"
35;"6.01"
36;"3.33"
37;"4.78"
38;"3.47"
39;"4.19"
40;"4.63"
41;"5.35"
42;"5.77"
43;"6.72"
44;"4.52"
45;"3.02"
46;"3.56"
47;"5.32"
48;"4.53"
49;"5.23"
50;"6.08"
51;"6.29"
52;"5.76"
53;"5.60"
54;"2.13"
55;"3.10"
56;"3.67"
57;"4.98"
58;"4.88"
59;"3.40"
60;"3.77"
61;"3.55"
62;"4.44"
63;"3.97"
64;"6.43"
65;"2.29"
66;"3.25"
67;"5.02"
68;"5.38"
69;"2.11"
70;"2.32"
71;"4.16"
72;"3.93"
73;"5.12"
74;"4.78"
75;"5.76"
76;"4.10"
77;"7.56"
78;"5.43"
79;"4.55"
80;"7.64"
81;"5.77"
82;"2.31"
83;"2.44"
84;"2.09"
85;"5.54"
86;"3.83"
87;"7.49"
88;"4.81"
89;"5.41"
90;"5.30"
91;"5.70"
92;"3.23"
93;"6.55"
94;"3.99"
95;"5.46"
96;"6.29"
97;"4.56"
98;"5.71"
99;"6.62"
100;"4.63"
101;"1.71"
102;"3.24"
103;"2.94"
104;"2.25"
105;"5.52"
106;"6.76"
107;"5.31"
108;"5.56"
109;"4.54"
110;"4.58"
111;"5.78"
112;"4.43"
113;"4.85"
114;"2.06"
115;"1.79"
116;"1.79"
117;"3.99"
118;"2.29"
119;"2.61"
120;"1.28"
121;"5.03"
122;"5.07"
123;"2.96"
124;"2.95"
125;"3.49"
126;"6.95"
127;"7.25"
128;"2.54"
129;"2.12"
130;"4.88"
131;"5.64"
132;"5.43"
133;"7.11"
134;"5.93"
135;"4.31"
136;"2.78"
137;"5.50"
138;"4.16"
139;"2.50"
140;"3.66"
141;"4.03"
142;"3.21"
143;"4.29"
144;"3.97"
145;"4.76"
146;"4.24"
147;"4.48"
148;"3.19"
149;"3.99"
150;"4.89"
151;"2.22"
152;"3.87"
153;"3.63"
154;"3.39"
155;"3.18"
156;"4.07"
157;"5.44"
158;"4.69"
159;"3.25"
160;"8.41"
161;"2.89"
162;"3.17"
163;"3.27"
164;"5.46"
165;"8.10"
166;"4.53"
167;"2.59"
168;"5.08"
169;"3.47"
170;"4.69"
171;"2.95"
172;"5.29"
173;"5.05"
