"id";"balancing quality"
1;"8.53"
2;"8.27"
3;"6.73"
4;"6.49"
5;"10.70"
6;"9.13"
7;"8.04"
8;"6.02"
9;"5.04"
10;"8.22"
11;"5.58"
12;"7.92"
13;"7.09"
14;"7.44"
15;"5.34"
16;"5.07"
17;"3.13"
18;"4.88"
19;"6.30"
20;"6.69"
21;"5.00"
22;"5.59"
23;"5.58"
24;"3.30"
25;"5.82"
26;"5.43"
27;"6.27"
28;"6.04"
29;"5.42"
30;"4.52"
31;"4.52"
32;"2.89"
33;"3.88"
34;"3.31"
35;"7.34"
36;"4.38"
37;"5.53"
38;"4.22"
39;"6.47"
40;"3.81"
41;"7.74"
42;"7.61"
43;"8.67"
44;"3.68"
45;"6.14"
46;"5.17"
47;"6.91"
48;"5.42"
49;"5.48"
50;"6.41"
51;"8.29"
52;"5.35"
53;"6.52"
54;"5.76"
55;"4.73"
56;"3.72"
57;"3.78"
58;"5.02"
59;"2.89"
60;"2.48"
61;"3.87"
62;"3.36"
63;"2.12"
64;"7.33"
65;"6.79"
66;"7.06"
67;"7.65"
68;"5.67"
69;"2.76"
70;"1.76"
71;"5.33"
72;"8.41"
73;"7.56"
74;"5.55"
75;"7.61"
76;"6.05"
77;"8.97"
78;"6.42"
79;"5.38"
80;"8.54"
81;"5.52"
82;"2.80"
83;"2.49"
84;"2.06"
85;"6.58"
86;"3.08"
87;"5.35"
88;"8.14"
89;"4.50"
90;"7.30"
91;"7.42"
92;"5.16"
93;"7.91"
94;"4.12"
95;"6.41"
96;"6.41"
97;"3.72"
98;"5.68"
99;"5.03"
100;"2.25"
101;"2.34"
102;"2.98"
103;"1.63"
104;"2.25"
105;"3.60"
106;"6.87"
107;"5.40"
108;"5.56"
109;"3.73"
110;"3.56"
111;"3.33"
112;"4.02"
113;"4.50"
114;"4.43"
115;"2.32"
116;"1.70"
117;"4.75"
118;"3.23"
119;"2.13"
120;"1.86"
121;"4.23"
122;"2.83"
123;"2.88"
124;"5.12"
125;"1.93"
126;"6.95"
127;"6.19"
128;"2.64"
129;"1.71"
130;"4.77"
131;"5.48"
132;"3.46"
133;"7.13"
134;"5.38"
135;"4.56"
136;"2.78"
137;"7.00"
138;"2.34"
139;"6.60"
140;"5.88"
141;"4.65"
142;"4.68"
143;"6.21"
144;"4.61"
145;"3.79"
146;"4.10"
147;"8.60"
148;"4.31"
149;"5.01"
150;"4.61"
151;"3.38"
152;"1.99"
153;"3.56"
154;"6.38"
155;"3.29"
156;"4.25"
157;"5.08"
158;"4.63"
159;"3.26"
160;"8.88"
161;"3.13"
162;"3.60"
163;"2.60"
164;"6.21"
165;"5.96"
166;"3.43"
167;"2.44"
168;"3.13"
169;"2.49"
170;"5.29"
171;"3.34"
172;"4.71"
173;"3.81"
