"id";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
1;0;0;0;0;11;0;0;0
2;0;0;0;0;13;0;2;0
3;0;0;0;0;54;0;42;0
4;0;0;0;0;16;0;7;0
5;0;0;0;0;12;0;0;0
6;0;0;0;0;202;0;211;58
7;0;0;0;0;128;0;128;37
8;0;0;0;0;96;0;93;15
9;0;0;0;0;173;0;166;19
10;0;0;0;0;31;0;19;0
11;0;0;0;0;87;0;76;35
12;0;0;0;0;63;0;65;3
13;0;0;0;0;76;0;77;0
14;0;0;0;0;23;0;21;0
15;0;0;0;0;37;0;35;0
16;0;0;0;0;51;0;54;0
17;0;0;0;0;79;0;73;0
18;0;0;0;0;116;0;115;0
19;0;0;0;0;103;0;95;3
20;0;0;0;0;83;0;76;14
21;0;0;0;0;87;0;81;6
22;0;0;0;0;64;0;74;0
23;0;0;0;0;75;0;73;0
24;0;0;0;0;89;0;89;0
25;0;0;0;0;66;0;55;0
26;0;0;0;0;58;0;47;0
27;0;0;0;0;23;0;17;0
28;0;0;0;0;22;0;27;0
29;0;0;0;0;38;0;41;0
30;0;0;0;0;103;0;97;10
31;0;0;0;0;82;0;73;0
32;0;0;0;0;77;0;79;0
33;0;0;0;0;101;0;98;0
34;0;0;0;0;65;0;69;0
35;0;0;0;0;70;0;81;0
36;0;0;0;0;31;0;40;5
37;0;0;0;0;83;0;89;3
38;0;0;0;0;99;0;103;7
39;0;0;0;0;48;0;60;5
40;0;0;0;0;120;0;130;0
41;0;0;0;0;36;1;48;11
42;0;0;0;0;65;0;77;13
43;0;0;0;0;152;0;166;14
44;0;0;0;0;109;0;114;0
45;0;0;0;0;80;0;84;4
46;0;0;0;0;109;0;114;0
47;0;0;0;0;62;0;71;0
48;0;0;0;0;53;0;61;1
49;0;0;0;0;114;1;125;5
50;0;0;0;0;50;0;62;2
51;0;0;0;0;45;0;56;0
52;0;0;0;0;64;0;65;3
53;0;0;0;0;67;0;74;0
54;0;0;0;0;47;0;38;0
55;0;0;0;0;110;0;105;0
56;0;0;0;0;201;0;201;0
57;0;0;0;0;252;0;254;1
58;0;0;0;0;119;0;121;0
59;0;0;0;0;119;0;122;0
60;0;0;0;0;143;0;146;0
61;0;0;0;0;118;0;120;2
62;0;0;0;0;117;0;123;0
63;0;0;0;0;144;0;144;0
64;0;0;0;0;141;0;129;20
65;0;0;0;0;50;0;38;0
66;0;0;0;0;37;0;25;0
67;0;0;0;0;30;0;18;0
68;0;0;0;0;72;0;61;7
69;0;0;0;0;118;0;113;0
70;0;0;0;0;55;0;54;0
71;0;0;0;0;101;0;94;0
72;0;0;0;0;37;1;25;0
73;0;0;0;0;27;2;34;0
74;0;0;0;0;114;0;120;6
75;0;0;0;0;76;0;88;8
76;0;0;0;0;46;0;58;2
77;0;0;0;0;50;0;62;2
78;0;0;0;0;60;1;72;12
79;0;0;0;0;49;1;60;7
80;0;0;0;0;54;0;66;9
81;0;0;0;0;151;2;163;8
82;0;0;0;0;39;0;30;0
83;0;0;0;0;114;0;117;0
84;0;0;0;0;110;0;118;0
85;0;0;0;0;84;0;96;2
86;0;0;0;0;258;1;259;7
87;0;0;0;0;121;0;133;6
88;0;0;0;0;205;0;201;7
89;0;0;0;0;83;0;78;3
90;0;0;0;0;86;0;75;49
91;0;0;0;0;72;0;60;46
92;0;0;0;0;94;0;101;12
93;0;0;0;0;77;0;63;20
94;0;0;0;0;92;0;91;2
95;0;0;0;0;54;0;42;9
96;0;0;0;0;51;0;39;5
97;0;0;0;0;74;0;66;8
98;0;0;0;0;60;0;50;2
99;0;0;0;0;84;0;77;0
100;0;0;0;0;103;0;106;0
101;0;0;0;0;88;0;89;0
102;0;0;0;0;52;0;54;0
103;0;0;0;0;51;0;49;0
104;0;0;0;0;116;0;122;0
105;0;0;0;0;52;0;46;0
106;0;0;0;0;84;0;72;4
107;0;0;0;0;40;0;31;2
108;0;0;0;0;65;0;53;3
109;0;0;0;0;35;0;26;4
110;0;0;0;0;54;0;45;0
111;0;0;0;0;167;0;163;0
112;0;0;0;0;122;0;128;0
113;0;0;0;0;97;0;91;4
114;0;0;0;0;99;0;102;2
115;0;0;0;0;73;0;72;0
116;0;0;0;0;70;0;72;0
117;0;0;0;0;25;0;30;0
118;0;0;0;0;37;0;40;0
119;0;0;0;0;59;0;59;0
120;0;0;0;0;50;0;53;0
121;0;0;0;0;79;0;80;0
122;0;0;0;0;104;0;104;0
123;0;0;0;0;64;0;69;0
124;0;0;0;0;57;0;69;4
125;0;0;0;0;47;0;59;4
126;0;0;0;0;109;0;120;2
127;0;0;0;0;196;0;207;3
128;0;0;0;0;111;0;111;0
129;0;0;0;0;109;0;108;0
130;0;0;0;0;116;0;126;1
131;0;0;0;0;71;0;83;0
132;0;0;0;0;144;0;152;0
133;0;0;0;0;130;0;142;13
134;0;0;0;0;76;0;88;11
135;0;0;0;0;81;0;76;4
136;0;0;0;0;46;0;42;0
137;0;0;0;0;92;0;104;11
138;0;0;0;0;67;0;67;0
139;0;0;0;0;48;0;60;4
140;0;0;0;0;74;0;86;7
141;0;0;0;0;51;0;51;3
142;0;0;0;0;43;0;42;4
143;0;0;0;0;87;0;81;3
144;0;0;0;0;46;0;40;0
145;0;0;0;0;43;0;34;0
146;0;0;0;0;72;0;70;1
147;0;0;0;0;55;0;43;0
148;0;0;0;0;100;0;99;0
149;0;0;0;0;64;0;53;0
150;0;0;0;0;46;0;35;0
151;0;0;0;0;45;0;33;0
152;0;0;0;0;59;0;55;0
153;0;0;0;0;91;0;97;2
154;0;0;0;0;62;0;66;0
155;0;0;0;0;178;0;179;3
156;0;0;0;0;72;0;65;0
157;0;0;0;0;70;0;61;4
158;0;0;0;0;176;0;167;1
159;0;0;0;0;150;0;157;0
160;0;0;0;0;88;0;76;14
161;0;0;0;0;208;0;211;0
162;0;0;0;0;150;0;144;1
163;0;0;0;0;40;0;35;3
164;0;0;0;0;135;2;123;16
165;0;0;0;0;143;0;133;3
166;0;0;0;0;164;0;165;0
167;0;0;0;0;163;0;167;0
168;0;0;0;0;175;0;186;0
169;0;0;0;0;71;0;74;0
170;0;0;0;0;86;0;84;0
171;0;0;0;0;29;0;34;0
172;0;0;0;0;142;0;154;4
173;0;0;0;0;137;0;143;0
