"id";"Time intervals";"Total time"
1;"84319-84389  ";70
2;"";0
3;"59629-59924  61943-61952  61998-62175  ";481
4;"2692-2884  32855-33202  35134-35511  64161-64291  65632-66051  72496-72589  79366-79496  85232-85380  ";1836
5;"";0
6;"";0
7;"67599-67823  69752-69760  69761-69797  ";268
8;"76123-76282  76395-76519  ";283
9;"66806-67332  ";526
10;"";0
11;"51577-51816  51817-51862  ";284
12;"";0
13;"";0
14;"30138-30245  66581-66581  66638-66881  ";350
15;"";0
16;"82025-82203  82278-82364  ";264
17;"";0
18;"";0
19;"54761-54772  54795-55027  56858-56901  57134-57224  ";376
20;"52300-52529  52555-52583  ";257
21;"";0
22;"";0
23;"";0
24;"";0
25;"";0
26;"";0
27;"";0
28;"";0
29;"";0
30;"";0
31;"";0
32;"";0
33;"60654-60701  71134-71586  ";499
34;"";0
35;"";0
36;"48996-49035  49062-49137  52665-52726  56613-56908  ";470
37;"";0
38;"";0
39;"";0
40;"";0
41;"";0
42;"";0
43;"";0
44;"";0
45;"";0
46;"";0
47;"";0
48;"35279-35724  ";445
49;"";0
50;"";0
51;"";0
52;"";0
53;"36402-36883  ";481
54;"";0
55;"34975-35189  35204-35263  ";273
56;"";0
57;"";0
58;"68482-68568  70400-70400  70407-70531  70589-70626  70645-70645  72279-72294  75505-75747  ";504
59;"55930-56094  ";164
60;"";0
61;"";0
62;"";0
63;"";0
64;"";0
65;"66898-67017  ";119
66;"";0
67;"";0
68;"";0
69;"";0
70;"67718-68284  ";566
71;"";0
72;"34993-35573  ";580
73;"34239-34430  34528-34641  36108-36337  ";533
74;"";0
75;"";0
76;"33252-33252  33273-33529  35493-35590  ";353
77;"";0
78;"46463-46760  ";297
79;"";0
80;"";0
81;"";0
82;"";0
83;"";0
84;"";0
85;"";0
86;"";0
87;"";0
88;"";0
89;"";0
90;"";0
91;"";0
92;"";0
93;"";0
94;"";0
95;"59976-60046  ";70
96;"";0
97;"65999-65999  66003-66317  68180-68418  70027-70337  71941-72062  73605-73692  75621-75726  75740-75882  ";1317
98;"";0
99;"";0
100;"";0
101;"";0
102;"";0
103;"";0
104;"";0
105;"";0
106;"";0
107;"54289-54541  66495-66845  ";602
108;"72685-73033  74583-74591  ";356
109;"53684-54138  60456-60716  60763-60799  62107-62265  65495-65725  69500-69718  72417-72417  79426-79613  ";1543
110;"57504-57745  59335-59537  59597-59687  ";533
111;"";0
112;"";0
113;"";0
114;"";0
115;"";0
116;"";0
117;"";0
118;"";0
119;"";0
120;"";0
121;"";0
122;"";0
123;"";0
124;"";0
125;"";0
126;"";0
127;"";0
128;"";0
129;"";0
130;"";0
131;"";0
132;"";0
133;"";0
134;"";0
135;"";0
136;"";0
137;"";0
138;"";0
139;"";0
140;"";0
141;"";0
142;"";0
143;"";0
144;"";0
145;"";0
146;"";0
147;"";0
148;"";0
149;"";0
150;"";0
151;"";0
152;"";0
153;"";0
154;"";0
155;"71914-72177  ";263
156;"";0
157;"";0
158;"";0
159;"";0
160;"";0
161;"";0
162;"";0
163;"64490-65075  ";585
164;"";0
165;"";0
166;"";0
167;"";0
168;"";0
169;"";0
170;"";0
171;"";0
172;"";0
173;"30282-30614  ";332
