"id";"balancing quality"
1;"2.07"
2;"1.25"
3;"2.39"
4;"2.64"
5;"1.74"
6;"1.88"
7;"2.18"
8;"1.56"
9;"1.98"
10;"1.93"
11;"2.41"
12;"1.40"
13;"1.21"
14;"2.13"
15;"1.39"
16;"1.19"
17;"0.72"
18;"1.05"
19;"1.49"
20;"1.61"
21;"1.57"
22;"1.46"
23;"1.12"
24;"1.07"
25;"1.34"
26;"1.47"
27;"1.34"
28;"1.12"
29;"1.52"
30;"1.88"
31;"1.59"
32;"1.21"
33;"1.77"
34;"1.36"
35;"1.42"
36;"1.57"
37;"1.56"
38;"1.20"
39;"2.37"
40;"1.86"
41;"2.02"
42;"1.77"
43;"1.66"
44;"1.06"
45;"1.37"
46;"1.47"
47;"1.71"
48;"2.35"
49;"2.10"
50;"2.07"
51;"2.26"
52;"2.10"
53;"2.14"
54;"1.44"
55;"2.32"
56;"1.04"
57;"1.64"
58;"1.88"
59;"1.26"
60;"0.68"
61;"1.20"
62;"1.02"
63;"0.91"
64;"1.82"
65;"2.04"
66;"1.39"
67;"1.77"
68;"1.40"
69;"1.17"
70;"1.95"
71;"1.39"
72;"3.26"
73;"3.02"
74;"3.29"
75;"3.93"
76;"3.87"
77;"4.24"
78;"4.49"
79;"3.83"
80;"4.85"
81;"4.14"
82;"1.16"
83;"1.37"
84;"1.36"
85;"3.64"
86;"3.48"
87;"4.58"
88;"1.76"
89;"2.10"
90;"2.61"
91;"2.55"
92;"2.14"
93;"2.54"
94;"2.06"
95;"2.38"
96;"1.73"
97;"2.08"
98;"2.17"
99;"2.05"
100;"2.03"
101;"1.72"
102;"1.70"
103;"1.49"
104;"1.26"
105;"2.03"
106;"2.43"
107;"2.14"
108;"2.34"
109;"1.83"
110;"1.60"
111;"1.75"
112;"1.77"
113;"2.17"
114;"1.19"
115;"1.30"
116;"0.90"
117;"1.00"
118;"0.95"
119;"0.60"
120;"1.24"
121;"0.67"
122;"0.95"
123;"1.21"
124;"2.86"
125;"3.06"
126;"1.84"
127;"1.98"
128;"1.38"
129;"1.11"
130;"1.29"
131;"1.95"
132;"1.93"
133;"6.31"
134;"3.89"
135;"2.67"
136;"2.43"
137;"2.68"
138;"2.26"
139;"2.80"
140;"2.70"
141;"2.41"
142;"2.68"
143;"2.42"
144;"2.42"
145;"2.41"
146;"2.83"
147;"1.66"
148;"2.03"
149;"2.37"
150;"2.16"
151;"1.93"
152;"2.29"
153;"1.83"
154;"1.71"
155;"1.83"
156;"1.93"
157;"2.02"
158;"1.67"
159;"1.91"
160;"3.12"
161;"1.58"
162;"1.81"
163;"1.34"
164;"2.77"
165;"2.13"
166;"1.42"
167;"1.45"
168;"2.33"
169;"2.01"
170;"3.82"
171;"2.49"
172;"1.90"
173;"1.75"
