"id";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
1;0;0;0;0;222;0;222;6
2;0;0;0;0;60;0;64;0
3;0;0;0;0;318;3;319;0
4;0;0;0;0;321;17;323;1
5;0;0;0;0;140;0;137;0
6;0;0;0;0;128;0;127;0
7;0;0;0;0;285;1;287;5
8;0;0;0;0;87;1;86;7
9;0;0;0;0;165;6;163;0
10;0;0;0;0;156;0;159;0
11;0;0;0;0;155;9;152;0
12;0;0;0;0;64;0;62;0
13;0;0;0;0;42;0;40;0
14;0;0;0;0;178;0;177;0
15;0;0;0;0;90;0;89;0
16;0;0;0;0;99;3;97;0
17;0;0;0;0;7;0;6;0
18;0;0;0;0;34;0;33;0
19;0;0;0;0;148;4;146;0
20;0;0;0;0;96;8;95;0
21;0;0;0;0;72;0;71;0
22;0;0;0;0;130;0;130;1
23;0;0;0;0;27;0;26;0
24;0;0;0;0;17;0;16;0
25;0;0;0;0;30;0;29;0
26;0;0;0;0;63;0;62;0
27;0;0;0;0;23;0;23;0
28;0;0;0;0;12;0;11;0
29;0;0;0;0;93;0;94;0
30;0;0;0;0;71;0;69;0
31;0;0;0;0;184;0;185;0
32;0;0;0;0;20;0;19;0
33;0;0;0;0;192;0;192;0
34;0;0;0;0;19;0;20;0
35;0;0;0;0;32;0;34;0
36;0;0;0;0;175;3;180;1
37;0;0;0;0;6;0;7;0
38;0;0;0;0;32;0;33;0
39;0;0;0;0;222;0;223;2
40;0;0;0;0;55;0;59;0
41;0;0;0;0;120;0;120;0
42;0;0;0;0;67;0;68;0
43;0;0;0;0;35;0;37;0
44;0;0;0;0;30;0;31;0
45;0;0;0;0;103;0;105;0
46;0;0;0;0;114;0;117;0
47;0;0;0;0;57;0;58;0
48;0;0;0;0;241;3;242;1
49;0;0;0;0;164;0;169;0
50;0;0;0;0;105;0;113;0
51;0;0;0;0;100;0;103;0
52;0;0;0;0;150;0;153;2
53;0;0;0;0;142;1;148;0
54;0;0;0;0;120;0;121;0
55;0;0;0;0;197;3;201;0
56;0;0;0;0;20;0;21;0
57;0;0;0;0;16;0;17;0
58;0;0;0;0;231;13;227;0
59;0;0;0;0;75;0;74;0
60;0;0;0;0;3;0;3;0
61;0;0;0;0;109;0;108;0
62;0;0;0;0;12;0;11;0
63;0;0;0;0;29;0;29;0
64;0;0;0;0;67;0;65;0
65;0;0;0;0;249;2;252;0
66;0;0;0;0;141;0;140;0
67;0;0;0;0;98;0;99;0
68;0;0;0;0;37;0;37;0
69;0;0;0;0;46;0;48;0
70;0;0;0;0;194;7;199;0
71;0;0;0;0;33;0;35;0
72;0;0;0;0;70;0;72;0
73;0;0;0;0;134;2;136;0
74;0;0;0;0;54;0;57;0
75;0;0;0;0;78;0;84;0
76;0;0;0;0;111;1;116;0
77;0;0;0;0;93;0;101;0
78;0;0;0;0;174;1;180;0
79;0;0;0;0;60;0;66;0
80;0;0;0;0;77;0;87;0
81;0;0;0;0;69;0;77;0
82;0;0;0;0;41;0;43;0
83;0;0;0;0;10;0;13;0
84;0;0;0;0;55;0;56;0
85;0;0;0;0;45;0;51;0
86;0;0;0;0;56;0;61;0
87;0;0;0;0;53;0;59;0
88;0;0;0;0;50;0;48;0
89;0;0;0;0;158;0;158;5
90;0;0;0;0;99;0;96;0
91;0;0;0;0;133;0;130;0
92;0;0;0;0;175;0;177;0
93;0;0;0;0;78;0;75;0
94;0;0;0;0;141;0;138;0
95;0;0;0;0;65;1;62;0
96;0;0;0;0;23;0;21;0
97;0;0;0;0;141;11;140;0
98;0;0;0;0;43;0;40;0
99;0;0;0;0;56;0;54;0
100;0;0;0;0;53;0;51;0
101;0;0;0;0;78;0;74;0
102;0;0;0;0;39;0;37;0
103;0;0;0;0;51;0;50;0
104;0;0;0;0;24;0;22;0
105;0;0;0;0;26;0;23;0
106;0;0;0;0;27;0;24;0
107;0;0;0;0;82;3;82;0
108;0;0;0;0;56;4;53;0
109;0;0;0;0;188;16;186;0
110;0;0;0;0;80;5;78;3
111;0;0;0;0;28;0;27;0
112;0;0;0;0;56;0;54;0
113;0;0;0;0;99;0;96;0
114;0;0;0;0;114;0;114;0
115;0;0;0;0;99;0;97;0
116;0;0;0;0;65;0;64;0
117;0;0;0;0;38;0;37;0
118;0;0;0;0;39;0;40;0
119;0;0;0;0;12;0;12;0
120;0;0;0;0;124;0;121;0
121;0;0;0;0;8;0;7;0
122;0;0;0;0;23;0;23;0
123;0;0;0;0;24;0;22;0
124;0;0;0;0;66;0;71;0
125;0;0;0;0;46;0;55;0
126;0;0;0;0;67;0;72;0
127;0;0;0;0;63;0;66;0
128;0;0;0;0;49;0;47;0
129;0;0;0;0;83;0;80;0
130;0;0;0;0;67;0;67;0
131;0;0;0;0;38;0;41;0
132;0;0;0;0;47;0;51;0
133;0;0;0;0;133;0;144;6
134;0;0;0;0;91;0;100;0
135;0;0;0;0;89;0;86;0
136;0;0;0;0;67;0;62;0
137;0;0;0;0;92;0;91;0
138;0;0;0;0;39;0;35;0
139;0;0;0;0;83;0;80;0
140;0;0;0;0;66;0;64;0
141;0;0;0;0;65;0;62;0
142;0;0;0;0;58;0;56;0
143;0;0;0;0;96;0;91;0
144;0;0;0;0;61;0;56;0
145;0;0;0;0;46;0;42;0
146;0;0;0;0;80;0;77;0
147;0;0;0;0;109;0;108;0
148;0;0;0;0;106;0;102;0
149;0;0;0;0;81;0;77;0
150;0;0;0;0;43;0;39;0
151;0;0;0;0;52;0;48;0
152;0;0;0;0;28;0;23;0
153;0;0;0;0;55;0;54;0
154;0;0;0;0;93;0;90;0
155;0;0;0;0;127;0;124;0
156;0;0;0;0;53;0;48;0
157;0;0;0;0;70;0;67;0
158;0;0;0;0;139;0;138;0
159;0;0;0;0;183;0;179;0
160;0;0;0;0;107;0;104;0
161;0;0;0;0;115;0;114;0
162;0;0;0;0;110;0;107;0
163;0;0;0;0;110;0;110;1
164;0;0;0;0;135;0;135;0
165;0;0;0;0;28;0;25;0
166;0;0;0;0;42;0;40;0
167;0;0;0;0;44;0;40;0
168;0;0;0;0;91;0;89;0
169;0;0;0;0;33;0;31;0
170;0;0;0;0;84;0;82;0
171;0;0;0;0;27;0;24;0
172;0;0;0;0;38;0;39;0
173;0;0;0;0;32;1;34;0
