"id";"time to origin station";"cycling time";"time to destination place";"exit reason";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
1;425;560;121;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
2;641;553;651;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
3;498;830;400;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
4;206;450;173;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
5;220;0;594;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
6;692;433;324;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
7;62;1090;505;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
8;528;354;443;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
9;179;1389;36;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
10;894;626;3;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
11;571;871;455;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
12;932;388;145;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
13;141;270;602;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
14;627;475;489;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
15;444;209;453;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
16;679;206;366;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
17;522;2544;320;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
18;440;1192;617;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
19;391;778;526;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
20;722;515;302;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
21;188;671;526;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
22;365;175;553;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
23;561;343;444;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
24;529;913;388;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
25;499;957;659;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
26;488;323;416;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
27;553;626;399;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
28;674;139;678;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
29;243;494;788;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
30;538;0;478;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
31;739;119;196;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
