"id";"Time intervals";"Total time"
1;"9136-12010  12266-27989  56730-57580  59403-59724  60751-61137  61149-61179  61886-63590  ";21888
2;"1440-1440  1557-1557  1594-2106  3567-3898  29853-29992  30049-30483  34109-34327  34415-34548  34574-34632  34648-34715  36093-37023  38095-38683  46682-47207  47650-47658  47765-47910  47918-47926  47981-48028  48047-48181  49303-49311  49337-49577  49585-49816  49838-50293  50783-50978  51002-51251  51280-51590  51688-51713  52258-52547  52569-52856  55770-55841  55842-55949  55967-56039  56105-56105  56114-56322  56339-56600  58447-58726  58763-59272  60446-60617  60622-61082  62332-62468  63516-64032  64206-64779  70683-70832  70840-70998  ";10236
3;"";0
4;"";0
5;"77485-86399  ";8914
6;"67320-67387  68507-68905  69785-70118  74362-74775  76144-76259  76954-77249  80084-80950  85819-86399  ";3067
7;"";0
8;"71680-73195  ";1515
9;"";0
10;"30466-31916  32694-34638  39281-39448  39839-40798  43700-44086  45041-45080  45102-46217  50535-50808  52160-52256  ";6429
11;"65749-66222  ";473
12;"5985-6127  30457-30601  30621-30652  57565-57790  59079-59623  60107-60220  ";1199
13;"";0
14;"77177-77359  77425-79416  81213-82037  ";2997
15;"33518-34881  37543-37950  66661-68149  69759-69887  70660-71589  73980-75323  ";5658
16;"86857-86399  ";-458
17;"73425-85321  ";11896
18;"72359-74866  75901-86399  ";13005
19;"75578-75874  75956-76260  80662-81440  82804-83623  84450-84696  86642-86399  ";2200
20;"";0
21;"";0
22;"19832-33487  ";13655
23;"";0
24;"3261-3443  3910-4174  29755-29897  30027-30078  30085-30098  56377-56505  56536-56608  56611-57097  61776-62225  ";1787
25;"";0
26;"";0
27;"42760-71556  ";28796
28;"2929-32368  56549-65417  69895-70376  ";38788
29;"2115-2653  2668-2685  3039-3096  4036-4056  4089-4311  13337-13509  18143-19432  22052-22291  51599-51599  51618-51618  51748-51791  51813-52028  52036-52099  52821-52909  53108-53184  53194-53194  53933-53986  55051-55186  55317-55546  55590-55646  55736-55742  55929-55972  56023-56035  56059-56215  56217-56217  56219-56315  56332-56413  56452-56606  57769-57808  57819-57845  57862-57919  58189-58189  59981-60004  60049-60155  60239-60469  60520-60527  60689-60726  70004-70021  70056-70143  70247-70308  70315-70328  79157-79172  79202-79202  80788-80793  80807-80852  80881-80928  80929-80959  81210-81216  83563-83602  83611-83674  83725-83998  84007-84063  84891-84912  84976-85171  85859-85986  85990-85990  86951-86399  ";5133
30;"";0
31;"";0
32;"";0
33;"";0
34;"";0
35;"14154-31075  32061-32679  35081-36736  57340-57340  57365-57719  62671-62812  64046-64471  67073-67494  68915-69611  70620-71013  71052-71809  ";22381
36;"";0
37;"35235-37002  39748-41223  58949-59011  59170-59357  59529-60183  ";4145
38;"32999-34285  35960-39806  42894-44234  45633-46978  ";7817
39;"29143-31249  32539-32560  33769-34117  34151-35394  ";3718
40;"";0
41;"";0
42;"";0
43;"";0
44;"27422-28100  36436-38514  ";2756
45;"48842-59395  62959-66995  ";14589
46;"38860-50300  51002-53429  ";13867
47;"53647-54253  ";606
48;"";0
49;"";0
50;"";0
51;"";0
52;"29736-30372  33998-34175  35708-35845  38856-38885  39693-39823  39956-39979  40227-40575  40611-40845  43831-44830  46002-46181  47068-47068  47999-48183  ";3076
53;"61528-64457  65769-67685  ";4845
54;"32351-32728  32763-32830  33014-33869  ";1299
55;"34293-34456  34744-35450  39596-41702  45499-46995  ";4471
56;"75687-75963  76042-76747  77216-78285  79518-80857  82369-83295  85010-85104  85398-85733  ";4744
57;"31003-32081  33217-34164  ";2025
58;"76466-76559  76611-76619  ";101
59;"";0
60;"24053-27481  28112-29219  29857-30425  32109-33234  34960-35381  35400-36488  37020-37055  37293-38407  40633-41235  42269-43873  47572-48560  49815-50721  51113-51402  51407-51679  52103-52319  52338-53014  54347-55011  59116-59152  59230-60108  61288-61305  62408-62408  62686-62725  65206-65425  65462-66136  ";16966
61;"";0
62;"33268-33329  33344-33706  52258-54444  61166-65132  66016-68345  68796-69493  ";9601
63;"";0
64;"";0
65;"41477-44011  46215-46422  52367-52596  57166-57270  62022-62542  ";3594
66;"";0
67;"33845-35505  ";1660
68;"";0
69;"52614-57782  69188-75964  ";11944
70;"";0
71;"";0
72;"";0
73;"36215-36672  ";457
74;"41141-54454  ";13313
75;"";0
76;"35492-35492  35493-35697  35776-35929  ";357
77;"33884-37865  39429-39686  ";4238
78;"31764-32016  32191-32296  37464-38340  ";1233
79;"";0
80;"47645-65270  ";17625
81;"";0
82;"";0
83;"";0
84;"30346-30356  30409-30498  30561-30609  30639-30670  30726-30749  31093-31105  31121-31229  31290-31359  31403-31433  31441-31444  34705-34730  34825-34832  34863-34909  35090-35171  51962-51984  51998-52018  52112-52165  52194-52194  52220-52237  53728-53851  53952-54002  ";867
85;"32283-34359  36982-44222  46586-48326  ";11056
86;"31186-31342  33144-33440  34873-36907  38951-43501  ";7036
87;"40508-43054  43525-48880  ";7901
88;"";0
89;"";0
90;"67022-67025  67884-68208  70732-70832  ";427
91;"";0
92;"";0
93;"52339-52946  68476-68612  ";743
94;"";0
95;"71118-73062  ";1944
96;"69489-69561  ";72
97;"33256-33956  34610-34611  48363-49390  54918-57662  69097-73099  ";8474
98;"53848-55316  65035-65591  66540-66593  66647-66712  68106-68109  69927-70289  70415-70603  70972-71261  71374-71525  72481-72481  72595-72759  73095-73149  74728-75463  76932-78267  ";5423
99;"";0
100;"73935-74595  75877-79765  ";4548
101;"68947-69243  69295-69390  70378-70511  75300-75300  75313-75568  84017-84072  84445-84508  84736-85063  ";1224
102;"62678-62947  66510-66821  66931-66941  70598-70689  72881-74273  ";2073
103;"71055-71335  71343-71486  73496-73553  76645-77309  85481-85649  85657-86350  ";2005
104;"";0
105;"";0
106;"7245-9877  11503-14149  ";5278
107;"";0
108;"";0
109;"3562-5308  5618-7323  8135-8727  10678-12764  12887-21772  51298-51434  51438-51505  51512-51541  51715-51808  51834-52616  54553-55067  58364-60562  62204-63796  67573-68345  80288-81308  ";22217
110;"1374-1728  2123-2151  2163-2689  2951-3359  3438-3638  3663-3873  4181-6372  6837-7836  8588-11004  12597-16885  51020-51145  51231-51292  51323-51411  51431-51567  53146-53309  53488-53499  53661-53741  53895-53928  60482-60491  60566-60683  60725-60844  62311-62371  62437-62454  64457-64582  64753-64801  66116-66154  66209-66297  66334-66373  66594-66598  66598-66644  67473-67506  67508-67562  67644-67681  67765-67800  67807-67813  67834-67851  67952-68065  69645-69645  69669-69687  69744-69797  69878-69976  70691-70702  70808-70813  70824-70863  71734-71802  71811-71876  71922-71945  71947-71947  73552-73601  74241-74241  74301-74330  74331-74353  74406-74446  74768-74842  75600-75614  75664-75670  77070-77480  77551-77651  79413-79519  79589-79744  79756-79801  79863-79863  79869-79903  81276-81362  81425-81429  81812-81851  82092-82092  84142-84496  84499-84823  ";15593
111;"";0
112;"";0
113;"";0
114;"";0
115;"";0
116;"";0
117;"";0
118;"";0
119;"";0
120;"";0
121;"";0
122;"";0
123;"";0
124;"";0
125;"";0
126;"";0
127;"";0
128;"";0
129;"";0
130;"";0
131;"";0
132;"";0
133;"";0
134;"";0
135;"68470-68578  70075-71063  ";1096
136;"";0
137;"";0
138;"";0
139;"";0
140;"";0
141;"";0
142;"";0
143;"";0
144;"";0
145;"67894-73654  ";5760
146;"";0
147;"";0
148;"";0
149;"66580-69557  ";2977
150;"";0
151;"";0
152;"";0
153;"";0
154;"";0
155;"69133-69239  ";106
156;"60631-61410  67491-68085  ";1373
157;"";0
158;"";0
159;"";0
160;"";0
161;"";0
162;"";0
163;"";0
164;"";0
165;"";0
166;"";0
167;"";0
168;"";0
169;"";0
170;"";0
171;"";0
172;"39205-40175  ";970
173;"";0
