"id";"balancing quality"
1;"8.35"
2;"5.96"
3;"1.72"
4;"4.27"
5;"3.54"
6;"6.83"
7;"5.12"
8;"2.74"
9;"0.60"
10;"6.86"
11;"3.60"
12;"5.58"
13;"3.54"
14;"3.49"
15;"5.62"
16;"3.74"
17;"4.15"
18;"6.54"
19;"6.87"
20;"3.87"
21;"3.59"
22;"6.54"
23;"3.08"
24;"5.18"
25;"2.88"
26;"3.55"
27;"7.03"
28;"9.17"
29;"6.70"
30;"5.67"
31;"3.30"
32;"3.91"
33;"4.12"
34;"2.86"
35;"7.84"
36;"3.12"
37;"4.94"
38;"5.66"
39;"5.98"
40;"3.64"
41;"2.34"
42;"5.29"
43;"4.73"
44;"6.27"
45;"5.48"
46;"5.99"
47;"5.78"
48;"3.19"
49;"2.79"
50;"5.46"
51;"3.75"
52;"6.35"
53;"5.62"
54;"4.34"
55;"4.98"
56;"3.51"
57;"3.63"
58;"4.08"
59;"4.96"
60;"9.13"
61;"5.32"
62;"5.87"
63;"2.66"
64;"1.88"
65;"4.90"
66;"2.31"
67;"3.35"
68;"0.00"
69;"6.83"
70;"0.50"
71;"1.50"
72;"3.49"
73;"3.70"
74;"5.18"
75;"3.13"
76;"3.41"
77;"5.18"
78;"5.19"
79;"4.01"
80;"4.50"
81;"3.04"
82;"3.92"
83;"2.97"
84;"4.78"
85;"6.62"
86;"6.16"
87;"6.54"
88;"1.59"
89;"1.03"
90;"5.49"
91;"3.10"
92;"5.00"
93;"4.64"
94;"1.19"
95;"3.01"
96;"4.72"
97;"5.66"
98;"7.61"
99;"2.16"
100;"5.91"
101;"3.17"
102;"5.03"
103;"5.75"
104;"0.00"
105;"1.53"
106;"7.50"
107;"1.73"
108;"4.43"
109;"5.90"
110;"6.07"
111;"3.99"
112;"2.59"
113;"3.81"
114;"0.86"
115;"2.22"
116;"2.66"
117;"0.00"
118;"1.00"
119;"3.34"
120;"5.04"
121;"1.25"
122;"0.00"
123;"2.36"
124;"3.23"
125;"3.17"
126;"2.46"
127;"3.57"
128;"2.62"
129;"2.79"
130;"3.55"
131;"1.66"
132;"3.60"
133;"6.24"
134;"5.29"
135;"3.98"
136;"2.10"
137;"2.45"
138;"2.63"
139;"3.60"
140;"1.61"
141;"2.34"
142;"2.97"
143;"3.36"
144;"1.72"
145;"5.07"
146;"3.37"
147;"1.87"
148;"2.40"
149;"5.95"
150;"2.43"
151;"1.83"
152;"4.73"
153;"1.30"
154;"1.39"
155;"2.97"
156;"4.18"
157;"2.80"
158;"2.52"
159;"2.30"
160;"3.97"
161;"2.19"
162;"1.00"
163;"3.11"
164;"3.85"
165;"2.81"
166;"1.69"
167;"5.02"
168;"3.22"
169;"2.64"
170;"4.12"
171;"2.58"
172;"3.25"
173;"0.00"
