"id";"Time intervals";"Total time"
1;"52188-52684  60714-62384  62957-63335  64047-65016  65942-66017  67685-69935  70881-71677  71979-72790  73046-74483  78995-82694  ";12581
2;"12278-18931  30617-31126  58432-60074  61641-62613  62991-65222  65999-66292  ";12300
3;"";0
4;"34528-37254  41532-42894  ";4088
5;"29701-30397  ";696
6;"36444-37000  40293-40666  73600-73879  ";1208
7;"29326-30041  30712-31497  32307-33417  84182-84295  84946-86399  ";4176
8;"25732-26230  27544-28257  30558-31417  31977-32231  32581-32874  32893-33126  33281-33532  ";3101
9;"";0
10;"35218-35388  35650-36216  36899-37324  42570-43688  44701-45860  ";3438
11;"74628-75212  76990-77024  77087-78752  81375-82753  84331-84679  84819-85380  ";4570
12;"12267-12954  15692-23318  26024-26094  29031-30995  31681-32845  ";11511
13;"31175-32402  34726-35860  ";2361
14;"39832-40608  43526-43526  63173-65297  66365-66409  66432-66922  ";3434
15;"";0
16;"37202-39671  40069-42937  43930-44234  45597-49967  50062-50296  54556-55080  ";10769
17;"61072-62211  84375-84661  85278-86399  ";2546
18;"30562-30770  47245-49064  50936-51292  54274-54348  ";2457
19;"";0
20;"";0
21;"79535-80892  81160-81356  82709-82984  ";1828
22;"63214-63950  64194-64666  65453-65650  67118-68981  72499-73588  74317-77089  ";7129
23;"9625-9973  11837-22905  25826-30253  30611-31400  56313-57464  58736-59716  60383-60762  61410-61741  62778-63307  67607-68274  69768-69776  70401-70428  70620-71314  ";21398
24;"61675-61932  63327-63616  68657-69356  ";1245
25;"83028-85004  ";1976
26;"";0
27;"";0
28;"52192-52562  52871-53125  54335-54796  55288-55344  55938-56544  56804-61613  61894-66155  66745-68637  69155-69183  72961-73796  85509-86399  ";14462
29;"52389-55486  55668-56901  59133-62119  62659-64351  67744-68745  73859-75665  76783-78168  78285-79784  80238-82176  82461-86399  ";20575
30;"";0
31;"";0
32;"";0
33;"";0
34;"60784-60801  64774-65304  65931-67630  69855-69924  70618-70864  ";2561
35;"29533-30105  31117-31168  33535-34256  34794-34835  35403-35848  37238-37280  38766-39664  40897-41480  42945-45058  46400-47088  47355-48078  48320-48740  50386-52327  52643-54703  55482-56268  56575-57381  58056-58165  59320-59573  60466-60521  68277-69260  69557-69977  70402-71508  72954-73074  73739-73926  74432-74575  76963-77379  77889-78695  ";17488
36;"47609-48198  48366-49247  60026-60355  61158-61641  66841-67008  ";2449
37;"33763-33784  34431-34810  35017-35648  35838-37531  37987-38594  46821-48793  49096-52407  60401-61593  ";9806
38;"51993-52073  52846-52846  ";80
39;"31961-32870  34916-35603  36563-37115  37342-37862  38647-40603  44417-45493  48508-48790  51920-52068  55455-57222  ";7897
40;"";0
41;"31970-32027  33204-33667  33853-35867  ";2534
42;"29427-41038  44421-44877  ";12067
43;"";0
44;"32658-32950  34896-34904  35638-40030  41439-41560  ";4813
45;"81767-83391  84602-84632  84716-85053  ";1991
46;"31317-33555  33703-33999  40478-40849  42714-44167  ";4358
47;"29339-31854  32598-38539  46939-47897  49073-49589  49995-50274  ";10209
48;"30508-34533  34840-35397  35698-38130  38746-44251  45829-46919  ";13609
49;"35046-35200  35246-36391  37790-41858  42925-45728  48507-48700  49717-49939  50613-52005  ";9977
50;"34860-38844  44549-47955  49750-49750  50827-52566  52785-52962  53561-53898  ";9643
51;"38963-41682  42240-45252  55226-56182  ";6687
52;"32834-32834  32925-32978  33261-33666  34046-37915  44954-45848  49719-49908  52914-54122  63492-63713  ";6839
53;"37477-38276  38522-39406  39961-41934  42630-44569  45800-45854  47037-48849  ";7461
54;"34521-34972  35572-36795  40084-41395  43331-46746  48111-49913  50602-51415  52541-52994  53227-53868  ";10109
55;"46279-47185  48755-49602  51881-52675  ";2547
56;"32780-33260  52891-53113  55404-56554  ";1852
57;"";0
58;"13129-26554  29209-29909  30062-30414  32413-32422  32426-32603  32739-32965  ";14889
59;"";0
60;"";0
61;"";0
62;"29417-29566  ";149
63;"29435-32408  35121-36037  ";3889
64;"";0
65;"";0
66;"48753-49860  ";1107
67;"56500-56604  57346-57376  58320-58649  59794-60762  61107-61971  ";2295
68;"70573-70824  75066-75189  79805-82299  ";2868
69;"";0
70;"";0
71;"";0
72;"35780-37957  ";2177
73;"29370-29547  32011-32996  33630-34387  35384-35914  35921-36781  39600-40817  41964-42313  43079-43767  44688-46250  ";7125
74;"35861-36319  37473-38407  64353-65008  66508-66589  66731-67124  ";2521
75;"34519-43810  ";9291
76;"31989-32203  32299-32661  32772-32958  33537-33812  33962-34201  34372-34450  34700-34919  35423-36000  37283-37383  37890-40307  42441-42876  43453-48442  49133-50785  ";11743
77;"31763-32043  32275-32594  32862-32942  34736-35054  35891-36965  37672-38457  40654-41108  41480-42114  42554-44172  44469-45240  45978-46370  47381-47724  50373-51085  ";7780
78;"34629-35604  36093-38591  39779-41282  41877-44377  45142-47766  ";10100
79;"36699-39168  48858-52807  54293-55685  ";7810
80;"40218-42988  43289-43823  45831-48553  49363-49705  50362-50639  57127-58716  ";8234
81;"36072-36327  36570-37419  37883-38555  39095-39409  46807-49395  ";4678
82;"78561-78944  79032-80261  80824-81475  81884-82729  ";3108
83;"70681-70884  71257-72570  74514-75825  77203-77558  78056-78222  78371-79038  79121-79719  80883-81015  81499-83342  ";6588
84;"";0
85;"36547-38128  42058-43417  45638-51515  ";8817
86;"32957-36861  38779-39405  39905-40660  43069-46397  ";8613
87;"47881-48596  49724-50468  51012-53239  54194-54358  59354-61553  ";6049
88;"";0
89;"71633-72524  84470-84634  ";1055
90;"";0
91;"";0
92;"85237-85648  85996-86399  ";814
93;"";0
94;"";0
95;"71728-74611  75544-76443  ";3782
96;"70236-70784  72137-72228  72607-72806  72912-74788  75269-76863  78021-78250  81688-86399  ";9248
97;"";0
