"id";"balancing quality"
1;"6.39"
2;"6.52"
3;"3.51"
4;"4.67"
5;"4.92"
6;"7.38"
7;"5.28"
8;"5.45"
9;"3.01"
10;"5.73"
11;"6.16"
12;"7.30"
13;"4.63"
14;"5.23"
15;"2.25"
16;"5.03"
17;"3.90"
18;"6.57"
19;"4.08"
20;"5.12"
21;"6.23"
22;"6.13"
23;"7.44"
24;"4.37"
25;"5.69"
26;"3.40"
27;"5.73"
28;"6.44"
29;"6.12"
30;"5.32"
31;"2.42"
32;"5.06"
33;"2.23"
34;"5.04"
35;"10.12"
36;"4.02"
37;"8.02"
38;"5.41"
39;"5.02"
40;"2.34"
41;"4.68"
42;"7.71"
43;"5.52"
44;"4.91"
45;"4.78"
46;"6.08"
47;"6.50"
48;"4.65"
49;"4.96"
50;"6.50"
51;"6.95"
52;"5.78"
53;"5.97"
54;"5.48"
55;"6.30"
56;"4.31"
57;"3.62"
58;"5.28"
59;"4.94"
60;"5.46"
61;"4.20"
62;"6.53"
63;"4.24"
64;"6.34"
65;"3.05"
66;"5.24"
67;"5.28"
68;"5.84"
69;"5.01"
70;"2.61"
71;"6.46"
72;"4.23"
73;"5.75"
74;"5.23"
75;"6.35"
76;"4.49"
77;"8.41"
78;"5.36"
79;"5.18"
80;"7.66"
81;"5.22"
82;"3.58"
83;"4.93"
84;"2.65"
85;"5.72"
86;"4.46"
87;"8.43"
88;"4.23"
89;"6.21"
90;"5.67"
91;"5.13"
92;"4.50"
93;"6.95"
94;"5.17"
95;"6.37"
96;"7.10"
97;"3.86"
98;"5.79"
99;"6.86"
100;"6.01"
101;"2.18"
102;"5.72"
103;"4.56"
104;"3.15"
105;"5.73"
106;"7.07"
107;"5.74"
108;"6.32"
109;"4.63"
110;"4.59"
111;"7.87"
112;"4.77"
113;"5.03"
114;"3.38"
115;"3.74"
116;"3.47"
117;"5.46"
118;"1.98"
119;"2.87"
120;"2.41"
121;"9.12"
122;"3.41"
123;"3.97"
124;"3.85"
125;"3.17"
126;"5.48"
127;"7.41"
128;"4.94"
129;"3.18"
130;"3.87"
131;"5.02"
132;"5.45"
133;"7.09"
134;"5.56"
135;"5.52"
136;"3.28"
137;"5.30"
138;"3.83"
139;"2.30"
140;"3.66"
141;"4.42"
142;"3.27"
143;"4.38"
144;"3.70"
145;"5.48"
146;"4.69"
147;"4.60"
148;"3.50"
149;"4.17"
150;"5.19"
151;"1.80"
152;"5.14"
153;"3.89"
154;"5.69"
155;"3.17"
156;"3.50"
157;"5.66"
158;"3.12"
159;"4.92"
160;"8.54"
161;"3.16"
162;"3.54"
163;"3.07"
164;"5.89"
165;"8.22"
166;"3.46"
167;"4.65"
168;"4.73"
169;"3.44"
170;"4.01"
171;"2.56"
172;"6.19"
173;"3.87"
