"id";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
1;0;0;0;0;49;2;38;0
2;0;0;0;0;72;0;69;0
3;0;0;0;0;94;0;90;0
4;0;0;0;0;93;0;90;4
5;0;0;0;0;76;0;77;0
6;0;0;0;0;126;1;120;0
7;0;0;0;0;102;3;90;0
8;0;0;0;0;118;3;116;2
9;0;0;0;0;160;0;161;0
10;0;0;0;0;95;2;105;0
11;0;0;0;0;81;2;70;2
12;0;0;0;0;95;0;99;1
13;0;0;0;0;110;1;112;3
14;0;0;0;0;76;0;77;0
15;0;0;0;0;67;0;61;0
16;0;0;0;0;76;1;79;0
17;0;0;0;0;87;1;77;0
18;0;0;0;0;87;1;92;0
19;0;0;0;0;111;0;105;4
20;0;0;0;0;78;0;81;1
21;0;0;0;0;84;0;73;4
22;0;0;0;0;64;0;60;0
23;0;0;0;0;97;0;93;0
24;0;0;0;0;89;0;84;0
25;0;0;0;0;76;1;66;0
26;0;0;0;0;92;0;98;0
27;0;0;0;0;51;0;49;0
28;0;0;0;0;51;0;39;0
29;0;0;0;0;42;0;30;0
30;0;0;0;0;103;0;96;9
31;0;0;0;0;119;0;116;0
32;0;0;0;0;71;0;68;8
33;0;0;0;0;75;0;74;0
34;0;0;0;0;43;1;35;0
35;0;0;0;0;66;5;60;0
36;0;0;0;0;65;3;73;1
37;0;0;0;0;80;2;91;2
38;0;0;0;0;91;1;101;6
39;0;0;0;0;57;2;69;0
40;0;0;0;0;56;0;62;0
41;0;0;0;0;86;1;98;3
42;0;0;0;0;87;0;93;6
43;0;0;0;0;157;0;168;0
44;0;0;0;0;63;1;70;1
45;0;0;0;0;140;0;134;0
46;0;0;0;0;107;0;114;0
47;0;0;0;0;70;2;77;0
48;0;0;0;0;72;0;83;0
49;0;0;0;0;111;0;122;4
50;0;0;0;0;74;1;86;5
51;0;0;0;0;71;0;83;2
52;0;0;0;0;96;2;107;1
53;0;0;0;0;97;2;109;2
54;0;0;0;0;79;5;91;0
55;0;0;0;0;119;2;120;0
56;0;0;0;0;128;1;126;0
57;0;0;0;0;144;0;151;0
58;0;0;0;0;157;3;157;0
59;0;0;0;0;112;0;121;2
60;0;0;0;0;71;0;76;1
61;0;0;0;0;58;0;52;0
62;0;0;0;0;114;0;120;3
63;0;0;0;0;82;1;78;0
64;0;0;0;0;138;0;127;8
65;0;0;0;0;92;0;88;0
66;0;0;0;0;73;0;74;0
67;0;0;0;0;75;0;74;0
68;0;0;0;0;74;1;64;6
69;0;0;0;0;101;0;96;1
70;0;0;0;0;49;0;44;0
