"id";"time";"available bikes"
1;0;12
1;1826;11
1;2444;12
1;3797;11
1;3933;10
1;4142;11
1;4303;12
1;6572;13
1;10833;12
1;10975;13
1;13407;12
1;14523;11
1;14587;12
1;22469;13
1;30657;14
1;31259;13
1;32095;14
1;32273;15
1;35160;16
1;35421;15
1;35431;16
1;35799;15
1;36211;16
1;37484;15
1;38167;14
1;38339;13
1;38438;14
1;41702;13
1;41841;12
1;44280;13
1;44427;14
1;47007;13
1;47268;14
1;47383;13
1;47638;12
1;47722;11
1;47953;10
1;49076;11
1;49373;10
1;49736;9
1;49982;8
1;50946;7
1;51048;6
1;51177;5
1;51430;4
1;52033;3
1;52684;4
1;54795;5
1;54924;6
1;55514;7
1;56538;6
1;57184;7
1;57714;6
1;58046;5
1;58420;4
1;58504;3
1;59236;2
1;60616;1
1;61455;0
1;62384;1
1;62957;0
1;63335;1
1;64194;0
1;65016;1
1;65942;0
1;66017;1
1;66022;2
1;67561;1
1;67689;0
1;69935;1
1;70881;0
1;71677;1
1;71907;0
1;74483;1
1;77880;2
1;78901;1
1;78995;0
1;83255;1
1;83613;0
1;86907;1
2;0;12
2;1601;11
2;2848;10
2;3050;9
2;3509;8
2;3709;7
2;3798;8
2;5130;7
2;6519;6
2;6734;5
2;7156;6
2;7324;5
2;10394;4
2;10673;3
2;12170;2
2;12278;1
2;12726;0
2;18931;1
2;24653;2
2;26646;3
2;28286;2
2;30197;1
2;30617;0
2;31609;1
2;32123;2
2;32289;3
2;32309;4
2;32821;5
2;33446;6
2;34381;5
2;34957;4
2;34959;3
2;35039;2
2;35366;3
2;35994;4
2;36405;5
2;36636;6
2;37461;7
2;37609;8
2;38076;7
2;38347;6
2;39421;5
2;39683;4
2;39818;3
2;41258;2
2;41651;3
2;42134;2
2;44033;3
2;44248;4
2;44558;3
2;46761;2
2;48561;1
2;49249;2
2;50674;1
2;51190;0
2;51864;1
2;52019;0
2;52852;1
2;53537;0
2;55038;1
2;55743;2
2;56928;1
2;57195;0
2;60074;1
2;61478;0
2;62613;1
2;62762;0
2;65222;1
2;65277;2
2;65475;1
2;65999;0
2;66292;1
2;66576;2
2;66755;1
2;66943;2
2;66975;3
2;67945;4
2;67948;3
2;68059;2
2;68464;1
2;68606;2
2;68843;3
2;69152;4
2;69212;5
2;69387;6
2;69791;7
2;70076;6
2;70249;7
2;70294;8
2;71230;7
2;71999;6
2;72210;5
2;72412;4
2;72499;3
2;72519;2
2;72611;3
2;72805;2
2;72884;3
2;72907;4
2;72925;3
2;73066;2
2;73122;1
2;73237;2
2;73521;3
2;73858;2
2;74065;1
2;74337;0
2;74451;1
2;75195;0
2;75307;1
2;75622;2
2;76493;1
2;76859;2
2;77707;3
2;78339;2
2;79219;1
2;79711;0
2;81140;1
2;82034;0
2;83835;1
2;84167;0
2;86578;1
2;87248;2
3;0;12
3;255;11
3;636;10
3;841;9
3;990;10
3;1205;9
3;1279;10
3;2456;9
3;2683;8
3;2986;9
3;4207;8
3;4414;9
3;5790;8
3;7771;7
3;10135;6
3;10291;7
3;12660;6
3;22077;7
3;22719;8
3;23135;7
3;28059;8
3;29374;7
3;30402;8
3;30626;9
3;32242;10
3;33349;9
3;33686;10
3;33720;9
3;33974;10
3;34262;11
3;34569;10
3;34601;11
3;34893;12
3;35639;13
3;36385;14
3;36475;15
3;36649;16
3;37692;15
3;37929;14
3;37940;15
3;38309;14
3;39578;15
3;39736;16
3;39766;17
3;40954;16
3;41905;15
3;41905;16
3;42878;15
3;44033;16
3;44971;15
3;44971;16
3;45032;17
3;45144;16
3;46192;15
3;46743;16
3;46912;15
3;47053;14
3;47473;13
3;48940;14
3;49399;15
3;49540;16
3;50006;15
3;50285;16
3;51388;17
3;51408;18
3;51558;19
3;51590;18
3;51646;17
3;51722;16
3;51730;15
3;52254;14
3;52501;13
3;53096;14
3;53466;15
3;53483;14
3;54100;13
3;54422;12
3;54852;13
3;55256;14
3;55259;13
3;55709;12
3;55767;11
3;56477;10
3;56629;9
3;56731;8
3;57296;7
3;57686;6
3;57894;7
3;57970;8
3;57971;9
3;58198;10
3;58978;11
3;59460;10
3;59582;11
3;59856;10
3;60270;11
3;60560;10
3;61028;11
3;61351;12
3;61639;11
3;61688;10
3;61788;11
3;62469;12
3;62585;13
3;63134;14
3;63246;15
3;63511;14
3;63683;13
3;63878;14
3;63980;13
3;64193;14
3;64641;15
3;64940;14
3;64992;13
3;65390;14
3;65585;13
3;66122;14
3;66774;15
3;67464;14
3;67553;15
3;67750;14
3;67967;15
3;68395;14
3;68846;15
3;68904;16
3;68950;17
3;69217;16
3;69564;17
3;69725;16
3;69965;15
3;70003;16
3;70012;15
3;70783;14
3;71333;15
3;72155;14
3;72257;13
3;72712;12
3;73152;11
3;73493;12
3;73598;11
3;73650;10
3;74198;11
3;74791;10
3;75001;11
3;75653;12
3;75925;11
3;76023;12
3;76175;11
3;76511;10
3;76598;9
3;77871;8
3;78735;9
3;78836;10
3;78952;9
3;80531;8
3;80580;7
3;80984;8
3;81106;9
3;81512;8
3;81821;9
3;82491;8
3;82893;9
3;83240;8
3;83822;7
3;83916;6
3;84493;7
3;84965;8
3;85491;7
3;86108;8
3;86615;7
4;0;9
4;872;8
4;1078;9
4;1811;10
4;2861;11
4;3041;10
4;4182;11
4;4369;10
4;4369;11
4;4779;12
4;5327;11
4;6372;10
4;7813;11
4;14276;12
4;25510;11
4;26053;10
4;26383;9
4;27084;8
4;27398;7
4;27799;8
4;28342;7
4;28937;8
4;29392;7
4;29431;8
4;29441;7
4;29458;6
4;30088;5
4;30380;4
4;30435;3
4;30553;2
4;30612;1
4;30740;2
4;30898;1
4;31497;0
4;31553;1
4;31566;0
4;32039;1
4;32121;2
4;32439;1
4;32638;2
4;33035;3
4;33629;2
4;33880;1
4;33903;2
4;33940;1
4;33981;0
4;33989;1
4;34452;2
4;34465;1
4;34528;0
4;37254;1
4;38489;2
4;40318;1
4;41070;0
4;41275;1
4;41456;2
4;41490;1
4;41532;0
4;44644;1
4;45893;0
4;49494;1
4;49731;0
4;50680;1
4;50886;0
4;51019;1
4;51259;2
4;51862;3
4;52235;4
4;52295;3
4;52365;2
4;52568;3
4;53131;4
4;53575;3
4;55026;2
4;55141;3
4;55412;4
4;55880;5
4;55940;6
4;56005;5
4;57015;4
4;57881;5
4;59699;6
4;59931;5
4;60204;4
4;60342;5
4;60531;6
4;60659;5
4;60835;6
4;60871;7
4;61136;8
4;61268;9
4;61401;10
4;61428;9
4;61801;10
4;62046;11
4;62177;10
4;62199;11
4;62211;12
4;62831;13
4;63391;12
4;63391;13
4;63561;14
4;63811;13
4;63924;14
4;64335;13
4;64457;14
4;65087;13
4;65141;14
4;65301;13
4;65479;14
4;66313;13
4;66670;12
4;67395;11
4;67656;10
4;67715;11
4;67733;12
4;67883;13
4;67884;14
4;67970;15
4;68112;16
4;68444;17
4;68661;18
4;68958;17
4;69271;18
4;69924;17
4;70186;16
4;70462;15
4;70559;14
4;70956;15
4;71016;14
4;71146;13
4;71824;12
4;72307;11
4;72606;10
4;72788;11
4;72861;10
4;72886;11
4;73339;12
4;73485;11
4;74237;12
4;74271;13
4;74463;12
4;74463;13
4;74490;12
4;74646;13
4;74987;12
4;75923;13
4;75956;12
4;76199;13
4;76445;14
4;76600;13
4;76959;12
4;77235;13
4;77509;12
4;77834;11
4;78004;12
4;78379;13
4;78729;14
4;78937;15
4;78974;14
4;79348;15
4;79493;14
4;80312;13
4;81012;14
4;81283;15
4;81676;14
4;82213;13
4;82389;14
4;82739;13
4;83610;12
4;83610;13
4;84051;12
4;84868;13
4;85147;12
4;86878;13
5;0;12
5;1472;11
5;3191;10
5;4474;9
5;4576;8
5;6309;7
5;6786;6
5;7813;5
5;8858;4
5;20837;3
5;22354;2
5;24864;1
5;25875;0
5;27480;1
5;28367;0
5;28771;1
5;29066;0
5;30397;1
5;30427;0
5;31568;1
5;32109;2
5;32117;1
5;32141;0
5;32679;1
5;33189;0
5;33471;1
5;33664;2
5;33788;1
5;33892;0
5;34448;1
5;34488;2
5;34569;1
5;34889;0
5;35225;1
5;35255;0
5;35575;1
5;35586;0
5;36177;1
5;36265;0
5;42760;1
5;43237;0
5;43678;1
5;44038;0
5;44059;1
5;44924;2
5;45730;1
5;46086;2
5;46387;1
5;47711;0
5;47801;1
5;47929;0
5;47956;1
5;47989;2
5;48174;1
5;48398;0
5;49308;1
5;49536;0
5;51539;1
5;51548;0
5;51878;1
5;51911;2
5;52103;3
5;52748;2
5;52749;1
5;52929;0
5;53180;1
5;53315;2
5;53533;3
5;53768;2
5;53820;1
5;53933;0
5;53953;1
5;53995;0
5;55569;1
5;55813;0
5;57379;1
5;57863;0
5;59199;1
5;59334;2
5;59447;1
5;60252;0
5;60423;1
5;60490;2
5;61110;1
5;61286;0
5;61954;1
5;62082;2
5;62885;1
5;63650;2
5;63731;3
5;64602;4
5;64943;3
5;65183;2
5;65369;1
5;66177;2
5;66347;3
5;66960;4
5;67011;5
5;67174;6
5;67338;7
5;67975;8
5;68093;7
5;68318;8
5;68554;7
5;68879;8
5;68961;9
5;68985;8
5;69162;7
5;69307;8
5;69545;9
5;69923;8
5;69925;9
5;69976;8
5;70639;9
5;72093;8
5;72115;9
5;72281;10
5;72487;11
5;72882;12
5;73182;11
5;73494;10
5;74135;11
5;74355;12
5;74585;11
5;75044;10
5;75275;9
5;75289;8
5;75373;9
5;77296;10
5;77476;11
5;77858;10
5;77885;9
5;77973;10
5;78009;9
5;78355;8
5;78854;7
5;78960;6
5;78987;7
5;79124;8
5;79209;7
5;79470;8
5;79636;9
5;80144;10
5;81484;9
5;81695;8
5;81879;7
5;82297;8
5;82398;9
5;83078;10
5;83677;9
5;83790;10
5;84485;9
5;84493;8
5;84680;7
6;0;13
6;494;12
6;736;13
6;1709;12
6;1731;11
6;1794;10
6;2987;9
6;3187;8
6;3255;7
6;3531;6
6;3531;7
6;5295;6
6;5523;5
6;5651;4
6;8190;3
6;9176;2
6;13934;1
6;15949;0
6;22765;1
6;26077;0
6;26667;1
6;29009;0
6;30795;1
6;30961;2
6;31476;3
6;31532;2
6;32618;1
6;32736;0
6;33241;1
6;33487;0
6;34562;1
6;34660;0
6;35315;1
6;35436;0
6;37000;1
6;37165;0
6;38065;1
6;40037;0
6;40754;1
6;40756;0
6;41199;1
6;41294;2
6;42375;1
6;42537;0
6;43454;1
6;43709;0
6;44251;1
6;44577;0
6;45505;1
6;45609;2
6;45837;1
6;46630;2
6;47800;1
6;47818;0
6;48499;1
6;48640;0
6;49831;1
6;49843;0
6;50211;1
6;50767;0
6;50802;1
6;51349;0
6;51608;1
6;52177;0
6;52348;1
6;52406;0
6;52410;1
6;52444;0
6;53283;1
6;53450;0
6;54296;1
6;54402;2
6;54784;1
6;54941;0
6;56393;1
6;56574;2
6;56949;1
6;57110;2
6;57479;3
6;57524;2
6;58202;1
6;58813;0
6;59261;1
6;60494;0
6;61344;1
6;61690;0
6;61787;1
6;61953;2
6;62285;3
6;62721;2
6;63165;3
6;63613;4
6;63986;5
6;64369;4
6;64679;5
6;65680;4
6;65705;5
6;65932;4
6;65957;3
6;66034;4
6;66194;3
6;66376;2
6;66382;3
6;66384;4
6;66861;5
6;67307;4
6;67502;5
6;67580;6
6;67906;7
6;68006;8
6;68118;7
6;68242;8
6;68453;7
6;68547;6
6;68559;7
6;68645;8
6;68982;7
6;68998;6
6;69076;7
6;69100;6
6;69470;7
6;69826;6
6;69865;7
6;69874;8
6;70140;7
6;70209;8
6;70316;9
6;70795;8
6;71043;7
6;71384;6
6;72274;5
6;72333;4
6;72333;5
6;72592;4
6;73316;3
