"id";"balancing quality"
1;"5.00"
2;"9.39"
3;"3.34"
4;"4.37"
5;"8.19"
6;"11.07"
7;"4.99"
8;"6.84"
9;"4.79"
10;"6.65"
11;"5.29"
12;"8.47"
13;"5.06"
14;"6.72"
15;"3.07"
16;"4.94"
17;"1.97"
18;"7.44"
19;"5.92"
20;"8.28"
21;"5.12"
22;"8.58"
23;"8.33"
24;"6.06"
25;"5.31"
26;"2.45"
27;"4.62"
28;"8.01"
29;"4.55"
30;"5.77"
31;"3.56"
32;"5.56"
33;"4.88"
34;"4.06"
35;"9.24"
36;"2.36"
37;"8.27"
38;"6.18"
39;"4.71"
40;"2.12"
41;"5.94"
42;"7.74"
43;"8.60"
44;"6.80"
45;"6.75"
46;"6.88"
47;"7.46"
48;"5.43"
49;"5.34"
50;"7.42"
51;"6.37"
52;"6.60"
53;"5.82"
54;"4.28"
55;"4.20"
56;"4.99"
57;"5.56"
58;"6.75"
59;"5.41"
60;"2.75"
61;"5.00"
62;"8.46"
63;"7.17"
64;"7.43"
65;"3.09"
66;"6.08"
67;"6.40"
68;"5.64"
69;"5.41"
70;"3.94"
71;"7.31"
72;"4.68"
73;"6.66"
74;"6.49"
75;"7.36"
76;"4.43"
77;"8.68"
78;"5.39"
79;"5.56"
80;"7.97"
81;"5.63"
82;"4.72"
83;"2.98"
84;"5.88"
85;"6.39"
86;"4.94"
87;"7.40"
88;"7.67"
89;"7.08"
90;"4.99"
91;"7.15"
92;"4.68"
93;"5.77"
94;"5.83"
95;"6.44"
96;"6.92"
97;"5.03"
98;"6.93"
99;"7.60"
100;"4.49"
101;"5.19"
102;"6.11"
103;"4.19"
104;"2.40"
105;"4.54"
106;"7.14"
107;"6.44"
108;"6.10"
109;"4.57"
110;"5.05"
111;"7.08"
112;"5.50"
113;"5.69"
114;"2.51"
115;"4.02"
116;"3.78"
117;"4.50"
118;"2.35"
119;"3.62"
120;"1.64"
121;"9.04"
122;"6.62"
123;"4.78"
124;"4.48"
125;"5.05"
126;"8.37"
127;"8.08"
128;"5.82"
129;"2.43"
130;"5.20"
131;"4.93"
132;"5.77"
133;"7.31"
134;"5.84"
135;"5.66"
136;"2.91"
137;"6.03"
138;"4.06"
139;"1.67"
140;"4.08"
141;"4.95"
142;"2.76"
143;"4.54"
144;"4.31"
145;"5.46"
146;"4.96"
147;"5.86"
148;"4.06"
149;"4.04"
150;"5.47"
151;"2.35"
152;"4.56"
153;"4.39"
154;"6.81"
155;"4.60"
156;"4.60"
157;"4.90"
158;"5.26"
159;"5.65"
160;"9.13"
161;"4.14"
162;"5.22"
163;"2.82"
164;"6.81"
165;"8.86"
166;"5.45"
167;"2.69"
168;"6.14"
169;"3.52"
170;"5.45"
171;"2.90"
172;"8.27"
173;"5.05"
