"id";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
1;0;0;0;0;45;15;34;0
2;0;0;0;0;66;20;56;0
3;0;0;0;0;87;0;82;0
4;0;0;0;0;85;13;89;2
5;0;0;0;0;79;48;74;0
6;0;0;0;0;101;50;89;0
7;0;0;0;0;99;0;104;10
8;0;0;0;0;96;0;96;26
9;0;0;0;0;163;0;166;28
10;0;0;0;0;92;15;84;0
11;0;0;0;0;79;0;69;81
12;0;0;0;0;85;54;85;0
13;0;0;0;0;109;12;109;1
14;0;0;0;0;68;11;65;0
15;0;0;0;0;61;0;54;0
16;0;0;0;0;69;15;67;0
17;0;0;0;0;94;0;85;0
18;0;0;0;0;93;24;98;0
19;0;0;0;0;111;5;104;0
20;0;0;0;0;75;0;86;42
21;0;0;0;0;88;0;82;45
22;0;0;0;0;46;26;36;0
23;0;0;0;0;94;33;84;0
24;0;0;0;0;80;16;69;0
25;0;0;0;0;73;0;69;0
26;0;0;0;0;93;0;96;0
27;0;0;0;0;48;0;51;0
28;0;0;0;0;33;13;21;0
29;0;0;0;0;37;10;25;0
30;0;0;0;0;90;0;97;44
31;0;0;0;0;128;0;128;5
32;0;0;0;0;67;0;62;7
33;0;0;0;0;86;0;82;27
34;0;0;0;0;49;0;42;0
35;0;0;0;0;58;10;45;0
36;0;0;0;0;61;3;62;0
37;0;0;0;0;77;33;72;0
38;0;0;0;0;88;26;90;0
39;0;0;0;0;51;23;62;0
40;0;0;0;0;56;0;67;0
41;0;0;0;0;95;27;107;39
42;0;0;0;0;84;37;96;53
43;0;0;0;0;158;13;172;34
44;0;0;0;0;65;11;71;0
45;0;0;0;0;154;10;154;5
46;0;0;0;0;98;10;106;9
47;0;0;0;0;67;49;78;0
48;0;0;0;0;74;41;85;1
49;0;0;0;0;116;2;127;22
50;0;0;0;0;62;30;74;26
51;0;0;0;0;75;47;87;14
52;0;0;0;0;81;36;89;0
53;0;0;0;0;106;25;118;6
54;0;0;0;0;73;0;85;3
55;0;0;0;0;107;0;104;0
56;0;0;0;0;125;5;127;0
57;0;0;0;0;147;33;153;0
58;0;0;0;0;136;23;133;0
59;0;0;0;0;108;7;118;2
60;0;0;0;0;64;0;61;0
61;0;0;0;0;62;2;53;0
62;0;0;0;0;105;0;117;23
63;0;0;0;0;85;50;78;0
64;0;0;0;0;153;7;141;96
65;0;0;0;0;95;0;87;0
66;0;0;0;0;69;4;66;0
67;0;0;0;0;83;34;76;0
68;0;0;0;0;86;0;77;55
69;0;0;0;0;79;0;83;11
70;0;0;0;0;54;0;59;20
71;0;0;0;0;79;0;86;21
72;0;0;0;0;120;7;121;0
73;0;0;0;0;87;30;88;0
74;0;0;0;0;91;29;86;0
75;0;0;0;0;87;10;99;17
76;0;0;0;0;86;35;98;4
77;0;0;0;0;97;30;109;20
78;0;0;0;0;69;25;81;21
79;0;0;0;0;62;34;73;15
80;0;0;0;0;81;4;93;22
81;0;0;0;0;133;8;145;13
82;0;0;0;0;73;0;71;9
83;0;0;0;0;85;1;79;0
84;0;0;0;0;91;7;86;0
85;0;0;0;0;61;21;73;17
86;0;0;0;0;40;31;36;0
87;0;0;0;0;68;3;80;24
88;0;0;0;0;148;4;144;0
89;0;0;0;0;74;7;64;90
90;0;0;0;0;70;0;69;99
91;0;0;0;0;81;13;69;96
92;0;0;0;0;70;0;74;3
93;0;0;0;0;72;0;69;76
94;0;0;0;0;92;0;93;21
95;0;0;0;0;65;4;57;100
96;0;0;0;0;66;31;54;86
97;0;0;0;0;101;0;97;83
98;0;0;0;0;74;16;63;90
99;0;0;0;0;89;0;88;16
100;0;0;0;0;102;0;100;1
101;0;0;0;0;71;5;60;0
102;0;0;0;0;48;0;59;16
103;0;0;0;0;49;1;54;0
104;0;0;0;0;86;0;88;0
105;0;0;0;0;49;0;47;44
106;0;0;0;0;114;10;103;99
107;0;0;0;0;58;25;48;76
108;0;0;0;0;75;1;64;107
109;0;0;0;0;44;16;35;99
110;0;0;0;0;41;18;32;103
111;0;0;0;0;112;21;100;89
112;0;0;0;0;120;0;130;3
113;0;0;0;0;85;14;73;68
114;0;0;0;0;86;0;82;0
115;0;0;0;0;69;0;74;2
116;0;0;0;0;75;0;81;0
117;0;0;0;0;25;0;31;0
118;0;0;0;0;31;0;29;0
119;0;0;0;0;65;1;57;0
120;0;0;0;0;44;0;49;0
121;0;0;0;0;73;14;68;0
122;0;0;0;0;64;10;52;0
123;0;0;0;0;73;2;71;0
124;0;0;0;0;48;0;60;10
125;0;0;0;0;47;0;59;6
126;0;0;0;0;127;16;139;30
127;0;0;0;0;154;11;166;57
128;0;0;0;0;98;0;86;24
129;0;0;0;0;106;0;106;0
130;0;0;0;0;116;0;128;10
131;0;0;0;0;96;5;108;14
132;0;0;0;0;62;32;73;25
133;0;0;0;0;130;0;142;37
134;0;0;0;0;76;0;88;49
135;0;0;0;0;80;0;71;9
136;0;0;0;0;43;0;37;0
137;0;0;0;0;92;0;104;9
138;0;0;0;0;69;5;58;0
139;0;0;0;0;42;0;47;0
140;0;0;0;0;75;0;82;0
141;0;0;0;0;53;0;50;5
142;0;0;0;0;34;0;33;0
143;0;0;0;0;81;0;82;9
144;0;0;0;0;43;0;51;0
145;0;0;0;0;49;0;39;4
146;0;0;0;0;77;0;69;6
147;0;0;0;0;160;4;165;0
148;0;0;0;0;40;0;37;0
149;0;0;0;0;59;0;55;1
150;0;0;0;0;48;0;42;7
151;0;0;0;0;53;0;48;0
152;0;0;0;0;53;0;49;3
153;0;0;0;0;94;0;96;11
154;0;0;0;0;94;28;87;0
155;0;0;0;0;123;17;123;0
156;0;0;0;0;71;0;65;8
