simulation time (min);1440.0;only events that occure within the simulation time are considered (changes after that time are ignored)
id;emptytime (min);average deviation from halfcapacity;Successful bike reservations;Failed bike reservations;Successful slot reservations;Failed slot reservations;Successful bike rentals;Failed bike rentals;Successful bike returns;Failed bike returns
1;0.0;7.488483796296296;0;0;0;0;123;0;124;2
2;0.0;6.743113425925926;0;0;0;0;44;0;54;4
3;95.8;4.838842592592592;0;0;0;0;102;0;102;0
4;0.0;3.3247685185185185;0;0;0;0;57;0;45;0
5;128.5;9.05644675925926;0;0;0;0;44;0;37;0
6;0.0;4.850711805555555;0;0;0;0;114;0;120;0
7;69.41666666666667;7.763090277777778;0;0;0;0;76;0;70;0
8;13.816666666666666;5.364947916666667;0;0;0;0;60;0;61;0
9;174.21666666666667;7.009930555555556;0;0;0;0;128;2;135;1
10;5.233333333333333;6.785613425925926;0;0;0;0;70;1;78;0
11;213.98333333333332;6.975671296296296;0;0;0;0;45;0;46;0
12;152.73333333333332;6.8865625;0;0;0;0;78;0;67;0
13;0.0;3.6097685185185187;0;0;0;0;98;0;97;0
14;0.0;4.326157407407408;0;0;0;0;82;0;77;0
15;0.0;4.5511689814814815;0;0;0;0;37;0;33;0
16;0.0;3.455167824074074;0;0;0;0;72;0;69;0
17;26.583333333333332;3.950619212962963;0;0;0;0;79;0;74;0
18;0.0;4.026377314814815;0;0;0;0;81;0;72;0
19;0.0;4.289178240740741;0;0;0;0;143;0;130;0
20;51.03333333333333;6.808171296296297;0;0;0;0;39;0;44;0
21;67.25;8.791782407407407;0;0;0;0;88;0;81;0
25;0.0;4.130682870370371;0;0;0;0;66;0;63;0
26;0.0;3.692175925925926;0;0;0;0;86;0;97;0
27;38.983333333333334;8.56261574074074;0;0;0;0;57;0;52;0
28;602.7666666666667;9.793009259259259;0;0;0;0;16;0;12;0
29;399.81666666666666;9.918923611111111;0;0;0;0;20;0;19;0
30;39.916666666666664;4.640046296296297;0;0;0;0;81;0;85;0
31;19.216666666666665;7.272002314814815;0;0;0;0;111;0;98;0
32;31.2;5.471377314814815;0;0;0;0;46;0;44;0
33;38.81666666666667;6.0816435185185185;0;0;0;0;58;0;64;0
34;0.0;5.492783564814815;0;0;0;0;38;0;30;0
35;305.8;6.466498842592593;0;0;0;0;69;0;60;0
