simulation time (min);1440.0;only events that occure within the simulation time are considered (changes after that time are ignored)
StationId;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;25;26;27;28;29;30;31;32;33;34;35;36;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;69;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175
Capacity;24;24;24;18;24;27;24;21;24;24;24;24;24;24;24;21;21;24;24;24;30;24;24;24;24;24;24;24;24;24;27;27;18;24;24;24;24;24;27;24;21;24;24;21;21;24;24;24;24;24;27;24;24;21;24;24;24;24;21;24;24;24;24;24;24;21;27;24;24;24;24;24;24;24;22;24;24;24;27;24;24;24;24;27;21;24;24;24;30;24;24;24;21;24;27;27;24;24;24;24;24;24;21;24;18;18;24;27;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;21;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;18;24;20;24;24;24;24;24;24;24;12;24;24;24;24;24;24;24;24;24;24
#available bikes per station at time (in seconds) from start
0;11;8;1;18;7;14;8;2;1;3;0;8;16;20;9;13;9;19;15;3;1;5;6;7;4;1;4;14;0;0;16;9;8;2;12;6;17;21;19;11;16;21;24;20;21;13;16;21;8;12;17;3;13;5;12;9;3;3;3;3;14;19;11;1;1;10;7;17;21;22;22;16;23;19;14;18;15;24;25;7;12;12;16;18;0;2;12;10;0;9;1;8;0;1;10;18;12;13;4;24;3;3;0;1;0;0;1;9;7;7;17;18;9;9;17;8;7;11;17;18;6;18;22;11;14;10;17;16;21;16;7;14;16;3;2;11;3;7;0;14;0;4;19;9;8;2;2;6;14;15;13;1;10;15;15;11;24;11;4;10;0;20;22;11;15;11;19;16;20
120;11;8;1;18;7;14;8;2;1;3;0;8;16;20;9;13;9;19;15;3;1;5;6;7;4;1;4;14;0;0;16;9;8;2;12;6;17;21;19;11;16;21;24;20;21;13;16;21;8;12;17;3;13;5;12;9;3;3;3;3;14;19;11;1;1;10;7;17;21;22;22;16;23;19;14;17;15;24;25;7;12;12;16;18;0;2;12;10;0;9;1;8;0;1;10;18;12;13;4;24;3;3;0;1;0;0;1;9;7;7;17;18;9;9;17;8;7;11;17;18;6;18;21;11;14;10;17;16;21;16;7;14;16;3;2;11;3;7;0;14;0;4;19;9;8;2;2;6;14;15;13;1;10;15;15;11;21;11;4;10;0;20;22;11;15;11;19;16;20
420;11;8;1;18;7;14;8;2;1;3;0;8;16;20;9;13;9;19;15;3;1;5;6;7;4;1;4;14;0;0;14;9;8;2;12;6;17;20;19;11;16;21;24;20;19;14;16;21;8;12;17;3;13;5;12;9;3;3;3;3;14;19;11;1;1;10;7;17;21;22;22;16;23;19;14;15;15;24;25;7;12;12;16;18;0;2;11;10;0;9;1;8;0;1;10;18;12;13;4;23;3;3;0;1;0;0;1;9;7;7;17;17;9;9;17;8;7;11;17;18;6;18;20;11;14;10;17;16;21;16;7;14;16;3;2;11;3;7;0;14;0;4;19;9;8;2;2;6;14;15;13;1;10;15;15;11;21;11;4;10;1;20;22;11;15;11;19;16;19
720;11;8;1;18;7;14;8;2;1;3;0;8;16;18;9;13;9;19;15;3;2;5;6;7;4;1;4;14;0;0;14;9;8;2;12;6;17;19;18;11;15;20;21;20;17;14;16;20;9;12;17;3;13;5;12;9;3;3;3;3;14;19;11;1;1;10;7;17;21;22;19;16;21;19;14;15;15;24;22;7;12;12;16;18;0;2;11;10;0;9;1;8;0;1;10;17;12;13;4;23;3;3;0;1;0;0;1;9;7;7;16;17;9;9;17;8;7;11;17;17;6;18;19;11;14;10;17;16;21;16;7;14;16;3;2;11;3;7;0;14;0;4;18;9;8;2;2;6;14;15;13;1;10;14;15;11;21;10;4;10;1;19;20;11;14;11;19;16;19
1020;11;8;1;18;7;14;8;2;1;3;0;8;16;17;9;13;9;18;13;3;2;5;6;7;4;4;4;14;2;2;14;9;8;2;12;6;17;17;17;11;15;20;17;20;17;14;16;18;10;12;17;3;13;5;12;9;5;3;3;3;14;19;11;1;1;10;7;17;21;22;18;16;18;18;14;15;16;23;22;7;12;12;16;16;0;2;8;10;0;9;1;8;0;1;10;17;12;13;4;22;3;3;0;1;0;0;1;9;7;7;15;17;9;9;17;8;7;11;17;17;6;18;19;11;14;10;16;16;22;16;7;14;15;3;2;11;3;7;0;14;1;4;17;9;8;2;2;6;14;15;13;1;11;14;15;10;19;9;4;10;1;19;20;11;14;10;19;16;18
1320;11;8;2;18;7;14;8;2;2;3;0;8;16;17;9;13;9;16;10;3;3;5;7;7;4;5;4;14;4;2;14;9;8;2;12;6;17;12;17;11;14;19;16;19;16;14;16;17;10;12;17;3;13;5;12;9;6;3;3;3;14;19;11;1;3;10;7;17;21;20;16;16;15;16;14;16;16;19;22;7;13;12;15;16;0;2;6;10;4;9;1;8;0;1;9;17;12;13;7;22;3;3;0;1;0;0;1;9;9;7;15;16;9;9;16;8;7;11;17;17;7;17;19;11;14;10;16;16;22;14;7;14;15;3;2;10;3;7;0;14;2;4;16;9;8;2;2;6;14;15;12;1;12;15;15;10;18;9;4;10;1;19;20;10;11;10;19;16;17
1620;11;8;3;17;7;14;8;2;3;5;0;8;16;17;9;13;9;12;10;3;8;5;7;7;4;5;4;14;4;2;14;9;8;2;12;6;16;11;17;11;12;15;16;13;15;16;16;17;10;12;17;3;13;5;12;9;6;3;3;3;14;19;11;1;7;10;7;17;19;18;16;16;15;14;14;17;16;19;22;7;13;14;15;16;0;2;6;10;8;9;1;8;0;1;8;15;12;13;8;21;3;3;0;1;0;0;4;11;10;8;15;16;9;9;16;8;7;11;16;16;7;17;17;11;14;10;15;16;22;12;7;12;14;3;2;10;3;7;1;14;2;4;12;9;8;2;2;6;14;15;12;1;12;15;15;10;17;9;4;10;1;18;18;9;9;10;19;16;15
1920;11;8;6;16;7;14;8;2;4;6;1;8;16;17;9;13;9;12;10;3;13;5;9;7;4;5;4;14;5;2;14;9;8;6;12;6;15;11;14;11;12;14;15;11;15;17;16;16;12;12;17;3;13;5;12;9;8;3;3;3;14;19;15;4;10;3;7;17;16;18;16;16;15;13;14;15;15;19;19;7;13;15;15;15;0;2;1;10;11;9;1;8;0;1;8;15;12;13;8;19;3;3;0;1;0;0;5;11;7;10;15;15;9;9;16;8;7;11;14;15;7;16;16;11;14;10;15;16;22;12;7;12;12;3;2;10;3;7;2;14;2;5;12;9;8;2;2;6;13;14;11;3;11;15;15;3;16;10;4;9;6;18;16;9;9;10;19;16;14
2220;11;8;7;15;7;13;8;2;5;6;2;8;15;16;9;12;9;12;10;3;13;5;9;7;4;5;4;14;5;4;12;9;8;7;12;6;15;11;13;11;12;13;14;11;15;14;16;16;14;12;17;4;13;5;12;9;9;3;3;3;14;19;16;5;12;3;9;15;16;15;15;16;15;13;14;13;14;18;18;7;13;16;14;14;0;2;1;10;13;9;2;8;0;1;9;15;12;12;8;19;3;3;0;1;0;0;5;11;7;13;15;14;9;9;16;8;7;11;14;15;9;16;13;11;14;9;15;15;20;12;7;12;10;3;5;10;3;7;3;13;2;5;12;9;8;2;2;6;13;12;11;3;11;16;15;3;13;12;4;9;11;15;15;9;9;10;19;16;14
2520;11;8;7;15;7;12;8;2;5;6;6;8;15;15;9;12;9;11;10;3;14;5;9;7;4;5;4;12;5;4;12;9;8;7;12;6;15;11;13;11;12;13;13;11;15;14;15;14;14;12;17;7;13;5;12;9;11;4;3;3;14;18;16;6;12;3;13;15;15;14;15;14;15;13;14;14;14;17;18;7;14;17;14;14;1;2;3;10;12;9;3;8;0;6;10;15;12;11;9;18;3;3;0;1;0;0;5;11;7;14;15;14;9;9;16;8;7;11;14;15;9;15;13;11;14;8;14;15;20;12;7;11;10;4;8;10;3;7;5;13;2;5;12;9;8;3;3;6;13;12;11;3;11;17;14;3;13;12;4;7;12;13;14;9;9;9;19;16;14
2820;11;8;7;14;7;11;8;3;6;6;9;8;14;14;9;12;9;11;10;3;13;5;9;7;5;5;4;12;5;6;12;9;8;7;12;6;14;12;13;11;12;11;12;11;14;14;14;13;14;13;16;9;13;5;11;9;12;4;3;3;14;18;17;6;12;3;15;15;15;14;15;14;14;13;14;13;14;16;17;7;14;15;14;14;2;3;6;10;12;9;4;8;0;9;11;14;12;10;9;17;3;3;0;4;0;0;5;12;7;14;15;14;9;9;16;9;8;11;14;14;9;14;13;11;14;8;14;13;20;11;7;11;9;5;8;9;3;7;5;12;3;5;12;11;8;3;3;6;13;11;11;3;11;20;11;3;13;14;4;7;13;13;14;9;9;9;19;14;14
3120;11;8;7;14;7;11;8;3;6;7;9;8;13;14;9;11;9;10;10;3;11;5;9;7;5;7;4;12;7;7;12;9;8;8;12;6;13;12;12;11;11;11;12;11;13;14;12;13;14;13;16;9;13;5;11;9;13;7;4;5;14;17;18;6;12;5;17;14;15;14;14;14;13;13;14;13;14;16;15;7;14;14;14;14;4;3;10;10;12;9;5;8;1;9;11;14;12;10;10;16;3;3;0;7;0;0;5;12;7;14;15;14;9;9;15;9;9;11;14;13;9;14;13;11;14;8;13;12;20;11;7;11;8;6;9;9;3;7;6;11;7;5;12;12;8;3;3;6;13;11;11;4;12;20;11;3;13;14;4;7;12;13;11;9;9;9;19;13;14
3420;11;8;7;12;7;11;8;3;7;7;9;8;12;14;9;8;9;10;10;4;10;7;9;7;6;7;4;12;8;8;12;9;8;8;12;6;10;12;12;11;11;12;11;11;13;14;10;12;10;13;15;9;13;5;11;9;13;8;4;7;14;16;18;6;12;5;16;14;15;15;13;14;13;14;14;13;12;15;15;7;14;14;12;13;5;5;11;10;11;9;5;8;1;9;11;14;11;10;10;16;4;4;1;7;0;0;5;13;8;14;14;14;10;9;15;10;11;11;14;13;10;11;13;11;14;8;13;12;20;11;7;11;8;6;9;9;3;7;6;11;9;5;11;12;8;3;3;6;12;11;11;6;12;20;11;4;12;13;4;7;12;13;9;8;9;10;19;12;12
3720;10;8;7;11;8;11;8;3;7;7;9;8;12;14;9;8;9;10;10;6;10;9;9;7;7;7;4;12;8;8;12;10;8;8;11;6;10;12;11;11;11;12;12;11;13;14;10;12;9;13;14;9;12;5;10;9;13;8;4;7;14;16;16;6;12;6;15;13;14;15;13;13;13;14;13;13;11;14;15;9;12;14;12;13;5;6;11;10;11;10;5;8;1;9;12;13;11;10;10;15;5;4;5;7;0;0;5;14;8;13;14;14;10;10;15;9;12;11;14;13;11;10;11;10;14;8;14;12;20;11;7;11;8;6;9;8;3;7;6;11;9;5;10;12;8;5;7;6;9;12;11;6;13;21;11;5;12;12;4;6;12;13;9;8;10;9;19;11;10
4020;10;8;7;11;8;10;8;3;7;7;9;8;9;11;9;8;9;10;8;9;12;10;9;7;9;7;4;11;8;8;9;11;8;8;11;6;10;12;11;11;11;11;12;11;13;9;10;11;9;12;14;9;11;5;9;9;13;8;5;7;13;15;15;6;12;6;11;13;13;15;13;13;13;11;13;13;11;14;14;11;12;14;13;13;5;6;10;9;11;10;5;8;3;9;12;13;11;10;10;14;6;5;7;7;0;0;5;13;8;13;13;14;10;10;13;9;12;11;14;12;11;10;11;10;13;8;12;12;18;10;7;10;7;7;9;8;4;7;6;11;10;5;10;11;8;6;7;6;6;12;11;6;13;22;11;5;10;10;4;6;12;12;10;8;10;9;19;10;10
4320;10;8;7;11;8;6;8;5;9;7;9;8;7;8;9;8;9;9;8;9;14;10;9;7;9;8;6;10;8;8;8;11;8;8;11;7;10;9;11;10;11;11;9;10;11;8;10;11;9;12;12;9;11;5;8;9;13;8;5;7;11;14;13;8;12;6;11;13;13;14;13;13;10;10;11;13;10;13;12;11;12;12;13;13;5;7;8;9;12;11;5;8;5;9;13;12;11;10;11;13;7;8;10;7;0;0;5;13;8;13;13;14;10;10;12;8;11;10;14;12;12;11;11;10;11;9;9;12;18;10;7;9;6;7;9;7;6;7;6;10;11;5;11;11;8;7;8;6;5;11;11;7;13;18;11;8;9;9;4;6;10;12;9;8;11;8;19;9;10
4620;10;8;9;11;8;7;8;6;9;8;9;8;7;8;10;8;9;9;8;9;20;10;9;7;10;11;12;10;8;8;9;8;8;8;10;11;10;9;11;10;10;11;7;10;8;9;10;11;11;11;9;9;10;5;8;9;9;8;5;7;10;13;13;8;10;6;14;13;15;12;13;12;10;10;11;12;10;9;12;11;12;12;13;13;5;8;7;9;13;10;6;8;5;9;12;11;11;10;11;12;7;12;9;7;0;0;9;12;8;14;14;15;10;10;11;8;11;10;14;11;11;11;10;7;10;9;9;10;16;10;8;9;6;8;7;6;9;7;6;9;11;7;10;9;8;8;8;7;5;10;10;8;10;17;11;8;9;9;4;5;9;10;9;8;11;9;19;9;9
4920;10;8;11;11;8;10;8;7;8;8;9;8;7;9;11;8;9;9;8;9;14;10;9;7;11;13;19;10;8;8;10;10;8;8;9;12;10;8;9;10;10;9;7;9;7;11;10;10;10;11;10;9;10;5;8;9;3;8;5;7;10;11;13;8;7;6;18;13;13;11;11;11;10;10;11;12;9;9;12;11;12;12;12;12;5;8;6;10;15;10;12;8;5;9;10;11;11;10;12;12;7;15;9;7;0;0;14;10;8;14;15;13;11;10;11;9;11;10;14;11;10;9;10;6;11;10;9;10;17;10;8;9;6;9;7;5;9;7;6;9;11;7;9;8;8;6;8;9;5;8;9;10;10;19;9;9;11;9;4;9;8;9;9;8;9;8;19;9;9
5220;10;8;10;8;8;13;8;7;8;8;9;8;8;10;11;8;9;9;8;9;11;10;9;7;11;8;18;10;9;8;14;11;8;8;8;11;8;8;10;10;10;8;9;9;7;11;10;6;10;10;10;9;9;5;8;9;1;8;5;7;10;10;11;8;8;6;14;12;10;12;11;14;10;11;11;12;10;9;12;11;12;12;12;11;5;8;6;10;15;10;16;8;5;9;9;12;11;10;13;12;7;17;9;7;2;5;15;10;8;14;13;11;12;10;11;9;9;10;13;11;10;7;10;5;11;10;9;9;16;10;8;8;6;9;7;5;10;7;8;9;9;9;8;8;8;6;9;9;5;8;9;11;10;18;7;10;12;9;4;12;8;9;9;4;7;8;19;9;9
5520;10;8;9;6;8;19;8;7;8;8;9;8;8;10;11;8;9;9;8;9;11;10;9;8;9;8;16;10;12;8;15;14;8;8;8;8;8;8;8;9;10;8;9;9;7;10;8;6;10;10;11;9;9;5;8;9;5;8;5;2;10;10;10;3;8;6;10;12;8;11;11;15;10;13;11;11;10;9;11;10;9;13;13;11;6;8;8;8;14;10;19;8;5;9;13;12;11;10;7;10;7;18;9;7;6;13;4;9;8;12;12;11;12;10;11;9;9;10;13;10;12;7;10;9;11;10;9;9;15;8;8;8;4;9;7;5;8;7;11;9;9;9;8;8;0;6;10;10;5;8;8;13;5;18;7;8;8;10;4;16;8;9;9;5;7;6;17;9;9
5820;10;8;9;6;8;19;8;7;8;8;9;8;8;10;10;8;9;9;8;9;17;10;9;8;9;8;14;10;12;9;14;13;8;8;8;7;8;8;9;9;9;8;9;9;7;4;8;9;10;9;13;9;9;5;8;9;7;8;5;3;10;10;10;4;10;6;8;12;8;11;12;9;10;11;11;11;11;9;10;9;7;13;11;11;6;8;12;8;13;10;18;8;5;9;18;14;11;10;5;10;7;18;9;10;7;15;3;14;8;12;11;11;13;10;11;9;10;10;11;10;13;8;9;13;11;10;9;9;14;5;9;8;4;9;7;5;7;7;12;9;9;9;6;9;0;9;10;10;5;10;8;12;5;16;8;8;8;10;4;14;8;9;8;6;7;6;17;9;8
6120;10;9;9;6;9;12;8;7;8;8;9;8;8;10;10;8;9;9;9;9;20;8;9;10;9;9;12;9;12;10;13;9;8;8;8;7;8;8;11;9;8;8;9;8;7;4;8;9;7;9;15;9;8;5;8;9;7;8;5;8;10;10;9;6;11;6;7;11;8;10;13;9;10;8;11;11;11;9;10;8;7;10;10;11;6;8;16;8;13;10;18;8;5;9;19;10;10;10;5;10;7;16;9;11;8;15;8;13;8;12;11;11;11;10;10;12;10;10;7;10;14;9;8;16;10;10;8;8;14;5;9;8;4;9;7;6;8;7;15;9;9;9;7;9;1;10;10;9;5;9;8;12;4;18;10;8;8;10;4;14;8;9;7;7;7;6;14;9;8
6420;10;9;9;6;9;9;8;7;10;8;9;8;8;10;10;8;9;8;9;9;17;7;10;11;9;9;12;9;12;10;13;8;8;8;8;9;9;8;12;9;8;8;8;8;7;5;8;9;7;9;12;9;8;5;9;9;9;8;5;13;10;10;9;7;11;6;12;10;10;7;10;9;12;9;11;7;11;9;10;8;7;9;9;11;6;8;16;8;14;10;14;8;6;9;20;9;9;10;6;10;7;16;9;12;8;15;14;11;8;11;11;13;11;10;10;14;10;10;7;11;14;9;8;16;7;10;7;8;15;9;9;8;5;8;7;7;8;7;13;9;9;9;8;9;3;11;10;9;5;8;8;10;4;17;13;9;9;7;4;12;10;9;8;11;7;4;14;9;8
6720;10;9;9;6;10;8;8;7;11;8;9;8;8;10;10;8;9;8;10;9;15;7;10;11;9;9;11;9;10;10;12;7;8;8;8;9;9;8;10;9;8;9;8;8;7;5;7;6;7;9;7;9;8;5;9;9;12;9;6;14;10;10;10;12;9;6;16;9;9;7;7;11;15;10;10;7;14;9;11;8;8;8;7;11;6;8;15;8;18;10;13;8;6;9;18;9;9;10;10;10;7;16;9;12;8;15;17;7;9;10;11;10;10;10;10;14;11;10;7;11;14;8;8;12;7;10;7;8;14;9;9;9;5;8;7;5;7;8;9;9;9;9;9;9;7;10;10;9;5;8;8;10;6;17;13;10;11;6;4;11;14;8;9;16;7;2;12;5;8
7020;9;9;9;6;9;11;8;7;10;8;9;8;8;9;10;8;9;8;10;9;14;7;9;11;9;9;10;9;8;10;10;13;8;9;8;9;7;7;1;9;8;8;8;8;7;7;7;6;7;9;5;9;7;5;9;9;14;9;6;15;10;10;10;13;7;6;15;9;9;7;7;12;16;10;10;6;19;9;12;8;8;8;7;10;6;9;15;8;23;10;13;8;6;9;15;11;9;9;12;10;8;16;9;12;8;15;18;6;10;10;11;10;10;10;10;13;11;10;8;11;14;10;9;11;8;11;7;5;12;9;9;11;5;9;8;7;7;8;6;9;9;9;9;8;11;10;9;9;5;9;8;8;6;16;8;11;12;6;4;9;15;8;9;14;7;3;11;3;8
7320;8;9;9;6;9;18;10;7;9;8;9;8;8;9;10;8;9;8;9;9;15;8;9;10;9;9;10;9;8;9;6;18;8;9;8;10;5;7;0;9;8;10;8;7;6;6;7;6;8;9;5;9;6;5;9;9;11;10;6;15;10;10;9;16;5;6;12;9;9;8;7;10;16;10;5;7;17;9;13;8;9;8;6;10;7;13;15;8;22;10;13;10;6;9;14;14;9;9;11;10;12;16;9;12;8;15;16;6;10;10;11;8;9;10;10;10;10;10;10;11;14;9;10;10;8;11;6;5;13;10;9;11;6;9;9;8;8;9;6;9;9;11;7;8;16;8;8;9;5;9;8;8;7;16;2;15;11;8;4;9;16;8;9;10;9;4;10;3;8
7620;9;9;9;6;9;17;11;7;10;8;9;8;8;9;10;8;9;8;8;9;18;10;9;10;9;9;10;8;10;9;8;17;8;9;7;10;5;7;2;8;8;8;8;7;6;8;6;7;8;9;7;9;6;7;9;9;7;10;6;15;10;10;9;17;8;6;9;9;8;8;8;8;16;10;5;15;13;9;12;8;7;8;6;12;7;16;16;8;18;10;13;16;6;10;14;16;9;9;8;10;13;16;9;12;8;15;14;7;11;10;11;8;9;10;10;10;10;10;11;11;14;10;11;10;8;11;6;5;11;10;10;12;6;9;8;9;9;9;7;9;9;11;7;8;18;8;8;9;5;6;8;7;9;16;1;12;6;10;4;13;16;9;9;10;9;4;10;3;10
7920;9;9;9;6;9;14;10;7;10;8;10;8;8;9;10;8;9;8;9;9;19;11;9;10;9;9;10;9;11;9;10;14;8;10;7;7;5;7;3;8;8;7;8;7;6;7;6;8;8;9;12;9;7;12;9;9;7;11;6;15;10;9;9;12;8;6;9;9;8;8;8;8;12;11;5;15;11;8;8;8;7;8;6;14;7;17;16;8;15;10;13;23;8;11;12;14;9;9;9;10;13;16;9;12;8;15;13;10;13;10;11;8;9;10;10;10;7;10;10;12;14;12;9;10;11;11;8;5;10;9;10;12;6;12;8;10;10;9;8;9;9;13;7;7;18;8;8;9;5;6;8;7;10;15;2;12;5;10;4;15;17;8;8;9;9;4;10;3;10
8220;9;9;9;6;9;9;10;7;10;8;17;10;8;9;9;8;9;9;13;9;20;9;9;10;9;9;10;10;13;11;11;8;8;10;7;6;5;7;7;8;8;7;8;7;6;7;7;8;8;9;18;9;7;12;9;9;7;11;6;14;10;8;6;11;8;6;9;9;8;8;10;8;8;10;5;15;11;8;6;8;7;8;7;16;7;17;14;9;14;10;13;22;11;14;13;13;9;9;9;8;13;16;9;15;8;15;12;14;13;10;9;9;9;10;10;10;7;9;8;12;14;13;9;10;13;11;8;5;11;9;10;11;6;12;8;9;10;9;9;9;9;14;7;6;16;10;8;9;5;6;7;7;10;14;8;12;6;7;4;15;16;10;8;7;9;4;10;3;5
