simulatiuon time (min);1440.0;only events that occure within the simulation time are considered (users not finishing up to this time are ignored)
id;finished in simulationtime;appearance time (sec form start);get bike time (sec from start);return bike time (sec from start);at final destination (sec from start);total time (min);additional time used over best aproximate time (min);exit reason;Successful bike reservations;Failed bike reservations;Successful slot reservations;Failed slot reservations;Successful bike rentals;Failed bike rentals;Successful bike returns;Failed bike returns;Time waited to retry
1;yes;3;431;1042;1042;17.316666666666666;7.95;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
2;yes;3;217;1454;1707;28.4;7.433333333333334;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
3;yes;7;7;286;286;4.65;0.0;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
4;yes;11;616;931;1261;20.833333333333332;19.466666666666665;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
5;yes;17;17;925;1164;19.116666666666667;4.466666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
6;yes;34;672;1609;1955;32.016666666666666;14.45;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
7;yes;35;35;405;735;11.666666666666666;4.9;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
8;yes;43;257;655;1177;18.9;9.766666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
9;yes;46;46;944;1198;19.2;4.566666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
10;yes;46;454;1242;1710;27.733333333333334;16.466666666666665;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
11;yes;76;484;1002;1002;15.433333333333334;10.15;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
12;yes;82;82;346;346;4.4;0.0;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
13;yes;89;461;817;1155;17.766666666666666;14.35;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
14;yes;103;408;1201;1692;26.483333333333334;15.05;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
