"id","bike_failed_reservations","slot_failed_reservations","bike_successful_reservations","slot_successful_reservations","bike_failed_rentals","bike_failed_returns","bike_successful_rentals","bike_successful_returns"
0,0,0,1,0,0,0,1,1
1,0,0,0,1,0,0,1,1
2,0,0,0,0,0,0,1,1
3,0,0,2,0,0,0,1,1
4,0,0,0,0,0,0,1,1
5,0,0,0,0,0,0,1,1
6,0,0,0,1,0,0,1,1
7,0,0,1,1,0,0,1,1
8,0,0,3,0,1,0,1,1
9,0,0,0,0,0,0,1,1
10,1,0,0,3,1,0,1,1
11,1,0,0,0,1,0,1,1
12,2,0,1,0,1,0,1,1
13,1,0,0,1,0,0,1,1
14,1,0,1,1,1,0,1,1
15,1,0,0,5,0,0,1,1
16,0,0,1,1,2,0,1,1
17,0,0,1,0,1,0,1,1
18,0,0,0,0,0,0,1,1
19,1,0,1,1,2,0,1,1
20,1,0,0,0,0,0,1,1
21,0,0,1,1,1,0,1,1
22,1,0,0,0,2,0,1,1
23,0,0,0,0,0,0,1,1
24,0,0,0,0,2,0,1,1
25,1,0,1,3,2,0,1,1
26,1,0,0,1,0,0,1,1
27,1,0,0,0,0,0,1,1
28,0,0,1,0,2,0,1,1
29,0,0,0,0,0,0,1,1
30,0,0,0,1,0,0,1,1
31,0,0,1,0,0,0,1,1
32,0,0,0,0,0,0,1,1
33,0,0,0,2,0,0,1,1
34,0,0,0,0,0,0,1,1
35,0,0,1,1,2,0,1,1
36,0,0,4,1,0,0,1,1
37,0,0,1,1,1,0,1,1
38,0,0,0,0,2,0,1,1
39,0,0,0,1,2,0,1,1
40,1,0,0,2,1,0,1,1
41,1,0,0,0,2,0,1,1
42,1,0,1,0,1,0,1,1
43,0,0,2,1,0,0,1,1
44,0,0,2,0,0,0,1,1
45,1,0,0,0,1,0,1,1
46,0,0,0,1,1,0,1,1
47,1,0,1,1,2,0,1,1
48,1,0,2,0,1,0,1,1
49,1,0,0,0,0,0,1,1
50,0,0,0,0,0,0,1,1
51,0,0,2,0,0,0,1,1
52,0,0,0,2,0,0,1,1
53,0,0,0,0,0,0,1,1
54,0,0,1,0,0,0,1,1
55,0,0,1,0,0,0,1,1
56,0,0,2,1,0,0,1,1
57,0,0,0,2,0,0,1,1
58,0,0,0,1,0,0,1,1
59,0,0,1,0,0,0,1,1
60,0,0,1,0,0,0,1,1
61,0,0,1,0,0,0,1,1
62,0,0,0,0,0,0,1,1
63,0,0,1,0,0,0,1,1
64,0,0,0,0,0,0,1,1
65,0,0,1,1,0,0,1,1
66,1,0,0,3,1,0,1,1
67,0,0,0,4,0,0,1,1
68,0,0,0,1,1,0,1,1
69,0,0,0,4,0,0,1,1
70,0,0,2,0,0,0,1,1
71,0,0,0,1,0,0,1,1
72,0,0,0,0,0,0,1,1
73,0,0,1,2,0,0,1,1
74,0,0,1,0,0,0,1,1
75,0,0,1,2,0,0,1,1
76,0,0,0,0,0,0,1,1
77,0,0,1,1,0,0,1,1
78,0,0,1,0,0,0,1,1
79,0,0,4,1,1,0,1,1
80,0,0,0,1,0,0,1,1
81,0,0,1,0,1,0,1,1
82,0,0,1,0,1,0,1,1
83,0,0,5,1,1,0,1,1
84,0,0,1,2,1,0,1,1
85,0,0,0,2,1,0,1,1
86,0,0,0,0,1,0,1,1
87,0,0,0,0,1,0,1,1
88,0,0,0,1,1,0,1,1
89,1,0,1,0,0,0,1,1
90,1,0,0,2,1,0,1,1
91,1,0,0,1,1,0,1,1
92,0,0,0,0,1,0,1,1
93,1,0,1,1,1,0,1,1
94,0,0,1,0,1,0,1,1
95,0,0,0,2,1,0,1,1
96,0,0,0,0,1,0,1,1
97,2,0,2,0,3,0,1,1
98,1,0,5,3,3,0,1,1
99,0,0,0,2,1,0,1,1
